"[0.5310946106910706, 0.3370162546634674, -0.5235063433647156, 0.9997761845588684]","[0.5402420163154602, 0.3246768116950989, -0.4985749125480652, 0.9994608759880066]","[0.543920636177063, 0.32491040229797363, -0.4986790716648102, 0.9994530081748962]","[0.5481524467468262, 0.3251376152038574, -0.49879375100135803, 0.9994447827339172]","[0.5235260725021362, 0.3245766758918762, -0.5028796195983887, 0.9994214773178101]","[0.51728755235672, 0.3248491883277893, -0.503032922744751, 0.9994385838508606]","[0.5123541951179504, 0.3250523507595062, -0.5031648874282837, 0.9994038343429565]","[0.5529680848121643, 0.33145779371261597, -0.3368571698665619, 0.9988616704940796]","[0.5040541887283325, 0.33284300565719604, -0.3594185411930084, 0.9992606043815613]","[0.5398339629173279, 0.35239043831825256, -0.46228939294815063, 0.9998481273651123]","[0.520419180393219, 0.3526882231235504, -0.4688033163547516, 0.9998531341552734]","[0.5979474186897278, 0.42857807874679565, -0.21484734117984772, 0.999871015548706]","[0.461180716753006, 0.42100611329078674, -0.27404356002807617, 0.9997527003288269]","[0.6045461297035217, 0.5408867001533508, -0.14866912364959717, 0.98446124792099]","[0.4466196894645691, 0.5331456065177917, -0.2507888972759247, 0.9877586960792542]","[0.5955649614334106, 0.6412055492401123, -0.2797764837741852, 0.9668563604354858]","[0.4514121413230896, 0.6346616744995117, -0.3740144670009613, 0.9201198816299438]","[0.595545768737793, 0.6701465249061584, -0.3282351493835449, 0.9254516959190369]","[0.4507896900177002, 0.6678524017333984, -0.42056241631507874, 0.8504964709281921]","[0.5860800743103027, 0.6677519083023071, -0.365575909614563, 0.9336278438568115]","[0.4660831689834595, 0.6680799722671509, -0.45773154497146606, 0.8616790771484375]","[0.5839725732803345, 0.658378005027771, -0.2971632778644562, 0.9271130561828613]","[0.4683369994163513, 0.6561426520347595, -0.38999587297439575, 0.850654125213623]","[0.5591868162155151, 0.6201804280281067, 0.018677344545722008, 0.9976261258125305]","[0.484122097492218, 0.6170924305915833, -0.018588926643133163, 0.9964751601219177]","[0.5465096831321716, 0.7751678824424744, -0.0038115878123790026, 0.38822880387306213]","[0.4870786666870117, 0.7673934698104858, -0.01924513839185238, 0.36014190316200256]","[0.5414278507232666, 0.8893721103668213, 0.32046326994895935, 0.12644903361797333]","[0.4861440658569336, 0.8751620650291443, 0.2777032256126404, 0.12117040902376175]","[0.5348554849624634, 0.9048150777816772, 0.3452332615852356, 0.12338361144065857]","[0.48744624853134155, 0.8874176740646362, 0.30064523220062256, 0.06573222577571869]","[0.5530779957771301, 0.9323172569274902, 0.19755588471889496, 0.12195555120706558]","[0.49638763070106506, 0.9232947826385498, 0.12467624992132187, 0.11416605114936829]"
"[0.5304842591285706, 0.3368816673755646, -0.4745546281337738, 0.9997859597206116]","[0.5397800803184509, 0.32457131147384644, -0.4493159353733063, 0.9994860291481018]","[0.5439029932022095, 0.32483971118927, -0.44941648840904236, 0.9994783401489258]","[0.5480226874351501, 0.32508188486099243, -0.44950175285339355, 0.9994707703590393]","[0.5226836800575256, 0.32440850138664246, -0.4516410827636719, 0.9994473457336426]","[0.5168774724006653, 0.32459306716918945, -0.4517819285392761, 0.9994637370109558]","[0.5117553472518921, 0.32482919096946716, -0.45190033316612244, 0.9994305968284607]","[0.5528880953788757, 0.33149975538253784, -0.29672589898109436, 0.9989265203475952]","[0.5041125416755676, 0.3326147794723511, -0.3099655508995056, 0.999293327331543]","[0.5397884845733643, 0.3524197041988373, -0.4178624749183655, 0.9998564720153809]","[0.5199849009513855, 0.3526943325996399, -0.42170143127441406, 0.9998596906661987]","[0.598030686378479, 0.4285838305950165, -0.1939062625169754, 0.9998751282691956]","[0.46108970046043396, 0.4211534857749939, -0.23194468021392822, 0.9997567534446716]","[0.6049410700798035, 0.541194498538971, -0.12524810433387756, 0.985066831111908]","[0.44671761989593506, 0.5331845879554749, -0.20397058129310608, 0.9877064228057861]","[0.5953404307365417, 0.6413672566413879, -0.24248626828193665, 0.9679760336875916]","[0.45133957266807556, 0.6340304017066956, -0.3245786726474762, 0.921047568321228]","[0.5945528745651245, 0.6711823344230652, -0.28856027126312256, 0.9280498623847961]","[0.4507814049720764, 0.6677954196929932, -0.3676926791667938, 0.8524685502052307]","[0.585439920425415, 0.6686497926712036, -0.3226539194583893, 0.9359270930290222]","[0.4660227298736572, 0.668043851852417, -0.4042021930217743, 0.863537073135376]","[0.5836710929870605, 0.6583936214447021, -0.25771990418434143, 0.9297656416893005]","[0.4683586657047272, 0.655853807926178, -0.3404785692691803, 0.8528357148170471]","[0.55884850025177, 0.6223251819610596, 0.013703384436666965, 0.9977018237113953]","[0.4838581085205078, 0.6183722615242004, -0.013600574806332588, 0.9965807199478149]","[0.5463839769363403, 0.7766046524047852, -0.03948831558227539, 0.3834652900695801]","[0.48690587282180786, 0.7699981331825256, -0.02191297896206379, 0.359637051820755]","[0.542534351348877, 0.8849801421165466, 0.3205164670944214, 0.12045091390609741]","[0.48584485054016113, 0.8750431537628174, 0.27767112851142883, 0.11776327341794968]","[0.5339406132698059, 0.883059561252594, 0.3477468490600586, 0.11879138648509979]","[0.48703569173812866, 0.8872300386428833, 0.3008643686771393, 0.0651417076587677]","[0.5519170165061951, 0.9270270466804504, 0.21216991543769836, 0.11584393680095673]","[0.4954510033130646, 0.9230011701583862, 0.13190296292304993, 0.11021055281162262]"
"[0.5302950739860535, 0.3368687033653259, -0.46826910972595215, 0.9997959733009338]","[0.5396499633789062, 0.32454994320869446, -0.44301024079322815, 0.9995114207267761]","[0.5439074039459229, 0.32483038306236267, -0.4431096315383911, 0.999504029750824]","[0.5479817986488342, 0.32507559657096863, -0.4431897699832916, 0.9994966983795166]","[0.5223903656005859, 0.3243606388568878, -0.44557490944862366, 0.999473512172699]","[0.5167517066001892, 0.3245076835155487, -0.44571271538734436, 0.9994892477989197]","[0.5115250945091248, 0.3247568607330322, -0.4458264410495758, 0.9994573593139648]","[0.5528860688209534, 0.3315695524215698, -0.2904893457889557, 0.9989887475967407]","[0.5041937232017517, 0.33251577615737915, -0.3050430417060852, 0.9993273019790649]","[0.5397873520851135, 0.3525184094905853, -0.41161271929740906, 0.999864399433136]","[0.5198789834976196, 0.35277897119522095, -0.4158117175102234, 0.9998663067817688]","[0.5981156229972839, 0.42858922481536865, -0.1878984570503235, 0.9998793601989746]","[0.4610786437988281, 0.42122021317481995, -0.22763784229755402, 0.9997618198394775]","[0.6051154732704163, 0.5414809584617615, -0.11804606020450592, 0.9855941534042358]","[0.44679948687553406, 0.5332130789756775, -0.19921724498271942, 0.9877010583877563]","[0.595140814781189, 0.6415697336196899, -0.2332332879304886, 0.9689943790435791]","[0.45131412148475647, 0.6336068511009216, -0.3185630142688751, 0.9218971729278564]","[0.5937749147415161, 0.6719458699226379, -0.2788393497467041, 0.9304165244102478]","[0.4507843852043152, 0.6677299737930298, -0.36141765117645264, 0.8543477058410645]","[0.5848153233528137, 0.6693535447120667, -0.3128705620765686, 0.9380185008049011]","[0.4660203754901886, 0.6679664850234985, -0.3978448808193207, 0.8653034567832947]","[0.583344042301178, 0.6584365367889404, -0.24837276339530945, 0.9321660995483398]","[0.4684426486492157, 0.6555795669555664, -0.3343782424926758, 0.8549106121063232]","[0.5586026310920715, 0.6232380270957947, 0.012515276670455933, 0.9977744817733765]","[0.4837232530117035, 0.6190298795700073, -0.012407735921442509, 0.9966825246810913]","[0.546242356300354, 0.7773708701133728, -0.041474055498838425, 0.37852218747138977]","[0.4868849515914917, 0.7707482576370239, -0.024266259744763374, 0.35876116156578064]","[0.5430307984352112, 0.8823206424713135, 0.3187917470932007, 0.11539769172668457]","[0.48572126030921936, 0.8742547631263733, 0.2742222547531128, 0.11488106846809387]","[0.5334203243255615, 0.8781052827835083, 0.34733182191848755, 0.11514774709939957]","[0.4868200421333313, 0.8861894607543945, 0.29815661907196045, 0.06478889286518097]","[0.5513694286346436, 0.9238280057907104, 0.2123689353466034, 0.1106211394071579]","[0.49503427743911743, 0.9220207333564758, 0.13137881457805634, 0.1067969873547554]"
"[0.5301570296287537, 0.33687496185302734, -0.4708043932914734, 0.9998055696487427]","[0.5395627617835999, 0.3245478570461273, -0.445433109998703, 0.999535322189331]","[0.5439124703407288, 0.3248298764228821, -0.44553571939468384, 0.9995284080505371]","[0.5479505658149719, 0.3250759541988373, -0.44561806321144104, 0.9995213747024536]","[0.5222058296203613, 0.32435333728790283, -0.44816091656684875, 0.999498188495636]","[0.5166757106781006, 0.3244841992855072, -0.4482995569705963, 0.9995132684707642]","[0.5113896131515503, 0.3247382342815399, -0.4484136402606964, 0.999482274055481]","[0.5528856515884399, 0.33166414499282837, -0.2925393283367157, 0.9990466237068176]","[0.5042887330055237, 0.33247825503349304, -0.3077934980392456, 0.9993579983711243]","[0.5397812724113464, 0.3526800572872162, -0.4139948785305023, 0.9998717308044434]","[0.5198154449462891, 0.35291945934295654, -0.41839078068733215, 0.9998723864555359]","[0.5981508493423462, 0.4286309480667114, -0.18899130821228027, 0.9998833537101746]","[0.4610668420791626, 0.42152926325798035, -0.2297849804162979, 0.9997661113739014]","[0.6053102612495422, 0.5415670275688171, -0.11950861662626266, 0.9860533475875854]","[0.4468441307544708, 0.5334977507591248, -0.2010248452425003, 0.9876711964607239]","[0.5951429009437561, 0.6415610313415527, -0.23598289489746094, 0.9699326157569885]","[0.4512714445590973, 0.6336045861244202, -0.3215673267841339, 0.9226998686790466]","[0.5934798717498779, 0.6719288229942322, -0.2818397283554077, 0.9325621724128723]","[0.45078977942466736, 0.6679438352584839, -0.36498546600341797, 0.8561911582946777]","[0.5846565365791321, 0.6692578196525574, -0.3163299858570099, 0.9399286508560181]","[0.4660199284553528, 0.6681874394416809, -0.4016200006008148, 0.8670679330825806]","[0.5833271145820618, 0.6579673290252686, -0.25135305523872375, 0.934319257736206]","[0.46852368116378784, 0.6556636095046997, -0.3375101089477539, 0.8569565415382385]","[0.558402419090271, 0.6238847970962524, 0.011429308913648129, 0.9978324174880981]","[0.4835565388202667, 0.6196759343147278, -0.01131464447826147, 0.9967648386955261]","[0.5460169911384583, 0.777432918548584, -0.038629356771707535, 0.3753368556499481]","[0.4867886006832123, 0.7713241577148438, -0.024057459086179733, 0.3580854535102844]","[0.5432645678520203, 0.8814051747322083, 0.31734499335289, 0.11174978315830231]","[0.48570576310157776, 0.873921275138855, 0.2736346125602722, 0.11309625208377838]","[0.5330236554145813, 0.8765386939048767, 0.34638217091560364, 0.11293818801641464]","[0.4867894649505615, 0.8858314156532288, 0.29766568541526794, 0.06508027762174606]","[0.5511267185211182, 0.9227315187454224, 0.21197915077209473, 0.10676784068346024]","[0.4948218762874603, 0.9214853048324585, 0.13208569586277008, 0.10452266782522202]"
"[0.5300857424736023, 0.3368823826313019, -0.478670209646225, 0.9998134970664978]","[0.5395094752311707, 0.32454681396484375, -0.45334482192993164, 0.9995553493499756]","[0.5439189672470093, 0.32482942938804626, -0.4534494876861572, 0.999549150466919]","[0.5479322671890259, 0.3250758945941925, -0.4535273015499115, 0.9995424151420593]","[0.5220995545387268, 0.3243521451950073, -0.45645782351493835, 0.9995192289352417]","[0.5166299343109131, 0.324478417634964, -0.4565975069999695, 0.999533474445343]","[0.5113048553466797, 0.3247359097003937, -0.45671290159225464, 0.9995030760765076]","[0.552890956401825, 0.33170562982559204, -0.2993885278701782, 0.9990940690040588]","[0.5043653845787048, 0.3324708938598633, -0.3163609802722931, 0.9993820190429688]","[0.5397804379463196, 0.35284340381622314, -0.4214504063129425, 0.9998769760131836]","[0.5197799801826477, 0.35308974981307983, -0.42629268765449524, 0.9998770356178284]","[0.5981897711753845, 0.42869099974632263, -0.19245821237564087, 0.9998852014541626]","[0.4610392451286316, 0.4218822419643402, -0.237356498837471, 0.9997670650482178]","[0.6054280400276184, 0.5413488149642944, -0.12046275287866592, 0.9862772226333618]","[0.4468459188938141, 0.5338088870048523, -0.20994432270526886, 0.9874919056892395]","[0.5952499508857727, 0.6408784985542297, -0.24049679934978485, 0.9702550768852234]","[0.4512004852294922, 0.633747398853302, -0.3313624858856201, 0.9209627509117126]","[0.5932825803756714, 0.67127925157547, -0.2863307297229767, 0.933332622051239]","[0.450872540473938, 0.668282151222229, -0.3756031394004822, 0.8539599776268005]","[0.5845420360565186, 0.6682029962539673, -0.3224380612373352, 0.9406092762947083]","[0.46602103114128113, 0.6685736775398254, -0.41247689723968506, 0.8650617599487305]","[0.5833345055580139, 0.6565718054771423, -0.2567709684371948, 0.9351167678833008]","[0.4685298204421997, 0.6560527086257935, -0.3474167287349701, 0.8553761839866638]","[0.5581040978431702, 0.6241059303283691, 0.011338401585817337, 0.9978356957435608]","[0.4831765294075012, 0.6198462843894958, -0.01120719313621521, 0.9967984557151794]","[0.5458277463912964, 0.7755254507064819, -0.014493160881102085, 0.37878933548927307]","[0.48676514625549316, 0.7704880237579346, -0.011581720784306526, 0.36412471532821655]","[0.5432090759277344, 0.8782863020896912, 0.3233870565891266, 0.1131160780787468]","[0.48569804430007935, 0.8706580996513367, 0.2763875424861908, 0.11513976007699966]","[0.5325354337692261, 0.8611827492713928, 0.3508671522140503, 0.11566316336393356]","[0.4867486357688904, 0.8826141357421875, 0.2999950349330902, 0.06805849820375443]","[0.5506165623664856, 0.9199622869491577, 0.2193802446126938, 0.10722261667251587]","[0.4945129454135895, 0.9177155494689941, 0.138741135597229, 0.10564202815294266]"
"[0.5301032662391663, 0.33682307600975037, -0.47502070665359497, 0.9998227953910828]","[0.5395086407661438, 0.3245237171649933, -0.4489741027355194, 0.9995783567428589]","[0.5439494848251343, 0.32480934262275696, -0.4490748345851898, 0.9995729327201843]","[0.5479297637939453, 0.32505306601524353, -0.4491526484489441, 0.9995659589767456]","[0.5220990777015686, 0.32433009147644043, -0.45312899351119995, 0.9995422959327698]","[0.5166303515434265, 0.3244504928588867, -0.45326897501945496, 0.9995562434196472]","[0.5113033056259155, 0.32471275329589844, -0.4533715546131134, 0.9995258450508118]","[0.552903413772583, 0.3316873610019684, -0.2920021414756775, 0.9991467595100403]","[0.5044706463813782, 0.3324260711669922, -0.31399625539779663, 0.9994116425514221]","[0.5398464798927307, 0.3528452217578888, -0.41668492555618286, 0.9998837113380432]","[0.5198022723197937, 0.3531043529510498, -0.42293500900268555, 0.9998829960823059]","[0.5981918573379517, 0.4286879897117615, -0.18120594322681427, 0.9998898506164551]","[0.4610552191734314, 0.4219891130924225, -0.23441863059997559, 0.9997718930244446]","[0.6058273315429688, 0.540601372718811, -0.10589700937271118, 0.9866832494735718]","[0.4468095600605011, 0.5338279604911804, -0.20153853297233582, 0.9875748753547668]","[0.5972926616668701, 0.6390370726585388, -0.2272021770477295, 0.9711596965789795]","[0.45069777965545654, 0.6330515146255493, -0.3221021890640259, 0.9217723608016968]","[0.5942938327789307, 0.6685131788253784, -0.2728295624256134, 0.9351493716239929]","[0.45075514912605286, 0.6660314798355103, -0.3660043478012085, 0.8555037975311279]","[0.5856764912605286, 0.6648523807525635, -0.30904534459114075, 0.9422509670257568]","[0.4650111198425293, 0.6660650372505188, -0.40335026383399963, 0.866519570350647]","[0.5847430229187012, 0.65407395362854, -0.24349619448184967, 0.9368516802787781]","[0.4673227071762085, 0.6540204286575317, -0.3382892906665802, 0.8568990230560303]","[0.558108925819397, 0.623867392539978, 0.012471161782741547, 0.9978668093681335]","[0.48309314250946045, 0.6193947196006775, -0.012329979799687862, 0.996825635433197]","[0.5457996129989624, 0.7755275368690491, -0.02450062893331051, 0.3759642541408539]","[0.4867810308933258, 0.7704205513000488, -0.028783831745386124, 0.3620268702507019]","[0.5430757403373718, 0.8789970278739929, 0.3130025565624237, 0.11120472848415375]","[0.48562300205230713, 0.8704355955123901, 0.26186203956604004, 0.11432766169309616]","[0.5315170288085938, 0.8687784671783447, 0.3398435413837433, 0.11511300504207611]","[0.48652780055999756, 0.8824242949485779, 0.28486892580986023, 0.06861518323421478]","[0.5505420565605164, 0.9207967519760132, 0.20534397661685944, 0.10522224009037018]","[0.494499534368515, 0.9175011515617371, 0.11722441762685776, 0.10491251945495605]"
"[0.5301427841186523, 0.33666202425956726, -0.4540294110774994, 0.9998294711112976]","[0.5395219326019287, 0.32448142766952515, -0.42763498425483704, 0.9995977878570557]","[0.5440042614936829, 0.32477498054504395, -0.4277433454990387, 0.9995924234390259]","[0.5479307174682617, 0.32501694560050964, -0.427841454744339, 0.9995860457420349]","[0.5221105217933655, 0.32427978515625, -0.42995595932006836, 0.99956214427948]","[0.5166429877281189, 0.3244021236896515, -0.4300815165042877, 0.9995750784873962]","[0.511309802532196, 0.3246718943119049, -0.43017154932022095, 0.999546229839325]","[0.5529483556747437, 0.33168187737464905, -0.27143552899360657, 0.9991961121559143]","[0.5046088099479675, 0.33238697052001953, -0.2845950424671173, 0.9994370341300964]","[0.5399323105812073, 0.35283854603767395, -0.39628544449806213, 0.9998895525932312]","[0.5198249220848083, 0.35310161113739014, -0.40009596943855286, 0.9998878240585327]","[0.5981969833374023, 0.4289204478263855, -0.168121799826622, 0.99989253282547]","[0.4611760973930359, 0.4219859838485718, -0.2014317512512207, 0.9997773170471191]","[0.6075774431228638, 0.5397810935974121, -0.09012503921985626, 0.9868473410606384]","[0.446580171585083, 0.5329411625862122, -0.16013233363628387, 0.9873716235160828]","[0.5983973741531372, 0.6339996457099915, -0.21497121453285217, 0.9707069396972656]","[0.4501001238822937, 0.6252983808517456, -0.28497314453125, 0.9205690026283264]","[0.5943430066108704, 0.6609512567520142, -0.2615613043308258, 0.9346630573272705]","[0.45047861337661743, 0.6540624499320984, -0.32876360416412354, 0.8540967106819153]","[0.5860533118247986, 0.6563891172409058, -0.29729071259498596, 0.9417712688446045]","[0.4626143276691437, 0.6527953147888184, -0.36537474393844604, 0.8650913834571838]","[0.5853542685508728, 0.6476709842681885, -0.2309529334306717, 0.9363119602203369]","[0.4644773304462433, 0.6437243223190308, -0.30131828784942627, 0.8550777435302734]","[0.5581905841827393, 0.6236447691917419, 0.012329432182013988, 0.99795001745224]","[0.4831846058368683, 0.6193167567253113, -0.012194364331662655, 0.9969398975372314]","[0.5460212230682373, 0.7744774222373962, -0.03227068856358528, 0.3721349537372589]","[0.48679080605506897, 0.7701506018638611, -0.02617541141808033, 0.3629761040210724]","[0.5430005192756653, 0.8776741623878479, 0.34048527479171753, 0.10675845295190811]","[0.48562130331993103, 0.8679457306861877, 0.2954258322715759, 0.11191623657941818]","[0.5315209031105042, 0.8600702285766602, 0.37267643213272095, 0.11181547492742538]","[0.4864824712276459, 0.879758894443512, 0.3223308324813843, 0.06795147061347961]","[0.5493994951248169, 0.920413613319397, 0.2386036068201065, 0.1012953519821167]","[0.49450039863586426, 0.914277970790863, 0.15657776594161987, 0.10231544822454453]"
"[0.5301689505577087, 0.336456298828125, -0.40007883310317993, 0.9998245239257812]","[0.539527416229248, 0.3244457244873047, -0.37391990423202515, 0.999595582485199]","[0.5440404415130615, 0.3247396647930145, -0.37404507398605347, 0.9995906352996826]","[0.547930121421814, 0.3249809741973877, -0.3741517663002014, 0.9995853304862976]","[0.5221166610717773, 0.32425937056541443, -0.37506064772605896, 0.9995575547218323]","[0.5166521668434143, 0.324385404586792, -0.37517106533050537, 0.9995697140693665]","[0.5113129019737244, 0.3246638774871826, -0.37526533007621765, 0.9995415806770325]","[0.5529757738113403, 0.3316687345504761, -0.2200511246919632, 0.999214768409729]","[0.5047393441200256, 0.3323840796947479, -0.22672253847122192, 0.9994327425956726]","[0.5400465726852417, 0.3527901768684387, -0.34329134225845337, 0.9998899698257446]","[0.519877016544342, 0.3530869781970978, -0.34514203667640686, 0.9998857975006104]","[0.5981991291046143, 0.42911282181739807, -0.11991315335035324, 0.9998888969421387]","[0.46149858832359314, 0.4219073951244354, -0.14885085821151733, 0.9997709393501282]","[0.6093345284461975, 0.5362602472305298, -0.04900325834751129, 0.9862287044525146]","[0.44574183225631714, 0.5290902256965637, -0.10602261871099472, 0.9869390726089478]","[0.5986391305923462, 0.615713357925415, -0.1885981559753418, 0.9682265520095825]","[0.4496176242828369, 0.6086429357528687, -0.23568667471408844, 0.9166561961174011]","[0.5928457975387573, 0.6413649320602417, -0.23706501722335815, 0.9310200214385986]","[0.4510408937931061, 0.6357953548431396, -0.28075721859931946, 0.8485299944877625]","[0.5847007632255554, 0.6345435380935669, -0.27328401803970337, 0.938414454460144]","[0.4625287353992462, 0.6327576041221619, -0.314859002828598, 0.8596596121788025]","[0.5850189328193665, 0.6257456541061401, -0.2053319662809372, 0.9325370788574219]","[0.46340593695640564, 0.6239565014839172, -0.25166475772857666, 0.849121630191803]","[0.5585768818855286, 0.6225196719169617, 0.012599214911460876, 0.9979886412620544]","[0.48375141620635986, 0.6181501746177673, -0.012438459321856499, 0.9970242977142334]","[0.5465000867843628, 0.7721511125564575, -0.03894863650202751, 0.3738197982311249]","[0.48671969771385193, 0.7664024233818054, -0.028941411525011063, 0.373339980840683]","[0.5419735312461853, 0.8752769827842712, 0.3480747640132904, 0.10359248518943787]","[0.4841368496417999, 0.8676637411117554, 0.2909996211528778, 0.1128455325961113]","[0.5314868092536926, 0.8596281409263611, 0.38130635023117065, 0.10955312103033066]","[0.48422718048095703, 0.8795533180236816, 0.31688347458839417, 0.0677734836935997]","[0.5469643473625183, 0.9199219942092896, 0.24350598454475403, 0.0986601933836937]","[0.4934544563293457, 0.9142722487449646, 0.14909636974334717, 0.10180431604385376]"
"[0.5301269292831421, 0.33627572655677795, -0.3615535497665405, 0.9997256994247437]","[0.5394864082336426, 0.3244084119796753, -0.335562527179718, 0.9994157552719116]","[0.5440420508384705, 0.3246985673904419, -0.33569931983947754, 0.9994059801101685]","[0.5479126572608948, 0.3249397575855255, -0.33583521842956543, 0.9994030594825745]","[0.5220749378204346, 0.32424530386924744, -0.3370670676231384, 0.9993838667869568]","[0.5166263580322266, 0.32437223196029663, -0.3371883034706116, 0.999401867389679]","[0.5112748742103577, 0.3246611952781677, -0.337307870388031, 0.999386727809906]","[0.5529935359954834, 0.3315524756908417, -0.18353122472763062, 0.9989727139472961]","[0.5048165917396545, 0.3323628008365631, -0.191017746925354, 0.9992584586143494]","[0.5400745272636414, 0.35268980264663696, -0.3052208423614502, 0.999843955039978]","[0.519875168800354, 0.353033185005188, -0.3072763681411743, 0.9998332858085632]","[0.5982913374900818, 0.4291188418865204, -0.08214014023542404, 0.9998217225074768]","[0.46153712272644043, 0.4217626452445984, -0.11906213313341141, 0.9997296929359436]","[0.6119621992111206, 0.5288226008415222, -0.0052085681818425655, 0.9788246154785156]","[0.44330960512161255, 0.5208244919776917, -0.07400059700012207, 0.984209418296814]","[0.5978079438209534, 0.5893927216529846, -0.13289977610111237, 0.938307523727417]","[0.44943755865097046, 0.5818914175033569, -0.1935538798570633, 0.8941128849983215]","[0.5903847813606262, 0.6116483807563782, -0.17542986571788788, 0.8950684666633606]","[0.45342084765434265, 0.6094820499420166, -0.23441515862941742, 0.8209671974182129]","[0.5840161442756653, 0.6014020442962646, -0.20863176882266998, 0.9043095111846924]","[0.4628261625766754, 0.6039015650749207, -0.2655763328075409, 0.8326001167297363]","[0.5845180749893188, 0.5939074158668518, -0.14888083934783936, 0.8977336287498474]","[0.4635705053806305, 0.5950087308883667, -0.20850618183612823, 0.8213599324226379]","[0.5590708255767822, 0.621619462966919, 0.014580530114471912, 0.9975205063819885]","[0.4847148358821869, 0.6154333353042603, -0.014375558122992516, 0.996591329574585]","[0.5465880632400513, 0.7722749710083008, -0.06276072561740875, 0.37293434143066406]","[0.48672106862068176, 0.7660404443740845, -0.05812216177582741, 0.37978696823120117]","[0.5393216609954834, 0.872489869594574, 0.3236020505428314, 0.10196781903505325]","[0.48202356696128845, 0.8684189915657043, 0.2504212558269501, 0.1150795966386795]","[0.5311271548271179, 0.8678668141365051, 0.3568923771381378, 0.10812771320343018]","[0.4815049171447754, 0.8800570964813232, 0.27416402101516724, 0.06792975217103958]","[0.5440184473991394, 0.9171057939529419, 0.214272141456604, 0.09710195660591125]","[0.49089673161506653, 0.9160613417625427, 0.09518714994192123, 0.10264070332050323]"
"[0.5301234126091003, 0.33655282855033875, -0.3353516757488251, 0.9997356534004211]","[0.5395005345344543, 0.32448703050613403, -0.3097853660583496, 0.9994537234306335]","[0.5440906882286072, 0.32476598024368286, -0.3099234700202942, 0.9994434714317322]","[0.5479182600975037, 0.3250100612640381, -0.31007254123687744, 0.9994388818740845]","[0.5220763683319092, 0.32434791326522827, -0.3088620901107788, 0.9994238615036011]","[0.516634464263916, 0.3244551420211792, -0.30895134806632996, 0.9994401931762695]","[0.5112776756286621, 0.32476434111595154, -0.3090404272079468, 0.9994279742240906]","[0.5530785918235779, 0.33159494400024414, -0.15640610456466675, 0.9990535378456116]","[0.5049773454666138, 0.33245179057121277, -0.15297283232212067, 0.9993101954460144]","[0.5400815606117249, 0.3530019521713257, -0.27845194935798645, 0.9998518824577332]","[0.5198774337768555, 0.3534877300262451, -0.2774854898452759, 0.9998413324356079]","[0.598595380783081, 0.42908862233161926, -0.06808637827634811, 0.9997994303703308]","[0.4616315960884094, 0.4217490553855896, -0.05972302705049515, 0.9997068047523499]","[0.6174068450927734, 0.5295330286026001, -0.08972656726837158, 0.9776080250740051]","[0.4418298304080963, 0.5217499732971191, -0.12824201583862305, 0.9811192154884338]","[0.5865492820739746, 0.5534037351608276, -0.3359207510948181, 0.9305250644683838]","[0.4491775929927826, 0.5213208198547363, -0.4323480725288391, 0.8949722647666931]","[0.5727205276489258, 0.5648300051689148, -0.3932100236415863, 0.8814719915390015]","[0.44746133685112, 0.5156248807907104, -0.4916446805000305, 0.8236972689628601]","[0.5702893137931824, 0.5525158047676086, -0.4028913974761963, 0.890930712223053]","[0.44942033290863037, 0.49978354573249817, -0.5028235912322998, 0.8344984650611877]","[0.5731213688850403, 0.547267496585846, -0.34397050738334656, 0.8827179670333862]","[0.45266836881637573, 0.5004992485046387, -0.4431948959827423, 0.8215203881263733]","[0.5590697526931763, 0.621609091758728, 0.009661228395998478, 0.9972147941589355]","[0.48492756485939026, 0.6154942512512207, -0.00945728737860918, 0.9963592886924744]","[0.5465888977050781, 0.7786254286766052, -0.0956939235329628, 0.3841129243373871]","[0.4867352545261383, 0.7698973417282104, -0.05153357982635498, 0.38746756315231323]","[0.5390341877937317, 0.8733533620834351, 0.294587105512619, 0.10106999427080154]","[0.4782617390155792, 0.8805184364318848, 0.23626360297203064, 0.11961200088262558]","[0.5325980186462402, 0.8786216378211975, 0.3270065486431122, 0.10668447613716125]","[0.47829756140708923, 0.893093466758728, 0.2578403353691101, 0.0691775530576706]","[0.541847288608551, 0.9176942706108093, 0.18857918679714203, 0.09476238489151001]","[0.4836834967136383, 0.9301699995994568, 0.0808488205075264, 0.10319694131612778]"
