"[0.44536396861076355, 0.3770756125450134, -0.4840601682662964, 0.9999977350234985]","[0.46742144227027893, 0.35421013832092285, -0.4577804505825043, 0.999990701675415]","[0.47703346610069275, 0.35569387674331665, -0.45746761560440063, 0.9999949932098389]","[0.48577332496643066, 0.3570466637611389, -0.4571205973625183, 0.9999899864196777]","[0.4332251250743866, 0.35275667905807495, -0.4525166451931, 0.9999912977218628]","[0.42038628458976746, 0.35254907608032227, -0.4523423910140991, 0.9999947547912598]","[0.40964069962501526, 0.35287219285964966, -0.4522872269153595, 0.9999876022338867]","[0.5017557740211487, 0.37038302421569824, -0.26797211170196533, 0.9999943971633911]","[0.399123877286911, 0.36378180980682373, -0.2439063936471939, 0.9999942779541016]","[0.4651049077510834, 0.4076870083808899, -0.41555559635162354, 0.9999977350234985]","[0.4220699369907379, 0.4037293791770935, -0.4086037576198578, 0.9999974966049194]","[0.5719242691993713, 0.5243480205535889, -0.16052402555942535, 0.9999970197677612]","[0.3207249939441681, 0.5243980884552002, -0.106769859790802, 0.9999974966049194]","[0.6330417394638062, 0.7485687136650085, -0.2817312777042389, 0.9745200276374817]","[0.2757263779640198, 0.7434788346290588, -0.2486378699541092, 0.96542888879776]","[0.6565291285514832, 0.6813328266143799, -0.6938042044639587, 0.9979255199432373]","[0.23738276958465576, 0.6970005035400391, -0.7782566547393799, 0.997372031211853]","[0.6653730869293213, 0.6625792384147644, -0.7683715224266052, 0.9952183365821838]","[0.21636216342449188, 0.675710916519165, -0.8575815558433533, 0.9959384202957153]","[0.669530987739563, 0.6449623703956604, -0.7716637849807739, 0.9954250454902649]","[0.21352817118167877, 0.6491338014602661, -0.8833757042884827, 0.9961550831794739]","[0.6608837842941284, 0.6512943506240845, -0.7067061066627502, 0.9955980181694031]","[0.22166244685649872, 0.6529354453086853, -0.8042589426040649, 0.9960867166519165]","[0.5376871228218079, 0.8406047224998474, -0.009309306740760803, 0.40920349955558777]","[0.3640478253364563, 0.8405451774597168, 0.012102619744837284, 0.4391523003578186]","[0.5290290713310242, 1.088962435722351, 0.03441627696156502, 0.00042748061241582036]","[0.3594949543476105, 1.097520112991333, 0.13825388252735138, 0.00031384825706481934]","[0.5238205790519714, 1.314899206161499, 0.3643787205219269, 4.579136293614283e-05]","[0.36165574193000793, 1.3263750076293945, 0.4234561324119568, 1.0281361937813926e-05]","[0.5294789671897888, 1.3457109928131104, 0.38172876834869385, 0.0002719927579164505]","[0.35750895738601685, 1.3569490909576416, 0.4400216042995453, 4.6872977691236883e-05]","[0.5021243691444397, 1.3944183588027954, 0.10736120492219925, 6.14250820945017e-05]","[0.3815501630306244, 1.4066779613494873, 0.12206179648637772, 5.2712006436195225e-05]"
"[0.4454112648963928, 0.3743579685688019, -0.4630587697029114, 0.9999978542327881]","[0.46740052103996277, 0.352051705121994, -0.4338826537132263, 0.9999914169311523]","[0.4770408272743225, 0.35323306918144226, -0.43350154161453247, 0.9999953508377075]","[0.4859519302845001, 0.3545216917991638, -0.43317100405693054, 0.9999907612800598]","[0.43314361572265625, 0.35031557083129883, -0.42732882499694824, 0.9999918937683105]","[0.42031389474868774, 0.3502439856529236, -0.4270787537097931, 0.9999950528144836]","[0.40957266092300415, 0.3504810035228729, -0.4269912838935852, 0.9999884366989136]","[0.5021710991859436, 0.36914002895355225, -0.2345161885023117, 0.9999948143959045]","[0.39870983362197876, 0.3628913462162018, -0.20645307004451752, 0.9999946355819702]","[0.46509847044944763, 0.4046541154384613, -0.39206570386886597, 0.9999978542327881]","[0.4220992624759674, 0.40175265073776245, -0.3841473460197449, 0.999997615814209]","[0.5707365870475769, 0.5231136083602905, -0.12532994151115417, 0.9999971985816956]","[0.320726603269577, 0.5240838527679443, -0.05873275175690651, 0.9999974370002747]","[0.6419583559036255, 0.7494370937347412, -0.2753583788871765, 0.976193368434906]","[0.25719887018203735, 0.7430958151817322, -0.2662031948566437, 0.9669734835624695]","[0.658153772354126, 0.643658459186554, -0.6654577851295471, 0.9980213046073914]","[0.22847901284694672, 0.6325204968452454, -0.8483226895332336, 0.9974920153617859]","[0.6653919219970703, 0.6033884882926941, -0.7324442267417908, 0.9953805804252625]","[0.21469451487064362, 0.5917122960090637, -0.9294824004173279, 0.9960612654685974]","[0.6695367693901062, 0.5845470428466797, -0.7159442901611328, 0.9955968260765076]","[0.2138976752758026, 0.568854808807373, -0.9236508011817932, 0.9962596893310547]","[0.6611881852149963, 0.5931200385093689, -0.6691159009933472, 0.9957043528556824]","[0.22170110046863556, 0.5810211300849915, -0.8629935383796692, 0.9961817860603333]","[0.5386162400245667, 0.8363876938819885, -0.009807775728404522, 0.40506643056869507]","[0.3636087477207184, 0.8343596458435059, 0.012737768702208996, 0.4349973499774933]","[0.5359203219413757, 1.0865727663040161, -0.006619083229452372, 0.0004993109032511711]","[0.36108607053756714, 1.0968291759490967, 0.09118040651082993, 0.0003409154014661908]","[0.5507091283798218, 1.3131211996078491, 0.2806217670440674, 4.55544977739919e-05]","[0.36196017265319824, 1.3279882669448853, 0.28136029839515686, 1.0220813237538096e-05]","[0.5311619639396667, 1.3454185724258423, 0.2934683561325073, 0.0002629805530887097]","[0.357931911945343, 1.3604960441589355, 0.28703543543815613, 4.4898479245603085e-05]","[0.5032161474227905, 1.3962234258651733, 0.021704766899347305, 5.944453369011171e-05]","[0.37759125232696533, 1.4097970724105835, -0.031383104622364044, 5.018020965508185e-05]"
"[0.445882648229599, 0.37069934606552124, -0.4659891128540039, 0.9999979734420776]","[0.46755117177963257, 0.3496186435222626, -0.43570464849472046, 0.9999920129776001]","[0.4774285852909088, 0.35057973861694336, -0.43535566329956055, 0.9999956488609314]","[0.4865261912345886, 0.3518982231616974, -0.4350358247756958, 0.9999914169311523]","[0.43319615721702576, 0.3478904366493225, -0.43034377694129944, 0.9999924302101135]","[0.4204111397266388, 0.3479965031147003, -0.43011441826820374, 0.9999953508377075]","[0.40967321395874023, 0.3481985628604889, -0.4300561249256134, 0.9999892115592957]","[0.5029745697975159, 0.3676304817199707, -0.22526484727859497, 0.9999951720237732]","[0.3985515236854553, 0.3620801270008087, -0.20523951947689056, 0.9999949336051941]","[0.46529099345207214, 0.4007086157798767, -0.39336898922920227, 0.9999979734420776]","[0.42222386598587036, 0.39863643050193787, -0.38700777292251587, 0.9999977350234985]","[0.5706830024719238, 0.5215865969657898, -0.11603667587041855, 0.9999972581863403]","[0.3207511305809021, 0.5236848592758179, -0.054938457906246185, 0.999997079372406]","[0.6492491364479065, 0.7517478466033936, -0.3109215199947357, 0.9778069257736206]","[0.24379709362983704, 0.7425647974014282, -0.3291472792625427, 0.9686408638954163]","[0.6563887596130371, 0.6182824373245239, -0.7278211116790771, 0.9981060028076172]","[0.22899022698402405, 0.6029049754142761, -0.9448171854019165, 0.9975377321243286]","[0.6570444107055664, 0.5740057229995728, -0.7993293404579163, 0.9954640865325928]","[0.22431866824626923, 0.5558362603187561, -1.0311498641967773, 0.9959337711334229]","[0.658381998538971, 0.5507158637046814, -0.7546064853668213, 0.9956986308097839]","[0.2281075417995453, 0.5335410237312317, -1.0063505172729492, 0.9961094856262207]","[0.652675986289978, 0.5621650218963623, -0.7211207747459412, 0.995685875415802]","[0.23223212361335754, 0.5469393730163574, -0.9513838291168213, 0.9959793090820312]","[0.5394792556762695, 0.8357009887695312, -0.012936282902956009, 0.40674424171447754]","[0.36272814869880676, 0.8339052200317383, 0.016039688140153885, 0.4350961744785309]","[0.5408709645271301, 1.0865446329116821, -0.03461463376879692, 0.0006654267781414092]","[0.3610968291759491, 1.0975390672683716, 0.09387638419866562, 0.0003693726612254977]","[0.5633383393287659, 1.3127988576889038, 0.24288544058799744, 4.832756530959159e-05]","[0.3627583682537079, 1.3319921493530273, 0.29510563611984253, 1.0390936040494125e-05]","[0.5357847213745117, 1.3463038206100464, 0.2551751434803009, 0.0002627881767693907]","[0.3594209551811218, 1.3669391870498657, 0.3013207018375397, 4.290548895369284e-05]","[0.5064914226531982, 1.400490164756775, -0.023876821622252464, 5.994206003379077e-05]","[0.3761424422264099, 1.4140853881835938, -0.013594163581728935, 4.8814810725161806e-05]"
"[0.4476374089717865, 0.3647722601890564, -0.46750757098197937, 0.9999979734420776]","[0.4689250588417053, 0.3440343737602234, -0.43372437357902527, 0.9999923706054688]","[0.4789220690727234, 0.3450720012187958, -0.4334004819393158, 0.999995768070221]","[0.48829615116119385, 0.34658023715019226, -0.43313294649124146, 0.9999918937683105]","[0.43423062562942505, 0.3413887023925781, -0.42958468198776245, 0.9999926686286926]","[0.42117276787757874, 0.34129413962364197, -0.42938053607940674, 0.9999953508377075]","[0.409959077835083, 0.3415822982788086, -0.429371178150177, 0.9999896287918091]","[0.504202663898468, 0.36427557468414307, -0.20670044422149658, 0.9999954104423523]","[0.39774054288864136, 0.3591476380825043, -0.1916615217924118, 0.9999949932098389]","[0.46634119749069214, 0.39704471826553345, -0.39034509658813477, 0.9999979734420776]","[0.42341309785842896, 0.3953697681427002, -0.38575857877731323, 0.9999977350234985]","[0.5705271363258362, 0.5187537670135498, -0.10471353679895401, 0.9999973773956299]","[0.32057756185531616, 0.5144262313842773, -0.05692283436655998, 0.9999966025352478]","[0.6500132083892822, 0.7519338726997375, -0.32543253898620605, 0.979804277420044]","[0.2310057431459427, 0.7407318949699402, -0.36795198917388916, 0.9711097478866577]","[0.6150498986244202, 0.5949698686599731, -0.7218170762062073, 0.9982390999794006]","[0.2687143087387085, 0.5633094906806946, -0.9184103608131409, 0.9976707696914673]","[0.5987710356712341, 0.5467703938484192, -0.7941857576370239, 0.9956368207931519]","[0.2737915515899658, 0.5061811804771423, -1.005273699760437, 0.9959102869033813]","[0.5949988961219788, 0.5171010494232178, -0.7470809817314148, 0.9958574771881104]","[0.27931275963783264, 0.48652929067611694, -0.9700540900230408, 0.9960019588470459]","[0.5919463038444519, 0.5311087965965271, -0.7202543616294861, 0.9957655072212219]","[0.28723540902137756, 0.5086642503738403, -0.9183782339096069, 0.9958190321922302]","[0.5394343733787537, 0.8343017101287842, -0.010789763182401657, 0.4353885352611542]","[0.36160966753959656, 0.8322389721870422, 0.013930235989391804, 0.45773330330848694]","[0.5401908159255981, 1.0867135524749756, 0.009785027243196964, 0.0009765108115971088]","[0.35676711797714233, 1.097395658493042, 0.09431199729442596, 0.000497412693221122]","[0.5497918725013733, 1.3182554244995117, 0.26847365498542786, 5.328924089553766e-05]","[0.3563908040523529, 1.3351404666900635, 0.32252803444862366, 1.2759415767504834e-05]","[0.5356155633926392, 1.3509854078292847, 0.28431639075279236, 0.0002780244394671172]","[0.3510522246360779, 1.3712539672851562, 0.3316105306148529, 4.498258203966543e-05]","[0.5049905776977539, 1.4073165655136108, 0.01609964109957218, 6.34127645753324e-05]","[0.3710417151451111, 1.419093370437622, 0.015261947177350521, 5.143210000824183e-05]"
"[0.44779911637306213, 0.3611100912094116, -0.44481998682022095, 0.9999980330467224]","[0.46897372603416443, 0.34089964628219604, -0.4050655663013458, 0.9999929070472717]","[0.4790377616882324, 0.3417809307575226, -0.4048040211200714, 0.9999960064888]","[0.4884931743144989, 0.34322935342788696, -0.4046071171760559, 0.9999924898147583]","[0.43423014879226685, 0.33903130888938904, -0.400996595621109, 0.9999931454658508]","[0.42117729783058167, 0.3394101858139038, -0.40076279640197754, 0.9999955892562866]","[0.4099559187889099, 0.33996859192848206, -0.40082263946533203, 0.9999903440475464]","[0.504410982131958, 0.3617575764656067, -0.17325140535831451, 0.9999957084655762]","[0.3972679674625397, 0.35821032524108887, -0.15447352826595306, 0.999995231628418]","[0.466641366481781, 0.39389121532440186, -0.3632848262786865, 0.9999980330467224]","[0.42380836606025696, 0.39251020550727844, -0.35869359970092773, 0.9999977946281433]","[0.570561408996582, 0.5166987180709839, -0.07749693095684052, 0.9999974370002747]","[0.3205932080745697, 0.5123549699783325, -0.033151544630527496, 0.9999961853027344]","[0.6511727571487427, 0.753117561340332, -0.31712862849235535, 0.9816269278526306]","[0.22786463797092438, 0.7379907965660095, -0.35020315647125244, 0.9734987616539001]","[0.608478307723999, 0.5922927260398865, -0.7163511514663696, 0.9983503222465515]","[0.2772245407104492, 0.5575610995292664, -0.8916131258010864, 0.9978005886077881]","[0.5909022092819214, 0.5457701086997986, -0.7863665819168091, 0.9957468509674072]","[0.28164127469062805, 0.5012720227241516, -0.9766384959220886, 0.9959126710891724]","[0.5876966714859009, 0.5151861310005188, -0.7284899950027466, 0.9959624409675598]","[0.2867310345172882, 0.4814954400062561, -0.9577908515930176, 0.9959375262260437]","[0.5849685668945312, 0.5299546122550964, -0.7008809447288513, 0.9957928657531738]","[0.2951257824897766, 0.5040544867515564, -0.8935322761535645, 0.9957149028778076]","[0.5394287705421448, 0.833577573299408, -0.009844409301877022, 0.46990010142326355]","[0.3608514666557312, 0.8311300277709961, 0.012985480017960072, 0.4887091815471649]","[0.5398840308189392, 1.0866636037826538, -0.003191290656104684, 0.0012054103426635265]","[0.35479214787483215, 1.0973507165908813, 0.09264974296092987, 0.000606637797318399]","[0.5451227426528931, 1.3218533992767334, 0.24686144292354584, 5.477120430441573e-05]","[0.35553446412086487, 1.3399516344070435, 0.25527259707450867, 1.460791190766031e-05]","[0.535595178604126, 1.3538082838058472, 0.2593561112880707, 0.0002766535908449441]","[0.3503839671611786, 1.376570463180542, 0.258841872215271, 4.488917693379335e-05]","[0.5049750208854675, 1.4101691246032715, -0.020971450954675674, 6.485234916908666e-05]","[0.36942026019096375, 1.4227399826049805, -0.05752521753311157, 5.2538995078066364e-05]"
"[0.447823166847229, 0.3596210777759552, -0.43738168478012085, 0.9999980926513672]","[0.46899130940437317, 0.33925142884254456, -0.39643824100494385, 0.9999934434890747]","[0.4791174829006195, 0.3402054011821747, -0.39616742730140686, 0.9999962449073792]","[0.48866376280784607, 0.34172919392585754, -0.39597153663635254, 0.999993085861206]","[0.4342004954814911, 0.33760616183280945, -0.39300695061683655, 0.999993622303009]","[0.4211612641811371, 0.3381567895412445, -0.39276161789894104, 0.9999958276748657]","[0.4099094569683075, 0.338801771402359, -0.39281338453292847, 0.9999910593032837]","[0.5044439435005188, 0.3604569733142853, -0.16396209597587585, 0.9999960064888]","[0.3968026041984558, 0.3573044240474701, -0.14778470993041992, 0.9999954700469971]","[0.4666629135608673, 0.3927837610244751, -0.3552200496196747, 0.999998152256012]","[0.42387911677360535, 0.3912283182144165, -0.35131940245628357, 0.9999978542327881]","[0.5704178810119629, 0.5160580277442932, -0.0688835009932518, 0.9999974966049194]","[0.3205403983592987, 0.5117904543876648, -0.02911188080906868, 0.999995768070221]","[0.651499330997467, 0.7536969780921936, -0.3141219913959503, 0.983267068862915]","[0.2263428419828415, 0.7370921969413757, -0.34470677375793457, 0.975581705570221]","[0.6066938638687134, 0.5915083289146423, -0.7023924589157104, 0.9984445571899414]","[0.2780735492706299, 0.5573989748954773, -0.8837502002716064, 0.9979041814804077]","[0.5894705653190613, 0.5434352159500122, -0.772489070892334, 0.9958257079124451]","[0.2830398678779602, 0.5013203620910645, -0.9687320590019226, 0.995884358882904]","[0.5854013562202454, 0.5138984322547913, -0.7164846658706665, 0.9960408210754395]","[0.28750860691070557, 0.4809238016605377, -0.9514709711074829, 0.9958482384681702]","[0.5821022987365723, 0.529323160648346, -0.6856618523597717, 0.9957979321479797]","[0.2952011823654175, 0.5027426481246948, -0.8846099972724915, 0.9955887794494629]","[0.5381628274917603, 0.8334202170372009, -0.008996887132525444, 0.49844837188720703]","[0.3582782745361328, 0.8309350609779358, 0.012176359072327614, 0.5135500431060791]","[0.5396143794059753, 1.0872174501419067, -0.007996303960680962, 0.001381385955028236]","[0.3507384955883026, 1.0981371402740479, 0.0907500609755516, 0.0006846380420029163]","[0.5367047786712646, 1.3263710737228394, 0.24594387412071228, 5.550623973249458e-05]","[0.3510725498199463, 1.3451905250549316, 0.24840128421783447, 1.5789111785124987e-05]","[0.5340824127197266, 1.3580169677734375, 0.25817352533340454, 0.0002727918908931315]","[0.34594425559043884, 1.3820208311080933, 0.25187474489212036, 4.420438563101925e-05]","[0.5033443570137024, 1.4145770072937012, -0.023202713578939438, 6.533111445605755e-05]","[0.36386972665786743, 1.427965521812439, -0.06600439548492432, 5.249858440947719e-05]"
"[0.4477041959762573, 0.35932907462120056, -0.442922979593277, 0.999998152256012]","[0.46895158290863037, 0.3385046720504761, -0.40363478660583496, 0.9999939203262329]","[0.4791102409362793, 0.33958378434181213, -0.4033590853214264, 0.9999964833259583]","[0.48866844177246094, 0.3411668837070465, -0.40315207839012146, 0.999993622303009]","[0.43396085500717163, 0.3370344340801239, -0.4000232517719269, 0.9999940395355225]","[0.4209408164024353, 0.3376414179801941, -0.3997918963432312, 0.9999960064888]","[0.4095965027809143, 0.33831337094306946, -0.3998299241065979, 0.9999916553497314]","[0.5043852925300598, 0.3597871959209442, -0.17268912494182587, 0.9999963045120239]","[0.3962361216545105, 0.3565918505191803, -0.15569835901260376, 0.9999957084655762]","[0.46653592586517334, 0.39246895909309387, -0.3614097833633423, 0.9999982118606567]","[0.423839807510376, 0.3905797004699707, -0.3571449816226959, 0.9999979138374329]","[0.5701700448989868, 0.5150536894798279, -0.07437486946582794, 0.999997615814209]","[0.32039105892181396, 0.5112552642822266, -0.03323560208082199, 0.9999954700469971]","[0.6513609290122986, 0.7537893652915955, -0.31286951899528503, 0.9847599864006042]","[0.22564758360385895, 0.7368783354759216, -0.35316866636276245, 0.9774482846260071]","[0.6058246493339539, 0.5915448069572449, -0.7058648467063904, 0.9985346794128418]","[0.2788017988204956, 0.5594146847724915, -0.9033158421516418, 0.9980002045631409]","[0.5887501239776611, 0.5440480709075928, -0.7778283953666687, 0.9959139227867126]","[0.2851693332195282, 0.505528450012207, -0.9901373982429504, 0.9958551526069641]","[0.5851394534111023, 0.5142648220062256, -0.7246701121330261, 0.9961268901824951]","[0.28895828127861023, 0.48338666558265686, -0.9545567631721497, 0.9957588911056519]","[0.5818657279014587, 0.5297359228134155, -0.6873192191123962, 0.9958124160766602]","[0.29679882526397705, 0.5042848587036133, -0.9011271595954895, 0.9954622983932495]","[0.5379343032836914, 0.8329223394393921, -0.008768877014517784, 0.5257963538169861]","[0.3576440215110779, 0.8306145668029785, 0.011947180144488811, 0.537513792514801]","[0.5394583940505981, 1.087334394454956, -0.0054599083960056305, 0.0016438100719824433]","[0.3503085672855377, 1.0983387231826782, 0.09586760401725769, 0.0007858289172872901]","[0.5346798300743103, 1.327806830406189, 0.2555217742919922, 5.991559737594798e-05]","[0.35087162256240845, 1.346765398979187, 0.27118897438049316, 1.794955642253626e-05]","[0.5340290069580078, 1.3594255447387695, 0.2680581212043762, 0.00028306804597377777]","[0.3457689881324768, 1.3835221529006958, 0.2763773500919342, 4.555179475573823e-05]","[0.5033419132232666, 1.4160194396972656, -0.014308743178844452, 6.810399645473808e-05]","[0.3639523684978485, 1.4298628568649292, -0.04257294908165932, 5.407150456449017e-05]"
"[0.44783923029899597, 0.3521646559238434, -0.4555102288722992, 0.9999919533729553]","[0.46888306736946106, 0.32828301191329956, -0.4080500900745392, 0.9999759197235107]","[0.4791063070297241, 0.329764723777771, -0.40772050619125366, 0.9999839067459106]","[0.48867371678352356, 0.3315185010433197, -0.40752264857292175, 0.9999773502349854]","[0.43387290835380554, 0.32492753863334656, -0.4052853286266327, 0.9999762773513794]","[0.42077887058258057, 0.32454657554626465, -0.4053299129009247, 0.9999820590019226]","[0.40941187739372253, 0.32472094893455505, -0.40555644035339355, 0.9999719858169556]","[0.5044242143630981, 0.3519718050956726, -0.18553578853607178, 0.9999832510948181]","[0.39562132954597473, 0.343317449092865, -0.16712725162506104, 0.9999802708625793]","[0.46657535433769226, 0.3875183165073395, -0.3677673935890198, 0.9999905228614807]","[0.4238145053386688, 0.3845459818840027, -0.36473581194877625, 0.9999902844429016]","[0.5725107789039612, 0.5144973397254944, -0.10901849716901779, 0.9999948143959045]","[0.3183709979057312, 0.5115922689437866, -0.04770264774560928, 0.9999924898147583]","[0.6441852450370789, 0.7540221810340881, -0.37469086050987244, 0.985715389251709]","[0.21817366778850555, 0.739212691783905, -0.39246687293052673, 0.9789132475852966]","[0.5039520859718323, 0.5939362645149231, -0.6985144019126892, 0.998404324054718]","[0.36538177728652954, 0.5775551795959473, -0.8321858048439026, 0.9975439310073853]","[0.4773743152618408, 0.5360646843910217, -0.7527623772621155, 0.9946193099021912]","[0.39569997787475586, 0.5197786688804626, -0.8971964120864868, 0.9928563833236694]","[0.4809066653251648, 0.5126917362213135, -0.6827967166900635, 0.9945168495178223]","[0.3967624008655548, 0.5021801590919495, -0.8205941915512085, 0.9915112257003784]","[0.4824957251548767, 0.5297624468803406, -0.6732004284858704, 0.9941391348838806]","[0.39350759983062744, 0.5224604606628418, -0.8085644841194153, 0.9914010167121887]","[0.5428667664527893, 0.8323534727096558, -0.008149178698658943, 0.555189311504364]","[0.3546055257320404, 0.8312394618988037, 0.011200105771422386, 0.565918505191803]","[0.5405606627464294, 1.1072663068771362, 0.11737409234046936, 0.0017304746434092522]","[0.35057899355888367, 1.1103012561798096, 0.173869326710701, 0.001017162692733109]","[0.5348508954048157, 1.345582127571106, 0.5178073048591614, 6.103886698838323e-05]","[0.35065460205078125, 1.3568768501281738, 0.4824223518371582, 2.3488240913138725e-05]","[0.5360291600227356, 1.3814641237258911, 0.5437703132629395, 0.00028369302162900567]","[0.3444780707359314, 1.3952690362930298, 0.5025330781936646, 5.635761408484541e-05]","[0.5081970691680908, 1.4369150400161743, 0.2415948361158371, 7.180059037636966e-05]","[0.3667397201061249, 1.4459742307662964, 0.16445498168468475, 6.569641118403524e-05]"
"[0.44784000515937805, 0.3495689332485199, -0.48421791195869446, 0.9999860525131226]","[0.468707799911499, 0.3261004090309143, -0.43925222754478455, 0.9999573230743408]","[0.47899162769317627, 0.32746315002441406, -0.43887969851493835, 0.9999716281890869]","[0.48864316940307617, 0.3290300965309143, -0.4386163353919983, 0.9999595880508423]","[0.43348121643066406, 0.32233119010925293, -0.43494826555252075, 0.999958336353302]","[0.42024436593055725, 0.3218999207019806, -0.4350332021713257, 0.9999687671661377]","[0.4086262583732605, 0.32220688462257385, -0.43523985147476196, 0.9999514818191528]","[0.5044364929199219, 0.34873631596565247, -0.20534168183803558, 0.9999699592590332]","[0.39491236209869385, 0.34067776799201965, -0.1819637268781662, 0.9999650120735168]","[0.46657952666282654, 0.3856271207332611, -0.3979324996471405, 0.9999832510948181]","[0.42377451062202454, 0.38260817527770996, -0.392947793006897, 0.9999833106994629]","[0.5766791701316833, 0.5145025849342346, -0.14045961201190948, 0.999992311000824]","[0.31678131222724915, 0.5118648409843445, -0.06781105697154999, 0.9999901652336121]","[0.6429157257080078, 0.7545228600502014, -0.39856380224227905, 0.9865350127220154]","[0.21732454001903534, 0.7414713501930237, -0.40806663036346436, 0.9801909923553467]","[0.4960888624191284, 0.5972787737846375, -0.700987696647644, 0.9982948899269104]","[0.37479865550994873, 0.5848698616027832, -0.832718551158905, 0.9971967935562134]","[0.4694811701774597, 0.5377164483070374, -0.7542803287506104, 0.9935427904129028]","[0.40412554144859314, 0.5242165327072144, -0.8990057706832886, 0.9904814958572388]","[0.473340779542923, 0.5158329606056213, -0.6866024136543274, 0.993162989616394]","[0.40534183382987976, 0.508240282535553, -0.825238823890686, 0.9881282448768616]","[0.4756406843662262, 0.5329160690307617, -0.6770455241203308, 0.9926784634590149]","[0.4021871089935303, 0.5290058851242065, -0.8115581274032593, 0.9880139827728271]","[0.5471062660217285, 0.8313918113708496, -0.008057991042733192, 0.5801452398300171]","[0.3536652624607086, 0.83128422498703, 0.011063090525567532, 0.5902780890464783]","[0.5437736511230469, 1.112960696220398, 0.13160665333271027, 0.0018097292631864548]","[0.35218048095703125, 1.1139963865280151, 0.1886577308177948, 0.0012006887700408697]","[0.5357072353363037, 1.3505070209503174, 0.5408914685249329, 6.385930464603007e-05]","[0.3509041666984558, 1.3600786924362183, 0.5139479637145996, 2.899942410294898e-05]","[0.538179874420166, 1.3870010375976562, 0.5670159459114075, 0.0002929908223450184]","[0.34433475136756897, 1.3989890813827515, 0.534938633441925, 6.898113497300074e-05]","[0.5111761689186096, 1.4426895380020142, 0.26067325472831726, 7.641464617336169e-05]","[0.3687187731266022, 1.4504705667495728, 0.19329465925693512, 7.780650048516691e-05]"
"[0.4478371739387512, 0.35035309195518494, -0.49431049823760986, 0.999975323677063]","[0.46850427985191345, 0.32687583565711975, -0.4532090723514557, 0.9999274611473083]","[0.47876477241516113, 0.32810428738594055, -0.45285099744796753, 0.9999511241912842]","[0.4885723292827606, 0.32958757877349854, -0.45262426137924194, 0.9999301433563232]","[0.43286722898483276, 0.32352301478385925, -0.45008644461631775, 0.9999318718910217]","[0.41930338740348816, 0.32332974672317505, -0.45012450218200684, 0.9999491572380066]","[0.4071776866912842, 0.32369452714920044, -0.450313538312912, 0.9999231100082397]","[0.5044007301330566, 0.34871187806129456, -0.22181326150894165, 0.9999486207962036]","[0.3934679329395294, 0.3413906395435333, -0.2039056420326233, 0.9999451041221619]","[0.46658268570899963, 0.38629284501075745, -0.40896815061569214, 0.9999721050262451]","[0.42363014817237854, 0.38322916626930237, -0.4050017297267914, 0.9999735951423645]","[0.5781502723693848, 0.5144792795181274, -0.14330849051475525, 0.9999884963035583]","[0.3150825798511505, 0.5119081735610962, -0.08484285324811935, 0.9999873638153076]","[0.640104353427887, 0.7545119524002075, -0.38071343302726746, 0.9871677756309509]","[0.21717822551727295, 0.7455143332481384, -0.4062138497829437, 0.981135904788971]","[0.4854426085948944, 0.5999414920806885, -0.6773813366889954, 0.9978922009468079]","[0.3820389211177826, 0.5891813039779663, -0.8264179825782776, 0.9966172575950623]","[0.4562585949897766, 0.5373730659484863, -0.7237208485603333, 0.9910309910774231]","[0.4091550409793854, 0.5264769792556763, -0.891728401184082, 0.9871082901954651]","[0.46212196350097656, 0.5168562531471252, -0.6490417718887329, 0.9902380108833313]","[0.40943047404289246, 0.5104886293411255, -0.8168925046920776, 0.9835132956504822]","[0.4664752185344696, 0.5357214212417603, -0.649347186088562, 0.9894512295722961]","[0.4066323935985565, 0.5328165888786316, -0.803413987159729, 0.9832229614257812]","[0.5468627214431763, 0.8298745155334473, -0.007232179399579763, 0.6031972169876099]","[0.3520027995109558, 0.8304068446159363, 0.010069852694869041, 0.6134487986564636]","[0.543621301651001, 1.1141438484191895, 0.14291878044605255, 0.0021044800523668528]","[0.3513922095298767, 1.115166187286377, 0.17587484419345856, 0.001554938848130405]","[0.5327697992324829, 1.3520129919052124, 0.5656371116638184, 7.551528688054532e-05]","[0.34783607721328735, 1.3614407777786255, 0.493289053440094, 3.9680744521319866e-05]","[0.5359590649604797, 1.3883520364761353, 0.5937513113021851, 0.0003251584421377629]","[0.34102627635002136, 1.4000967741012573, 0.5133422613143921, 8.89505899976939e-05]","[0.5101528167724609, 1.443962812423706, 0.2931002974510193, 8.968123438535258e-05]","[0.36774367094039917, 1.4523231983184814, 0.1745094209909439, 9.486832277616486e-05]"
