"[0.5431041121482849, 0.3416081666946411, -0.5054973363876343, 0.9997922778129578]","[0.5507143139839172, 0.32937416434288025, -0.48001164197921753, 0.9994472861289978]","[0.5545638203620911, 0.32962942123413086, -0.4801020622253418, 0.9994224309921265]","[0.5590836405754089, 0.33002033829689026, -0.48018980026245117, 0.9993804693222046]","[0.5357019901275635, 0.3283878564834595, -0.4886496663093567, 0.9994391798973083]","[0.5291101932525635, 0.328205943107605, -0.4888114631175995, 0.9994722008705139]","[0.5235605239868164, 0.3282006084918976, -0.48894795775413513, 0.9994254112243652]","[0.5617291927337646, 0.3357709050178528, -0.3180101811885834, 0.9987346529960632]","[0.5135434865951538, 0.3343467712402344, -0.36078765988349915, 0.9993759989738464]","[0.5491572618484497, 0.35665419697761536, -0.4438636004924774, 0.9998664855957031]","[0.5309512615203857, 0.35570257902145386, -0.4563060402870178, 0.9998868703842163]","[0.5992908477783203, 0.43490535020828247, -0.18970946967601776, 0.9998724460601807]","[0.4639500677585602, 0.4193488359451294, -0.2807808220386505, 0.999790370464325]","[0.6038620471954346, 0.5464444160461426, -0.11234364658594131, 0.9859774112701416]","[0.4456254243850708, 0.5307382941246033, -0.25586703419685364, 0.9925214648246765]","[0.5978749394416809, 0.6470136642456055, -0.23574434220790863, 0.9714880585670471]","[0.4509226083755493, 0.6331783533096313, -0.3620831370353699, 0.9432938098907471]","[0.5979161858558655, 0.6772861480712891, -0.2805115878582001, 0.9305802583694458]","[0.45041608810424805, 0.6680580377578735, -0.40482833981513977, 0.8797133564949036]","[0.5864384174346924, 0.6753318309783936, -0.3162718415260315, 0.9384691715240479]","[0.4661533832550049, 0.6682438254356384, -0.44005852937698364, 0.8887197375297546]","[0.5842136740684509, 0.6643983721733093, -0.2523764967918396, 0.9330784678459167]","[0.4690871238708496, 0.6549155116081238, -0.37613099813461304, 0.8784643411636353]","[0.5542401075363159, 0.622031033039093, 0.024975860491394997, 0.9974600672721863]","[0.4817304015159607, 0.6173458695411682, -0.02487056516110897, 0.9963546991348267]","[0.543143093585968, 0.779995322227478, 0.0007549860747531056, 0.4036712050437927]","[0.4823528528213501, 0.7694746255874634, -0.030251750722527504, 0.3410620093345642]","[0.539515495300293, 0.8923172354698181, 0.3191331624984741, 0.10889266431331635]","[0.47460460662841797, 0.8795375823974609, 0.2583480477333069, 0.11060319095849991]","[0.5338475704193115, 0.9077269434928894, 0.3429281711578369, 0.10936659574508667]","[0.47445565462112427, 0.8932117223739624, 0.2802690863609314, 0.06936637312173843]","[0.5490424633026123, 0.936809241771698, 0.19614958763122559, 0.10009849071502686]","[0.4830164313316345, 0.9266868829727173, 0.10120487213134766, 0.10737136006355286]"
"[0.5419168472290039, 0.34154996275901794, -0.48441237211227417, 0.9998032450675964]","[0.5500100255012512, 0.3292802572250366, -0.45882707834243774, 0.9994802474975586]","[0.5538488030433655, 0.3295338451862335, -0.4589163064956665, 0.999457061290741]","[0.5584813356399536, 0.32989585399627686, -0.4589959979057312, 0.9994184970855713]","[0.5346148014068604, 0.3282887935638428, -0.4655079245567322, 0.9994693398475647]","[0.5281030535697937, 0.32809895277023315, -0.46564555168151855, 0.9994992613792419]","[0.5228568315505981, 0.32805928587913513, -0.4657534956932068, 0.9994545578956604]","[0.5616136193275452, 0.33577463030815125, -0.297876238822937, 0.9988189339637756]","[0.51332026720047, 0.334312379360199, -0.3317986726760864, 0.9994075894355774]","[0.5484843254089355, 0.3567318618297577, -0.42371484637260437, 0.9998742341995239]","[0.5299206972122192, 0.35592120885849, -0.43350842595100403, 0.999891996383667]","[0.599337100982666, 0.4349682033061981, -0.17558839917182922, 0.9998789429664612]","[0.464324414730072, 0.4193408787250519, -0.252485990524292, 0.9997957348823547]","[0.6038451790809631, 0.5468294620513916, -0.09761596471071243, 0.9864158034324646]","[0.4456550180912018, 0.5304851531982422, -0.22372370958328247, 0.9925335645675659]","[0.5978703498840332, 0.6466715335845947, -0.2226673662662506, 0.9727309346199036]","[0.45083871483802795, 0.6321145296096802, -0.3399743437767029, 0.9441945552825928]","[0.5978941321372986, 0.6772624850273132, -0.2682977020740509, 0.9336254596710205]","[0.45034661889076233, 0.6672123670578003, -0.38381657004356384, 0.8819105625152588]","[0.5866952538490295, 0.675333559513092, -0.30584996938705444, 0.9411556720733643]","[0.466031014919281, 0.6673028469085693, -0.4201432466506958, 0.8906719088554382]","[0.5844318270683289, 0.6642941832542419, -0.23983918130397797, 0.9359349012374878]","[0.46891865134239197, 0.653854250907898, -0.35515689849853516, 0.8805735111236572]","[0.5542377233505249, 0.6229830980300903, 0.024236321449279785, 0.9975596070289612]","[0.481548935174942, 0.6177500486373901, -0.024123109877109528, 0.9964847564697266]","[0.5427262783050537, 0.7804363369941711, -0.013598347082734108, 0.39464840292930603]","[0.48205795884132385, 0.7705211043357849, -0.035514090210199356, 0.33960768580436707]","[0.5382661819458008, 0.8924376964569092, 0.30883336067199707, 0.10459163784980774]","[0.4747646450996399, 0.8805733323097229, 0.2478785216808319, 0.10764265805482864]","[0.5331242680549622, 0.907709538936615, 0.33334970474243164, 0.10572720319032669]","[0.47468599677085876, 0.8938974142074585, 0.2693825960159302, 0.06768631935119629]","[0.5467687845230103, 0.9368296265602112, 0.18799903988838196, 0.09637190401554108]","[0.4833920896053314, 0.9281180500984192, 0.09059733897447586, 0.10413002967834473]"
"[0.5411282777786255, 0.3415314853191376, -0.4884778559207916, 0.9998127222061157]","[0.5494999885559082, 0.3292240798473358, -0.46293696761131287, 0.9995087385177612]","[0.55330890417099, 0.3294786810874939, -0.4630269706249237, 0.9994874596595764]","[0.5579946637153625, 0.32982075214385986, -0.4631134569644928, 0.9994518756866455]","[0.5338364839553833, 0.32822713255882263, -0.46973916888237, 0.999494731426239]","[0.5273945331573486, 0.32803207635879517, -0.4698832333087921, 0.9995222687721252]","[0.5223579406738281, 0.3279721140861511, -0.46999552845954895, 0.9994788765907288]","[0.5614930391311646, 0.3357888460159302, -0.3016963303089142, 0.9988933205604553]","[0.5131523013114929, 0.3343007564544678, -0.3355116546154022, 0.9994332194328308]","[0.547997772693634, 0.35683581233024597, -0.42753252387046814, 0.999880850315094]","[0.5292341709136963, 0.3561461269855499, -0.43751564621925354, 0.9998960494995117]","[0.5993877053260803, 0.4350094199180603, -0.17702049016952515, 0.9998844861984253]","[0.4645361006259918, 0.41933995485305786, -0.25373825430870056, 0.999799370765686]","[0.6038458943367004, 0.5469608902931213, -0.09934613108634949, 0.9866846203804016]","[0.44566968083381653, 0.5303489565849304, -0.2237962931394577, 0.9923455119132996]","[0.597870945930481, 0.6461570858955383, -0.2245987057685852, 0.9734001159667969]","[0.45072653889656067, 0.6314022541046143, -0.3392607569694519, 0.9435504674911499]","[0.5978845357894897, 0.6770783066749573, -0.2700207233428955, 0.9353641867637634]","[0.4501694142818451, 0.6664650440216064, -0.38308656215667725, 0.8814741969108582]","[0.5869305729866028, 0.675221860408783, -0.30717089772224426, 0.9426987767219543]","[0.4657477140426636, 0.6665746569633484, -0.4195820987224579, 0.8902061581611633]","[0.584641695022583, 0.6638616919517517, -0.24163833260536194, 0.937531590461731]","[0.468546986579895, 0.6531559824943542, -0.3546445071697235, 0.8801504969596863]","[0.5542452931404114, 0.6234721541404724, 0.022344397380948067, 0.9976247549057007]","[0.4814632534980774, 0.6179715991020203, -0.02222987450659275, 0.9965475797653198]","[0.5422095656394958, 0.780437171459198, -0.018427377566695213, 0.38621699810028076]","[0.48167064785957336, 0.7705144286155701, -0.03551732376217842, 0.33591657876968384]","[0.5368022322654724, 0.8924097418785095, 0.30503159761428833, 0.10163386166095734]","[0.4748471677303314, 0.8803091049194336, 0.24919801950454712, 0.10553979128599167]","[0.5317676067352295, 0.9075856804847717, 0.32980290055274963, 0.10363230109214783]","[0.4748997092247009, 0.8934021592140198, 0.27075570821762085, 0.06662645936012268]","[0.5451366901397705, 0.9364733099937439, 0.1855759173631668, 0.09403253346681595]","[0.4834481477737427, 0.9279182553291321, 0.09094209969043732, 0.10206577181816101]"
"[0.5407088398933411, 0.3415360748767853, -0.4938620924949646, 0.9998193383216858]","[0.5491751432418823, 0.32921621203422546, -0.46874305605888367, 0.9995294809341431]","[0.5529474020004272, 0.3294696509838104, -0.46883106231689453, 0.9995102882385254]","[0.557662844657898, 0.32980266213417053, -0.4689301550388336, 0.9994771480560303]","[0.5333749055862427, 0.32822081446647644, -0.47377562522888184, 0.9995123147964478]","[0.5269604921340942, 0.3280249536037445, -0.47391951084136963, 0.9995381236076355]","[0.5220327377319336, 0.3279620110988617, -0.47401663661003113, 0.9994953274726868]","[0.5613954067230225, 0.3358622193336487, -0.30824753642082214, 0.9989510178565979]","[0.51299649477005, 0.3343368172645569, -0.33881887793540955, 0.9994494318962097]","[0.5477393865585327, 0.3570607304573059, -0.4332408905029297, 0.9998851418495178]","[0.5288895964622498, 0.3565087914466858, -0.44089189171791077, 0.9998980760574341]","[0.5994120836257935, 0.43510985374450684, -0.18708887696266174, 0.9998877048492432]","[0.46468761563301086, 0.41934043169021606, -0.25868454575538635, 0.9998011589050293]","[0.6038363575935364, 0.5471588969230652, -0.10908859223127365, 0.9866654872894287]","[0.44567790627479553, 0.5303245782852173, -0.22987772524356842, 0.9920528531074524]","[0.5978609919548035, 0.6458407640457153, -0.22802676260471344, 0.9732651710510254]","[0.4506904184818268, 0.6310606598854065, -0.3429703414440155, 0.9414700269699097]","[0.5978554487228394, 0.6769851446151733, -0.27274763584136963, 0.9353395104408264]","[0.45013973116874695, 0.6662665009498596, -0.38654956221580505, 0.8785836100578308]","[0.5870460271835327, 0.6751799583435059, -0.3108854293823242, 0.942674994468689]","[0.465513676404953, 0.6663084626197815, -0.42273733019828796, 0.8874363899230957]","[0.5847449898719788, 0.6636298894882202, -0.24526286125183105, 0.9374591112136841]","[0.4682285189628601, 0.6529629230499268, -0.35806339979171753, 0.8773776292800903]","[0.5541630983352661, 0.6236642003059387, 0.02120875008404255, 0.9976438879966736]","[0.48123684525489807, 0.6179720163345337, -0.02108832076191902, 0.9965623021125793]","[0.5414911508560181, 0.7799525856971741, -0.01635383628308773, 0.3787255883216858]","[0.4813215434551239, 0.7689180374145508, -0.03526816517114639, 0.3332512378692627]","[0.5352640748023987, 0.8918566703796387, 0.3019575774669647, 0.10009948909282684]","[0.4748271107673645, 0.8788653612136841, 0.24982842803001404, 0.10467447340488434]","[0.5300235748291016, 0.9069399833679199, 0.32612907886505127, 0.10308478772640228]","[0.4749002754688263, 0.891723096370697, 0.2714546322822571, 0.06640399992465973]","[0.5439897179603577, 0.9352201819419861, 0.18204858899116516, 0.09303492307662964]","[0.48331311345100403, 0.9265445470809937, 0.09206215292215347, 0.10129684954881668]"
"[0.5403671860694885, 0.34154024720191956, -0.4963749051094055, 0.999825656414032]","[0.5488865375518799, 0.32921236753463745, -0.47123777866363525, 0.9995492696762085]","[0.5526300668716431, 0.3294648826122284, -0.4713269770145416, 0.9995321035385132]","[0.5573352575302124, 0.3297901153564453, -0.4714295268058777, 0.9995012879371643]","[0.5329489707946777, 0.3282194435596466, -0.4755818247795105, 0.9995295405387878]","[0.5265771150588989, 0.32802364230155945, -0.4757257401943207, 0.9995536804199219]","[0.5217304229736328, 0.3279607594013214, -0.47581687569618225, 0.9995114207267761]","[0.5612866878509521, 0.33592790365219116, -0.3108918368816376, 0.9990057945251465]","[0.5128361582756042, 0.3344269394874573, -0.3413044214248657, 0.9994660019874573]","[0.5475485324859619, 0.35721009969711304, -0.43594619631767273, 0.9998893141746521]","[0.5286412239074707, 0.35677996277809143, -0.44266048073768616, 0.9999003410339355]","[0.5994293689727783, 0.43520185351371765, -0.190802663564682, 0.9998907446861267]","[0.46475958824157715, 0.4193709194660187, -0.2612621486186981, 0.9998029470443726]","[0.6037532687187195, 0.5472322106361389, -0.11376938968896866, 0.9866816997528076]","[0.4455918073654175, 0.5303300023078918, -0.232821986079216, 0.9918387532234192]","[0.5978077054023743, 0.6455217003822327, -0.23248469829559326, 0.9732663631439209]","[0.4506126344203949, 0.6308379769325256, -0.3446267247200012, 0.9397561550140381]","[0.5977532863616943, 0.6768001317977905, -0.27733296155929565, 0.9355330467224121]","[0.4500015676021576, 0.6660799980163574, -0.38751253485679626, 0.8761433362960815]","[0.587078869342804, 0.6750328540802002, -0.31598716974258423, 0.9428492188453674]","[0.46511542797088623, 0.6660726070404053, -0.42342039942741394, 0.8850986361503601]","[0.58477783203125, 0.6632733941078186, -0.2499266415834427, 0.9375789165496826]","[0.46784448623657227, 0.6528916358947754, -0.3592735230922699, 0.8750622272491455]","[0.5540159940719604, 0.6238163113594055, 0.02076253853738308, 0.9976483583450317]","[0.4808945953845978, 0.6179743409156799, -0.020633840933442116, 0.9965696930885315]","[0.5410357117652893, 0.7793194651603699, -0.01602613739669323, 0.3741740584373474]","[0.48110517859458923, 0.7682893872261047, -0.03458661586046219, 0.3333252966403961]","[0.5348644256591797, 0.8912667632102966, 0.3028990626335144, 0.0997011661529541]","[0.47484850883483887, 0.878119170665741, 0.2502404451370239, 0.10475568473339081]","[0.5294533371925354, 0.9063122272491455, 0.32673805952072144, 0.10339301824569702]","[0.47498658299446106, 0.8908558487892151, 0.2718349099159241, 0.06656260043382645]","[0.5439068675041199, 0.9341707229614258, 0.18228375911712646, 0.09295850247144699]","[0.4833177924156189, 0.9258798360824585, 0.09291864931583405, 0.10129863768815994]"
"[0.5400273203849792, 0.3415648639202118, -0.5012678503990173, 0.9998291730880737]","[0.5486161112785339, 0.32921257615089417, -0.4760458767414093, 0.9995627999305725]","[0.5523175001144409, 0.329465389251709, -0.4761342704296112, 0.9995478987693787]","[0.5569593906402588, 0.3297886550426483, -0.47624945640563965, 0.9995192885398865]","[0.5324674248695374, 0.32821962237358093, -0.48046377301216125, 0.9995394349098206]","[0.5261077880859375, 0.32802286744117737, -0.480612188577652, 0.99956214427948]","[0.5213413834571838, 0.3279595971107483, -0.48070433735847473, 0.9995197057723999]","[0.5611305832862854, 0.3360062837600708, -0.3139735162258148, 0.9990493655204773]","[0.5126458406448364, 0.33446070551872253, -0.3423042297363281, 0.9994745254516602]","[0.5473843216896057, 0.3574059009552002, -0.43997228145599365, 0.9998915195465088]","[0.5283976793289185, 0.3570362329483032, -0.44672563672065735, 0.9999004602432251]","[0.5994425415992737, 0.43522658944129944, -0.19304746389389038, 0.9998924136161804]","[0.4648335874080658, 0.41950520873069763, -0.2615993320941925, 0.9998002052307129]","[0.6036224365234375, 0.5472433567047119, -0.11403296142816544, 0.986540675163269]","[0.44455015659332275, 0.5303759574890137, -0.2303418219089508, 0.9913772344589233]","[0.5977245569229126, 0.6451433897018433, -0.2318587601184845, 0.9725126624107361]","[0.4505174160003662, 0.6297813057899475, -0.3410627543926239, 0.9350482821464539]","[0.5976860523223877, 0.6764577627182007, -0.27623945474624634, 0.9342333674430847]","[0.4502340853214264, 0.6633167266845703, -0.38347798585891724, 0.8687289357185364]","[0.5871046781539917, 0.6746764183044434, -0.3149573504924774, 0.9417060017585754]","[0.46541282534599304, 0.6636853814125061, -0.4187377095222473, 0.877983570098877]","[0.5847873091697693, 0.6626676917076111, -0.24922585487365723, 0.9362792372703552]","[0.46786826848983765, 0.6511189341545105, -0.3557557761669159, 0.8676487803459167]","[0.5538884401321411, 0.6240963935852051, 0.020108388736844063, 0.9976262450218201]","[0.4804511070251465, 0.6179677844047546, -0.01998036727309227, 0.9965121746063232]","[0.5406311750411987, 0.7788559794425964, -0.017087021842598915, 0.36714980006217957]","[0.4809838831424713, 0.7674955725669861, -0.03447021543979645, 0.33111512660980225]","[0.5342310667037964, 0.8911188840866089, 0.3014143705368042, 0.09859469532966614]","[0.4747776687145233, 0.8772383332252502, 0.250489205121994, 0.10396469384431839]","[0.5288209319114685, 0.9061632752418518, 0.32535746693611145, 0.10274089127779007]","[0.47495630383491516, 0.8898192048072815, 0.27219459414482117, 0.0662275031208992]","[0.5433481931686401, 0.9336051344871521, 0.179350346326828, 0.09208554774522781]","[0.4831100404262543, 0.9250242710113525, 0.09368472546339035, 0.10056015104055405]"
"[0.5396793484687805, 0.3415740728378296, -0.5067728161811829, 0.9998318552970886]","[0.5482932925224304, 0.32919538021087646, -0.4817175567150116, 0.9995745420455933]","[0.5520002841949463, 0.32944589853286743, -0.48179692029953003, 0.9995610117912292]","[0.5565173625946045, 0.32974788546562195, -0.4819130599498749, 0.9995344877243042]","[0.5318991541862488, 0.3282296657562256, -0.4859691858291626, 0.9995495080947876]","[0.525636613368988, 0.3280457556247711, -0.48611757159233093, 0.9995706081390381]","[0.52093905210495, 0.328000009059906, -0.48621171712875366, 0.9995293021202087]","[0.560925304889679, 0.33599311113357544, -0.3195740282535553, 0.999086856842041]","[0.5124116539955139, 0.3346717655658722, -0.34386077523231506, 0.9994850158691406]","[0.5473175644874573, 0.3575441539287567, -0.4453922212123871, 0.9998928308486938]","[0.5283072590827942, 0.3573954403400421, -0.45208147168159485, 0.9999008178710938]","[0.5995082855224609, 0.43521416187286377, -0.2017744481563568, 0.9998922944068909]","[0.4648607075214386, 0.4195847809314728, -0.26160159707069397, 0.9997972249984741]","[0.6035693883895874, 0.5472534894943237, -0.12175421416759491, 0.9861787557601929]","[0.44056904315948486, 0.52957683801651, -0.2315039485692978, 0.9908570051193237]","[0.5976531505584717, 0.6447486877441406, -0.23488877713680267, 0.9706646800041199]","[0.45067015290260315, 0.6253417134284973, -0.3399210572242737, 0.9269781708717346]","[0.5975267291069031, 0.6761178374290466, -0.27859917283058167, 0.9309618473052979]","[0.4524747431278229, 0.6569437384605408, -0.38107404112815857, 0.8557949066162109]","[0.587105393409729, 0.6742063760757446, -0.3166441321372986, 0.9387779235839844]","[0.4671756327152252, 0.6566998958587646, -0.4141860008239746, 0.8654160499572754]","[0.5847868919372559, 0.6620664596557617, -0.25178730487823486, 0.9331120848655701]","[0.46855995059013367, 0.6452858448028564, -0.3537929952144623, 0.854642391204834]","[0.553892970085144, 0.6243757605552673, 0.018045630306005478, 0.9975833296775818]","[0.48043355345726013, 0.6179757714271545, -0.01793104037642479, 0.9964268803596497]","[0.5403292775154114, 0.7783134579658508, -0.017441503703594208, 0.35996514558792114]","[0.4809727966785431, 0.7664925456047058, -0.029075855389237404, 0.3301427960395813]","[0.5334622859954834, 0.8908652067184448, 0.3021017909049988, 0.09795516729354858]","[0.4744948744773865, 0.8754258155822754, 0.25855889916419983, 0.10375498235225677]","[0.5281139612197876, 0.9059059619903564, 0.3262120187282562, 0.10272988677024841]","[0.47473976016044617, 0.887861967086792, 0.28089916706085205, 0.0665668323636055]","[0.5420325994491577, 0.9330174922943115, 0.18022219836711884, 0.09156493842601776]","[0.48210182785987854, 0.9229399561882019, 0.10626596212387085, 0.10005728900432587]"
"[0.5372519493103027, 0.341576486825943, -0.48437055945396423, 0.9998344779014587]","[0.5464967489242554, 0.32914260029792786, -0.4597615897655487, 0.9995856285095215]","[0.550794780254364, 0.32939159870147705, -0.4598333537578583, 0.9995719194412231]","[0.5546753406524658, 0.32969096302986145, -0.4599432349205017, 0.9995470643043518]","[0.5293964743614197, 0.3282420039176941, -0.4624180197715759, 0.9995585680007935]","[0.5237866044044495, 0.3280768096446991, -0.4625575542449951, 0.9995771646499634]","[0.5188178420066833, 0.32808718085289, -0.46265748143196106, 0.9995383620262146]","[0.5598660111427307, 0.33596038818359375, -0.29981014132499695, 0.9991201758384705]","[0.5119046568870544, 0.3348503112792969, -0.3170221745967865, 0.9994942545890808]","[0.5462464094161987, 0.35755833983421326, -0.4238603413105011, 0.9998949766159058]","[0.5268365740776062, 0.35757142305374146, -0.4286905527114868, 0.999902069568634]","[0.5995354056358337, 0.4351225197315216, -0.1854754239320755, 0.9998933672904968]","[0.4648888111114502, 0.419676274061203, -0.22948265075683594, 0.9997994303703308]","[0.603624165058136, 0.5472583770751953, -0.10571133345365524, 0.9861827492713928]","[0.4367120563983917, 0.5244410634040833, -0.20018455386161804, 0.990628719329834]","[0.5975538492202759, 0.6443386673927307, -0.22320301830768585, 0.9699472188949585]","[0.4507083594799042, 0.6029159426689148, -0.3129635453224182, 0.9240182042121887]","[0.5971426367759705, 0.6756531000137329, -0.2683662474155426, 0.9299175143241882]","[0.45358335971832275, 0.6311882734298706, -0.354216992855072, 0.8505530953407288]","[0.5869992971420288, 0.6735238432884216, -0.3046618700027466, 0.9377561807632446]","[0.46743258833885193, 0.6283625960350037, -0.38564515113830566, 0.8601107597351074]","[0.5847020745277405, 0.661444365978241, -0.23937618732452393, 0.9319115281105042]","[0.46862784028053284, 0.6196836233139038, -0.3260653614997864, 0.8485800623893738]","[0.5546188354492188, 0.6258320212364197, 0.017458194866776466, 0.9976093769073486]","[0.4813597500324249, 0.6190095543861389, -0.017365112900733948, 0.9964327812194824]","[0.5403927564620972, 0.7791815996170044, -0.024117354303598404, 0.3477206826210022]","[0.4808873236179352, 0.7678570747375488, -0.029255282133817673, 0.32500261068344116]","[0.5325212478637695, 0.8926426768302917, 0.3037027418613434, 0.09420230239629745]","[0.47245925664901733, 0.8760080337524414, 0.26497259736061096, 0.1007809266448021]","[0.526715874671936, 0.907353937625885, 0.3296492099761963, 0.09943065792322159]","[0.47261911630630493, 0.8883862495422363, 0.28853321075439453, 0.06505588442087173]","[0.5399153828620911, 0.9354497194290161, 0.1810857653617859, 0.08857400715351105]","[0.4793153405189514, 0.9233132004737854, 0.11157597601413727, 0.09717942774295807]"
"[0.5343174934387207, 0.3417949080467224, -0.450058251619339, 0.9998356699943542]","[0.543587327003479, 0.3291645348072052, -0.42598456144332886, 0.9996005296707153]","[0.5487810969352722, 0.32940420508384705, -0.42608076333999634, 0.999587893486023]","[0.552337110042572, 0.32970839738845825, -0.4262089729309082, 0.9995652437210083]","[0.5265352129936218, 0.328408420085907, -0.4263581335544586, 0.9995673298835754]","[0.5214508771896362, 0.32829776406288147, -0.4264826774597168, 0.9995818138122559]","[0.5162674188613892, 0.32845690846443176, -0.42657098174095154, 0.9995436072349548]","[0.5574482679367065, 0.3360697329044342, -0.27019819617271423, 0.9991734027862549]","[0.5112602710723877, 0.33530473709106445, -0.27732279896736145, 0.9994977116584778]","[0.5442020893096924, 0.3578775227069855, -0.3915133476257324, 0.9998967051506042]","[0.524714469909668, 0.3582306504249573, -0.3936075270175934, 0.9999004602432251]","[0.5994724035263062, 0.4350874722003937, -0.17185959219932556, 0.999886691570282]","[0.4649071991443634, 0.4199085831642151, -0.17977318167686462, 0.9997685551643372]","[0.6037721037864685, 0.5471704602241516, -0.10583431273698807, 0.9856046438217163]","[0.4332554340362549, 0.5196613073348999, -0.18996493518352509, 0.9871817231178284]","[0.5976666212081909, 0.6438373327255249, -0.22207503020763397, 0.9658100605010986]","[0.44702664017677307, 0.5550292730331421, -0.356987863779068, 0.9103207588195801]","[0.5971529483795166, 0.6753349304199219, -0.2659675180912018, 0.9233718514442444]","[0.452775776386261, 0.5771849155426025, -0.4020317494869232, 0.8356648683547974]","[0.5871161818504333, 0.673312246799469, -0.30080315470695496, 0.931796669960022]","[0.46156245470046997, 0.5701762437820435, -0.42975732684135437, 0.8459046483039856]","[0.5849311351776123, 0.6612440943717957, -0.2376033216714859, 0.9263857007026672]","[0.46156907081604004, 0.5612291693687439, -0.3717697560787201, 0.8336716890335083]","[0.5548276305198669, 0.6259574890136719, 0.011665253899991512, 0.9974962472915649]","[0.4814656674861908, 0.6190770268440247, -0.011579381301999092, 0.996150553226471]","[0.5405216217041016, 0.7816088795661926, -0.04941411316394806, 0.3372676372528076]","[0.48070159554481506, 0.7719900012016296, -0.038851626217365265, 0.3191441297531128]","[0.5325969457626343, 0.8976641297340393, 0.2525620460510254, 0.09250271320343018]","[0.47001200914382935, 0.8834967017173767, 0.22886061668395996, 0.09932621568441391]","[0.5267971754074097, 0.9131734371185303, 0.27455636858940125, 0.09853494167327881]","[0.47075098752975464, 0.8964717984199524, 0.24856923520565033, 0.06427402049303055]","[0.5401917099952698, 0.9394034743309021, 0.12184761464595795, 0.08693176507949829]","[0.47402510046958923, 0.9305784106254578, 0.0675545483827591, 0.09449901431798935]"
"[0.5294960737228394, 0.34332603216171265, -0.36870792508125305, 0.9998441934585571]","[0.5386388301849365, 0.32981061935424805, -0.34904998540878296, 0.9996271729469299]","[0.5443120002746582, 0.3298734426498413, -0.34916549921035767, 0.9996156096458435]","[0.5489205121994019, 0.3301571011543274, -0.34929636120796204, 0.9995940923690796]","[0.5219321846961975, 0.3298776149749756, -0.34601151943206787, 0.9995937943458557]","[0.5166820883750916, 0.3299791216850281, -0.346096396446228, 0.999606192111969]","[0.5127164125442505, 0.3303077518939972, -0.3461281657218933, 0.9995715618133545]","[0.5537793636322021, 0.3364993929862976, -0.2162635177373886, 0.9992402791976929]","[0.5098319053649902, 0.33627748489379883, -0.20602260529994965, 0.9995183348655701]","[0.5402897596359253, 0.3593689501285553, -0.3185007870197296, 0.9999018311500549]","[0.5205814242362976, 0.35990968346595764, -0.3156360983848572, 0.99990314245224]","[0.599209189414978, 0.4346124529838562, -0.14079661667346954, 0.9998882412910461]","[0.464905709028244, 0.41997426748275757, -0.10990488529205322, 0.9997464418411255]","[0.6040439009666443, 0.5471125841140747, -0.10593802481889725, 0.9860593676567078]","[0.42550423741340637, 0.5206281542778015, -0.2023112177848816, 0.987143337726593]","[0.5976753830909729, 0.6438189744949341, -0.22624802589416504, 0.9673489332199097]","[0.44613364338874817, 0.49104562401771545, -0.5277040600776672, 0.9187290668487549]","[0.5971017479896545, 0.6753307580947876, -0.26726600527763367, 0.9268707633018494]","[0.4524568021297455, 0.47775745391845703, -0.5842564702033997, 0.8508225679397583]","[0.5871172547340393, 0.6733148097991943, -0.30067166686058044, 0.9348215460777283]","[0.45821577310562134, 0.464061439037323, -0.5842915177345276, 0.8599740266799927]","[0.5849637985229492, 0.6612488031387329, -0.23817749321460724, 0.9299297332763672]","[0.4584958851337433, 0.4688677489757538, -0.5330354571342468, 0.8484154939651489]","[0.5550717711448669, 0.6258467435836792, 0.006070978473871946, 0.9976153373718262]","[0.4816497564315796, 0.6189084649085999, -0.006110123824328184, 0.9962710738182068]","[0.541486918926239, 0.7868456244468689, -0.0732780396938324, 0.33293482661247253]","[0.4807005226612091, 0.7756840586662292, -0.038227688521146774, 0.3235802948474884]","[0.5327009558677673, 0.9039108157157898, 0.2087779939174652, 0.08790642023086548]","[0.46965616941452026, 0.8894736170768738, 0.21561531722545624, 0.09592026472091675]","[0.5269438624382019, 0.9187124371528625, 0.2289646863937378, 0.09341629594564438]","[0.4707189202308655, 0.9026634693145752, 0.23450806736946106, 0.06120279058814049]","[0.5396475195884705, 0.9467089772224426, 0.08536331355571747, 0.08218321949243546]","[0.473044216632843, 0.9371192455291748, 0.0690453052520752, 0.08916203677654266]"
