"[0.4019984304904938, 0.36653998494148254, -0.4720878303050995, 0.9998836517333984]","[0.4176434576511383, 0.34571373462677, -0.44553327560424805, 0.9997641444206238]","[0.4266762137413025, 0.3461707830429077, -0.4453529417514801, 0.9998152852058411]","[0.4374091923236847, 0.34736567735671997, -0.4453977644443512, 0.9997345805168152]","[0.38408273458480835, 0.3471899628639221, -0.443783700466156, 0.9997966885566711]","[0.37117189168930054, 0.34914594888687134, -0.4439008831977844, 0.9998148083686829]","[0.36027127504348755, 0.3518449664115906, -0.44427838921546936, 0.9997677206993103]","[0.45815837383270264, 0.36562564969062805, -0.24388661980628967, 0.9998018145561218]","[0.34618738293647766, 0.3713725805282593, -0.23263593018054962, 0.9999078512191772]","[0.42229536175727844, 0.3992038071155548, -0.39231008291244507, 0.9999067783355713]","[0.38039904832839966, 0.4029186964035034, -0.39005911350250244, 0.9999649524688721]","[0.537432849407196, 0.5054571628570557, -0.11917229741811752, 0.9998489618301392]","[0.2679343819618225, 0.5168164372444153, -0.10901198536157608, 0.999915361404419]","[0.6006572842597961, 0.7064366340637207, -0.3531228005886078, 0.9956680536270142]","[0.18277046084403992, 0.722459077835083, -0.32365575432777405, 0.9886242151260376]","[0.5119192600250244, 0.5283879041671753, -0.6985849738121033, 0.9986540079116821]","[0.3481554687023163, 0.7410255670547485, -0.7006067633628845, 0.9510774612426758]","[0.49446967244148254, 0.487997442483902, -0.774698793888092, 0.9910753965377808]","[0.3960180878639221, 0.7558385133743286, -0.7648816108703613, 0.8344770669937134]","[0.49229857325553894, 0.4686209559440613, -0.7147642374038696, 0.9888185858726501]","[0.40814197063446045, 0.7278945446014404, -0.734689474105835, 0.8137957453727722]","[0.49216708540916443, 0.4828389883041382, -0.6798628568649292, 0.9879761338233948]","[0.39609554409980774, 0.7216705679893494, -0.6916370987892151, 0.8254185318946838]","[0.5083265900611877, 0.8219922780990601, -0.01148016843944788, 0.9357902407646179]","[0.32637515664100647, 0.8331946134567261, 0.01371532492339611, 0.9479358792304993]","[0.5484325885772705, 1.066079020500183, 0.10276295244693756, 0.004950343631207943]","[0.3433748185634613, 1.0829133987426758, 0.1959652602672577, 0.003672222839668393]","[0.542014479637146, 1.2920883893966675, 0.4618859589099884, 0.00021064472093712538]","[0.35089409351348877, 1.3156895637512207, 0.5271075963973999, 0.0003991980920545757]","[0.5433292388916016, 1.3260338306427002, 0.4872310757637024, 0.0009609514963813126]","[0.34569379687309265, 1.357837438583374, 0.552544355392456, 0.0007028884720057249]","[0.5246459245681763, 1.3901325464248657, 0.23220215737819672, 0.000426436890847981]","[0.3802354335784912, 1.399749517440796, 0.2771804928779602, 0.0007958728820085526]"
"[0.4017210304737091, 0.3665686547756195, -0.47249630093574524, 0.9998899102210999]","[0.4174704849720001, 0.3453691303730011, -0.44529321789741516, 0.9997783303260803]","[0.4263361096382141, 0.34592491388320923, -0.44509023427963257, 0.9998262524604797]","[0.43679124116897583, 0.34718257188796997, -0.44508564472198486, 0.9997515082359314]","[0.3840685188770294, 0.3466298282146454, -0.44355064630508423, 0.9998080730438232]","[0.3711789548397064, 0.3485056757926941, -0.44362887740135193, 0.999824583530426]","[0.36038482189178467, 0.35104504227638245, -0.444002628326416, 0.9997799396514893]","[0.4568703770637512, 0.3656066954135895, -0.23773500323295593, 0.9998133182525635]","[0.3461882472038269, 0.3703400194644928, -0.22752520442008972, 0.9999118447303772]","[0.4222325086593628, 0.3990435004234314, -0.3923509418964386, 0.9999115467071533]","[0.38023099303245544, 0.4018687605857849, -0.39011576771736145, 0.9999663829803467]","[0.5368942618370056, 0.5055364370346069, -0.1179875060915947, 0.9998594522476196]","[0.2677489221096039, 0.5167647004127502, -0.10900565981864929, 0.999919056892395]","[0.600440502166748, 0.7064765095710754, -0.36191561818122864, 0.9958829879760742]","[0.18276625871658325, 0.723319411277771, -0.3237111568450928, 0.9887834191322327]","[0.511631429195404, 0.5283786058425903, -0.7277714014053345, 0.9986963272094727]","[0.3481051027774811, 0.7392958402633667, -0.6869171261787415, 0.9482566118240356]","[0.49453893303871155, 0.48803797364234924, -0.8056052923202515, 0.9913461208343506]","[0.3958768844604492, 0.7545667886734009, -0.7507414221763611, 0.8282782435417175]","[0.4921412169933319, 0.4698527753353119, -0.7498674988746643, 0.9891674518585205]","[0.40796104073524475, 0.7270861864089966, -0.7218695878982544, 0.807719886302948]","[0.4911337196826935, 0.48306044936180115, -0.711391806602478, 0.988301157951355]","[0.3956257998943329, 0.7197815775871277, -0.6787645816802979, 0.8199114799499512]","[0.507801353931427, 0.8243421912193298, -0.0074600838124752045, 0.9362829923629761]","[0.3252406716346741, 0.834646463394165, 0.009873590432107449, 0.9480275511741638]","[0.5437281131744385, 1.077420711517334, 0.12364628911018372, 0.005140752997249365]","[0.3385459780693054, 1.0947895050048828, 0.15181933343410492, 0.003620660165324807]","[0.5294793844223022, 1.3080095052719116, 0.48189210891723633, 0.0002312955621164292]","[0.34509530663490295, 1.3318450450897217, 0.4277365207672119, 0.0003936752036679536]","[0.5294026732444763, 1.3411070108413696, 0.5063620209693909, 0.0010421049082651734]","[0.34117138385772705, 1.3726683855056763, 0.44521403312683105, 0.0007118224166333675]","[0.5122979283332825, 1.406457543373108, 0.24160251021385193, 0.0004589310265146196]","[0.36918336153030396, 1.416898488998413, 0.1402091383934021, 0.00080056645674631]"
"[0.40134701132774353, 0.36639222502708435, -0.47196537256240845, 0.9998949766159058]","[0.41729360818862915, 0.34467411041259766, -0.44262632727622986, 0.9997900724411011]","[0.4260353744029999, 0.3453812897205353, -0.44238585233688354, 0.9998352527618408]","[0.4362172484397888, 0.3467295169830322, -0.442293256521225, 0.9997656941413879]","[0.3840000033378601, 0.3455217182636261, -0.44110947847366333, 0.9998174905776978]","[0.37117502093315125, 0.34725186228752136, -0.44111117720603943, 0.9998327493667603]","[0.36043375730514526, 0.34955257177352905, -0.441481351852417, 0.9997901320457458]","[0.45571622252464294, 0.36554455757141113, -0.23084083199501038, 0.9998226761817932]","[0.3462070822715759, 0.36856213212013245, -0.22214792668819427, 0.9999148845672607]","[0.4220932722091675, 0.39843931794166565, -0.3914162516593933, 0.9999154210090637]","[0.37996065616607666, 0.40030771493911743, -0.38941484689712524, 0.9999674558639526]","[0.5354948043823242, 0.5056397318840027, -0.11577824503183365, 0.9998685121536255]","[0.26763013005256653, 0.5166369080543518, -0.1087384968996048, 0.9999220371246338]","[0.6002997756004333, 0.7064759135246277, -0.36305105686187744, 0.9960713386535645]","[0.1828387975692749, 0.7239173650741577, -0.32316792011260986, 0.9888498187065125]","[0.5109190344810486, 0.529147207736969, -0.7293661832809448, 0.9987199902534485]","[0.3479310870170593, 0.7385404109954834, -0.6796801090240479, 0.9456272721290588]","[0.4940469563007355, 0.4892399311065674, -0.8071377873420715, 0.9915033578872681]","[0.39555951952934265, 0.7540574669837952, -0.7440555691719055, 0.8226260542869568]","[0.4911033809185028, 0.47313809394836426, -0.751202404499054, 0.9893786907196045]","[0.40773695707321167, 0.7267045378684998, -0.7161116600036621, 0.8021844029426575]","[0.48940956592559814, 0.4850538671016693, -0.7128297686576843, 0.9884746074676514]","[0.3951384723186493, 0.7187604904174805, -0.6720108985900879, 0.8148752450942993]","[0.5070541501045227, 0.8262625932693481, -0.005320623517036438, 0.93631911277771]","[0.3242788016796112, 0.8355852365493774, 0.00780339865013957, 0.9478161334991455]","[0.5412236452102661, 1.0822796821594238, 0.13028424978256226, 0.00538187799975276]","[0.33580195903778076, 1.0995192527770996, 0.13907070457935333, 0.0036063548177480698]","[0.5244015455245972, 1.3141651153564453, 0.4901701807975769, 0.00025147158885374665]","[0.34172120690345764, 1.3377918004989624, 0.41118764877319336, 0.0003905059420503676]","[0.5239104628562927, 1.347135305404663, 0.5145208835601807, 0.0011175908148288727]","[0.33831101655960083, 1.3782665729522705, 0.4281651973724365, 0.0007226990419439971]","[0.5075578689575195, 1.4125467538833618, 0.24734659492969513, 0.0004856720333918929]","[0.36404088139533997, 1.4232650995254517, 0.12189172953367233, 0.0008038481464609504]"
"[0.40109553933143616, 0.3659576177597046, -0.46212342381477356, 0.9999009966850281]","[0.41716891527175903, 0.3439127504825592, -0.4301816523075104, 0.9998030662536621]","[0.42584028840065, 0.34474438428878784, -0.4299033284187317, 0.9998453855514526]","[0.4358295500278473, 0.34616905450820923, -0.42975369095802307, 0.99978107213974]","[0.38392677903175354, 0.34454259276390076, -0.4290958344936371, 0.9998282194137573]","[0.3711656332015991, 0.34623977541923523, -0.42902567982673645, 0.9998423457145691]","[0.36046838760375977, 0.3484443426132202, -0.4293948709964752, 0.9998021125793457]","[0.45493990182876587, 0.36538058519363403, -0.21748121082782745, 0.9998334050178528]","[0.3462134599685669, 0.36716052889823914, -0.21024136245250702, 0.9999189972877502]","[0.422008752822876, 0.3976178765296936, -0.381405770778656, 0.9999198317527771]","[0.37967491149902344, 0.39907196164131165, -0.3800133466720581, 0.9999688863754272]","[0.5348496437072754, 0.5057629942893982, -0.10651268810033798, 0.999877393245697]","[0.26759859919548035, 0.5165082216262817, -0.10387838631868362, 0.9999253153800964]","[0.6002374887466431, 0.7064793705940247, -0.3522004187107086, 0.9962368011474609]","[0.18285250663757324, 0.7240152359008789, -0.3171291649341583, 0.9889305233955383]","[0.5098780989646912, 0.5299413800239563, -0.7030778527259827, 0.9987356662750244]","[0.3478410542011261, 0.7383778691291809, -0.6621338725090027, 0.9429976344108582]","[0.49304553866386414, 0.4908561408519745, -0.7771523594856262, 0.9916200041770935]","[0.3953554928302765, 0.7539215087890625, -0.7248059511184692, 0.8167686462402344]","[0.48961758613586426, 0.47590965032577515, -0.7226071357727051, 0.9895483255386353]","[0.4076700806617737, 0.7265734672546387, -0.6960980892181396, 0.7962448596954346]","[0.48767900466918945, 0.48686838150024414, -0.6865822672843933, 0.9885987043380737]","[0.3949589133262634, 0.7182896733283997, -0.6538903117179871, 0.8094485998153687]","[0.5068554878234863, 0.8274286389350891, -0.003417332423850894, 0.9360264539718628]","[0.32389357686042786, 0.8365942239761353, 0.005950286518782377, 0.9473441243171692]","[0.5414120554924011, 1.0838717222213745, 0.12993775308132172, 0.005607086233794689]","[0.3348768353462219, 1.1024795770645142, 0.13000915944576263, 0.0035792787093669176]","[0.5232938528060913, 1.3165820837020874, 0.48661544919013977, 0.00027734600007534027]","[0.3399074673652649, 1.3410826921463013, 0.3920452892780304, 0.0003907107748091221]","[0.5225439071655273, 1.349437952041626, 0.511016845703125, 0.0012086622882634401]","[0.3366941213607788, 1.3813257217407227, 0.40791669487953186, 0.0007372870459221303]","[0.5061278939247131, 1.4150896072387695, 0.24646881222724915, 0.000515086343511939]","[0.36189815402030945, 1.4268029928207397, 0.10305914282798767, 0.0008103935397230089]"
"[0.4007667303085327, 0.36518463492393494, -0.46098795533180237, 0.9999060034751892]","[0.4169743061065674, 0.34269893169403076, -0.42945918440818787, 0.9998141527175903]","[0.42562663555145264, 0.3435998857021332, -0.42917531728744507, 0.9998540878295898]","[0.4354539215564728, 0.345027893781662, -0.42902234196662903, 0.9997943043708801]","[0.3837631046772003, 0.34330809116363525, -0.42778873443603516, 0.9998372197151184]","[0.3711237609386444, 0.3450450003147125, -0.42771029472351074, 0.999850332736969]","[0.36047104001045227, 0.34721580147743225, -0.4280802309513092, 0.9998119473457336]","[0.4545883238315582, 0.36463260650634766, -0.21898813545703888, 0.9998428821563721]","[0.34622272849082947, 0.36581796407699585, -0.20852549374103546, 0.9999223947525024]","[0.42197883129119873, 0.39651790261268616, -0.3806794285774231, 0.999923825263977]","[0.3793922960758209, 0.3978438377380371, -0.3785104751586914, 0.9999701380729675]","[0.5348881483078003, 0.5059450268745422, -0.10650859773159027, 0.9998854994773865]","[0.26769232749938965, 0.5158861875534058, -0.10221196711063385, 0.9999282360076904]","[0.6002490520477295, 0.7067118287086487, -0.35045790672302246, 0.9964008331298828]","[0.18291382491588593, 0.7239246368408203, -0.31383654475212097, 0.9890155792236328]","[0.508503794670105, 0.530862033367157, -0.6973283886909485, 0.9987715482711792]","[0.3478565514087677, 0.7383946776390076, -0.6577823162078857, 0.9408930540084839]","[0.4904714524745941, 0.4934850335121155, -0.7710762619972229, 0.9918600916862488]","[0.3953607678413391, 0.7539346814155579, -0.7200925350189209, 0.8120960593223572]","[0.4869679808616638, 0.47857940196990967, -0.7162603735923767, 0.989867091178894]","[0.40774017572402954, 0.7265734076499939, -0.6911086440086365, 0.7915811538696289]","[0.4856864809989929, 0.48861080408096313, -0.680432915687561, 0.9888969659805298]","[0.394985169172287, 0.7181863784790039, -0.6493440866470337, 0.8052721619606018]","[0.5068178772926331, 0.8280295729637146, -0.0023836626205593348, 0.9358254075050354]","[0.3237708508968353, 0.8371132612228394, 0.004942473955452442, 0.9469020962715149]","[0.541229248046875, 1.0859330892562866, 0.12792134284973145, 0.005781359039247036]","[0.33440032601356506, 1.1040077209472656, 0.12797702848911285, 0.003542801132425666]","[0.5221331715583801, 1.3192203044891357, 0.48592546582221985, 0.0002983560843858868]","[0.33857837319374084, 1.3429378271102905, 0.3901199996471405, 0.00038736523129045963]","[0.5215467214584351, 1.3520691394805908, 0.5086389780044556, 0.0012814499204978347]","[0.33541688323020935, 1.3833012580871582, 0.4060756266117096, 0.0007456456078216434]","[0.5040215253829956, 1.4177716970443726, 0.23926711082458496, 0.0005390344886109233]","[0.3600284159183502, 1.4287283420562744, 0.10121141374111176, 0.0008116140379570425]"
"[0.40029531717300415, 0.3648897111415863, -0.46019601821899414, 0.9999083876609802]","[0.4167711138725281, 0.34193524718284607, -0.4290667474269867, 0.9998202323913574]","[0.4254533350467682, 0.3428373634815216, -0.42878010869026184, 0.999858558177948]","[0.43517351150512695, 0.34424737095832825, -0.42862260341644287, 0.99980229139328]","[0.38359180092811584, 0.3426927924156189, -0.4264334440231323, 0.9998420476913452]","[0.3710610270500183, 0.3444688022136688, -0.4263557195663452, 0.9998544454574585]","[0.36046302318573, 0.34662342071533203, -0.4267351031303406, 0.9998178482055664]","[0.4545847475528717, 0.364300936460495, -0.2205943465232849, 0.9998475313186646]","[0.34626466035842896, 0.36508673429489136, -0.20514044165611267, 0.9999236464500427]","[0.421909362077713, 0.3959824740886688, -0.3805149495601654, 0.9999254941940308]","[0.3789670467376709, 0.3973812758922577, -0.3770948350429535, 0.9999704360961914]","[0.5354591608047485, 0.5068321824073792, -0.10706877708435059, 0.9998902082443237]","[0.2678191363811493, 0.5155569911003113, -0.10126212239265442, 0.9999303221702576]","[0.6003381609916687, 0.7068928480148315, -0.3522864282131195, 0.9965071082115173]","[0.18300244212150574, 0.7236623764038086, -0.31377169489860535, 0.989203929901123]","[0.5060428380966187, 0.5314972996711731, -0.6972701549530029, 0.9987720847129822]","[0.34791624546051025, 0.738875150680542, -0.6568095684051514, 0.9395673274993896]","[0.48680198192596436, 0.4956302344799042, -0.7706642746925354, 0.9918580055236816]","[0.3956563174724579, 0.7541857361793518, -0.7195546627044678, 0.8084772229194641]","[0.4834011495113373, 0.4820215404033661, -0.7140758037567139, 0.989875078201294]","[0.40799224376678467, 0.726840078830719, -0.6895410418510437, 0.7879166603088379]","[0.48296651244163513, 0.49101805686950684, -0.6798057556152344, 0.9888940453529358]","[0.3951966464519501, 0.718331515789032, -0.6480056643486023, 0.8022583723068237]","[0.5068161487579346, 0.8294246196746826, -0.001957138068974018, 0.935860276222229]","[0.32367977499961853, 0.8377418518066406, 0.0045252153649926186, 0.9468841552734375]","[0.5408366918563843, 1.0897836685180664, 0.132122203707695, 0.005866292864084244]","[0.3341960310935974, 1.1057614088058472, 0.12925824522972107, 0.003516602795571089]","[0.5224741697311401, 1.3230654001235962, 0.4899247884750366, 0.00030629622051492333]","[0.3376707136631012, 1.34488046169281, 0.39384856820106506, 0.00037939081084914505]","[0.5222906470298767, 1.3561865091323853, 0.5131738185882568, 0.0012985436478629708]","[0.3343386650085449, 1.385339379310608, 0.41025346517562866, 0.0007387064979411662]","[0.5035485029220581, 1.4214380979537964, 0.24193181097507477, 0.0005479301908053458]","[0.35985931754112244, 1.4310438632965088, 0.103030264377594, 0.0008053167839534581]"
"[0.399734765291214, 0.36488768458366394, -0.4603405296802521, 0.9999082088470459]","[0.4166181683540344, 0.341720312833786, -0.4297645390033722, 0.9998214840888977]","[0.42534610629081726, 0.34259647130966187, -0.42948371171951294, 0.9998591542243958]","[0.4350510537624359, 0.34400105476379395, -0.4293373227119446, 0.9998050332069397]","[0.38340693712234497, 0.34260475635528564, -0.4264782667160034, 0.9998427629470825]","[0.37099161744117737, 0.344372421503067, -0.426403671503067, 0.9998548626899719]","[0.3604520857334137, 0.3465174436569214, -0.4267905056476593, 0.9998193979263306]","[0.45473092794418335, 0.3642846643924713, -0.22074714303016663, 0.999847948551178]","[0.3464360535144806, 0.3648916780948639, -0.20320169627666473, 0.9999228119850159]","[0.42180293798446655, 0.3959101438522339, -0.3809289038181305, 0.9999253153800964]","[0.3786529004573822, 0.39731812477111816, -0.37653425335884094, 0.999970018863678]","[0.5367615222930908, 0.5087032318115234, -0.10847794264554977, 0.9998918175697327]","[0.2683473527431488, 0.5149639248847961, -0.09977568686008453, 0.9999315142631531]","[0.6007717251777649, 0.7072368264198303, -0.35722485184669495, 0.9965829253196716]","[0.18334564566612244, 0.7227502465248108, -0.3132157027721405, 0.9893397688865662]","[0.503783106803894, 0.5322387218475342, -0.6966223120689392, 0.9987614154815674]","[0.3481575548648834, 0.7396509051322937, -0.6572296023368835, 0.9388990998268127]","[0.48286664485931396, 0.49779021739959717, -0.7688876986503601, 0.9917939901351929]","[0.3962904214859009, 0.7547335028648376, -0.7202942371368408, 0.8064559698104858]","[0.4798695147037506, 0.4846527874469757, -0.7100149393081665, 0.9898089170455933]","[0.40848591923713684, 0.7274390459060669, -0.6890174746513367, 0.785968542098999]","[0.48030123114585876, 0.49307382106781006, -0.6781460642814636, 0.9888116121292114]","[0.39574334025382996, 0.7188068628311157, -0.647918701171875, 0.8006172180175781]","[0.5061289668083191, 0.8309428095817566, -0.0020220938604325056, 0.9354991912841797]","[0.3233228325843811, 0.8378747701644897, 0.004577748943120241, 0.9467648863792419]","[0.5392683744430542, 1.092556357383728, 0.13556592166423798, 0.005988263059407473]","[0.33355066180229187, 1.1062357425689697, 0.1281830370426178, 0.003514103591442108]","[0.521000862121582, 1.3252074718475342, 0.4936015009880066, 0.0003185436362400651]","[0.33537545800209045, 1.3455349206924438, 0.3904697597026825, 0.0003751089971046895]","[0.5212571024894714, 1.3581534624099731, 0.5173296928405762, 0.0013331534573808312]","[0.331687331199646, 1.386051893234253, 0.40694379806518555, 0.0007395757711492479]","[0.5002840161323547, 1.4238650798797607, 0.2467411309480667, 0.0005571148358285427]","[0.3576158881187439, 1.431916356086731, 0.1006455048918724, 0.0008053361671045423]"
"[0.3991384208202362, 0.364876389503479, -0.46067431569099426, 0.9999074339866638]","[0.41637715697288513, 0.3414551019668579, -0.43021106719970703, 0.9998217225074768]","[0.4252220690250397, 0.3422790765762329, -0.42994004487991333, 0.999859094619751]","[0.4348577558994293, 0.3436160981655121, -0.42980924248695374, 0.9998066425323486]","[0.38316473364830017, 0.34253913164138794, -0.426993727684021, 0.9998427629470825]","[0.37093257904052734, 0.3443034589290619, -0.42692437767982483, 0.9998548030853271]","[0.36044418811798096, 0.34645211696624756, -0.4273122251033783, 0.9998201131820679]","[0.4548027515411377, 0.36416876316070557, -0.22311225533485413, 0.9998475909233093]","[0.3467195928096771, 0.36476263403892517, -0.20338790118694305, 0.9999218583106995]","[0.42168956995010376, 0.39576277136802673, -0.38098981976509094, 0.999924898147583]","[0.37843191623687744, 0.3972354233264923, -0.3767668902873993, 0.999969482421875]","[0.5369930267333984, 0.5104649066925049, -0.11000130325555801, 0.999893069267273]","[0.26902154088020325, 0.5146562457084656, -0.09977322816848755, 0.9999327659606934]","[0.6016206741333008, 0.7072858810424805, -0.36025384068489075, 0.9966599941253662]","[0.18363051116466522, 0.7215859293937683, -0.3130434453487396, 0.9894557595252991]","[0.5019785761833191, 0.5325934290885925, -0.6962282657623291, 0.9987493753433228]","[0.34828299283981323, 0.7402053475379944, -0.6546598076820374, 0.9378589391708374]","[0.48039036989212036, 0.499115914106369, -0.7678318619728088, 0.9917150735855103]","[0.39663031697273254, 0.7552680373191833, -0.7175617814064026, 0.8035793304443359]","[0.4772515594959259, 0.4861886501312256, -0.7072153091430664, 0.9897168874740601]","[0.408706396818161, 0.728087306022644, -0.6855212450027466, 0.7830021381378174]","[0.47806382179260254, 0.4943285882472992, -0.6769943833351135, 0.9886935353279114]","[0.39605382084846497, 0.7193570733070374, -0.6449811458587646, 0.7978895902633667]","[0.5051836967468262, 0.8320826888084412, -0.0020170339848846197, 0.9350396990776062]","[0.32276684045791626, 0.838008463382721, 0.004560528323054314, 0.9464688301086426]","[0.5366681814193726, 1.0936022996902466, 0.13776178658008575, 0.00615350529551506]","[0.33143165707588196, 1.1063343286514282, 0.1302487552165985, 0.0035321980249136686]","[0.5172781348228455, 1.3264102935791016, 0.4963110685348511, 0.00033812434412539005]","[0.33118587732315063, 1.3460116386413574, 0.39622440934181213, 0.0003742325643543154]","[0.5176516771316528, 1.359194040298462, 0.520231306552887, 0.0013857580488547683]","[0.3272548019886017, 1.3863978385925293, 0.4130908250808716, 0.0007480226922780275]","[0.4952700734138489, 1.4249329566955566, 0.24901239573955536, 0.0005776759935542941]","[0.3532879650592804, 1.4326272010803223, 0.10483746975660324, 0.0008133452502079308]"
"[0.39871492981910706, 0.3650192320346832, -0.4588059186935425, 0.9999082088470459]","[0.4161849915981293, 0.34141531586647034, -0.429557740688324, 0.9998242855072021]","[0.42512038350105286, 0.34220728278160095, -0.4292702376842499, 0.9998610019683838]","[0.4347011148929596, 0.3434867858886719, -0.4291246235370636, 0.999810516834259]","[0.38290321826934814, 0.3425544500350952, -0.4249793291091919, 0.9998448491096497]","[0.37087133526802063, 0.3443116247653961, -0.42489108443260193, 0.9998567700386047]","[0.3604133725166321, 0.34646496176719666, -0.4252822995185852, 0.9998229742050171]","[0.454904705286026, 0.3640995919704437, -0.2235407680273056, 0.9998495578765869]","[0.34693148732185364, 0.3647826611995697, -0.20004120469093323, 0.9999223947525024]","[0.42164087295532227, 0.3957682251930237, -0.38033342361450195, 0.9999255537986755]","[0.37838083505630493, 0.39726054668426514, -0.37397006154060364, 0.999969482421875]","[0.5375445485115051, 0.5113279223442078, -0.11016614735126495, 0.9998958706855774]","[0.26947760581970215, 0.5141372680664062, -0.09763326495885849, 0.9999347925186157]","[0.6023675799369812, 0.7077904343605042, -0.3601112365722656, 0.996743381023407]","[0.18382713198661804, 0.7204418778419495, -0.308169960975647, 0.9895928502082825]","[0.5008161067962646, 0.5329263210296631, -0.688645601272583, 0.9987486600875854]","[0.34832295775413513, 0.7407925724983215, -0.6424925923347473, 0.9367849826812744]","[0.4784160852432251, 0.5007429718971252, -0.7578557729721069, 0.9917082190513611]","[0.3967941105365753, 0.7558698058128357, -0.7039602994918823, 0.8004668951034546]","[0.47484463453292847, 0.4877300262451172, -0.695942223072052, 0.9897161722183228]","[0.40895912051200867, 0.7290137410163879, -0.6705841422080994, 0.7797481417655945]","[0.4760987460613251, 0.4954390823841095, -0.668319582939148, 0.9886670112609863]","[0.39636391401290894, 0.7201259136199951, -0.6321134567260742, 0.794806957244873]","[0.5049691796302795, 0.8328273892402649, -0.0018611083505675197, 0.9341183304786682]","[0.3224625587463379, 0.838080108165741, 0.004396974109113216, 0.9458152651786804]","[0.5356332659721375, 1.0947962999343872, 0.1367407590150833, 0.006266428157687187]","[0.3298224210739136, 1.1072362661361694, 0.12516015768051147, 0.0035334446001797915]","[0.5150802135467529, 1.3283036947250366, 0.4942028820514679, 0.00035799096804112196]","[0.32822489738464355, 1.347517967224121, 0.38347184658050537, 0.00037259701639413834]","[0.5155375599861145, 1.3610118627548218, 0.5182289481163025, 0.0014301299815997481]","[0.32440340518951416, 1.3877248764038086, 0.3992307782173157, 0.0007524623069912195]","[0.4921736717224121, 1.4266904592514038, 0.247542142868042, 0.000600109517108649]","[0.35011765360832214, 1.4345111846923828, 0.0869942232966423, 0.0008205955382436514]"
"[0.39828652143478394, 0.36524227261543274, -0.45776015520095825, 0.9999090433120728]","[0.41577860713005066, 0.3414147198200226, -0.4291478395462036, 0.9998270273208618]","[0.4249055087566376, 0.3421909511089325, -0.42885980010032654, 0.9998631477355957]","[0.4342973232269287, 0.3434028923511505, -0.4287112355232239, 0.999814510345459]","[0.382427841424942, 0.3426453173160553, -0.42377138137817383, 0.9998469948768616]","[0.3707427680492401, 0.3443487286567688, -0.4236852824687958, 0.9998587965965271]","[0.36030909419059753, 0.34650692343711853, -0.4240824580192566, 0.9998258352279663]","[0.4548909068107605, 0.3639196753501892, -0.22406065464019775, 0.9998519420623779]","[0.3470882773399353, 0.3647959530353546, -0.19774267077445984, 0.9999231100082397]","[0.42158156633377075, 0.3957837224006653, -0.37986111640930176, 0.9999264478683472]","[0.37835368514060974, 0.3973434567451477, -0.372297078371048, 0.9999696016311646]","[0.5377278923988342, 0.5117385387420654, -0.10979507863521576, 0.9998984932899475]","[0.2702953815460205, 0.5134797096252441, -0.09693825989961624, 0.9999365210533142]","[0.6035792827606201, 0.7079527378082275, -0.36071673035621643, 0.9968258142471313]","[0.18445169925689697, 0.7194536328315735, -0.3074968457221985, 0.989707887172699]","[0.5005295276641846, 0.5340704917907715, -0.6909772157669067, 0.9987487196922302]","[0.34850257635116577, 0.7412340044975281, -0.6424106955528259, 0.9360438585281372]","[0.4776138663291931, 0.5036635994911194, -0.7599855661392212, 0.9917145371437073]","[0.39719098806381226, 0.7563394904136658, -0.7047491073608398, 0.79845130443573]","[0.47369909286499023, 0.4901374578475952, -0.6963028311729431, 0.9897347092628479]","[0.40947389602661133, 0.7296106815338135, -0.6721035242080688, 0.7776962518692017]","[0.47518184781074524, 0.49747350811958313, -0.6698707342147827, 0.9886426329612732]","[0.39701735973358154, 0.7206222414970398, -0.632301390171051, 0.7927029728889465]","[0.5045473575592041, 0.8330988883972168, -0.0016471644630655646, 0.9334440231323242]","[0.322340726852417, 0.8380516171455383, 0.004165363498032093, 0.9453228116035461]","[0.534761905670166, 1.0948877334594727, 0.1357276886701584, 0.0064918906427919865]","[0.3289773762226105, 1.107499361038208, 0.12188409268856049, 0.0035883469972759485]","[0.5140544176101685, 1.3286824226379395, 0.49058854579925537, 0.00038507074350491166]","[0.32759591937065125, 1.3485084772109985, 0.3752579092979431, 0.00037891429383307695]","[0.5144226551055908, 1.3612614870071411, 0.5137007236480713, 0.0015087515348568559]","[0.3237855136394501, 1.388612985610962, 0.39063695073127747, 0.0007709955098107457]","[0.4912611246109009, 1.4270191192626953, 0.2414090633392334, 0.0006334281642921269]","[0.3499196767807007, 1.435452938079834, 0.07969748228788376, 0.0008398133795708418]"
