"[0.36753547191619873, 0.47524702548980713, -0.3394820988178253, 0.9998451471328735]","[0.37880516052246094, 0.45098137855529785, -0.31270521879196167, 0.9991996884346008]","[0.38812005519866943, 0.450539767742157, -0.3126024603843689, 0.999297022819519]","[0.3969394266605377, 0.4501282572746277, -0.3127487301826477, 0.9993047714233398]","[0.34552404284477234, 0.4532545208930969, -0.3090270757675171, 0.9991886019706726]","[0.3343160152435303, 0.4542841911315918, -0.30869853496551514, 0.9992554783821106]","[0.32428398728370667, 0.45623424649238586, -0.3089432716369629, 0.9993754029273987]","[0.4078983962535858, 0.4610273838043213, -0.162141814827919, 0.9992074370384216]","[0.31476110219955444, 0.4701171815395355, -0.125509575009346, 0.9993610978126526]","[0.3865777850151062, 0.5019172430038452, -0.28921884298324585, 0.9997162222862244]","[0.34931135177612305, 0.5085469484329224, -0.2794167995452881, 0.9997252821922302]","[0.49965354800224304, 0.604354739189148, -0.12260197103023529, 0.9975173473358154]","[0.25919514894485474, 0.6199355125427246, -0.1289415955543518, 0.9992792010307312]","[0.5302722454071045, 0.8099420666694641, -0.16097863018512726, 0.6645941138267517]","[0.22853171825408936, 0.8191174268722534, -0.4153403639793396, 0.9766112565994263]","[0.5057819485664368, 0.9651132225990295, -0.23636390268802643, 0.09314656257629395]","[0.3399699926376343, 0.6783138513565063, -0.7670764327049255, 0.9919831156730652]","[0.5365616679191589, 1.0257457494735718, -0.2639696002006531, 0.1261361837387085]","[0.3619665205478668, 0.6301623582839966, -0.8349722027778625, 0.9848873019218445]","[0.504847526550293, 1.0286422967910767, -0.2652990520000458, 0.17192552983760834]","[0.355960875749588, 0.6122831106185913, -0.7763346433639526, 0.9831095337867737]","[0.4946408271789551, 1.007265329360962, -0.24349458515644073, 0.19970598816871643]","[0.3531394898891449, 0.6236981153488159, -0.7520735263824463, 0.9765188097953796]","[0.472473680973053, 0.9217111468315125, -0.02386252023279667, 0.03229565545916557]","[0.30515149235725403, 0.9270382523536682, 0.026444729417562485, 0.03565391153097153]","[0.47479531168937683, 1.1715031862258911, -0.00532670971006155, 0.0001399030297761783]","[0.3188781142234802, 1.1764917373657227, 0.1901898980140686, 0.00014136740355752409]","[0.4755462408065796, 1.3886094093322754, 0.3410179316997528, 3.795387237914838e-05]","[0.323279470205307, 1.4030370712280273, 0.47794634103775024, 6.380575086950557e-06]","[0.48153671622276306, 1.4187548160552979, 0.35674503445625305, 3.4372798836557195e-05]","[0.3191870152950287, 1.4370505809783936, 0.49943485856056213, 5.223616426519584e-06]","[0.45376983284950256, 1.46805739402771, 0.09134677797555923, 3.0406476071220823e-05]","[0.3465057611465454, 1.4843852519989014, 0.20561063289642334, 2.1800189642817713e-05]"
"[0.36781442165374756, 0.4752728044986725, -0.4653227925300598, 0.9998388886451721]","[0.38006535172462463, 0.45101025700569153, -0.4310932457447052, 0.9992196559906006]","[0.3891785442829132, 0.450615257024765, -0.43104252219200134, 0.9993028044700623]","[0.39719533920288086, 0.4504002630710602, -0.43111860752105713, 0.9993175268173218]","[0.3473570942878723, 0.4532669484615326, -0.4290752708911896, 0.999212920665741]","[0.3360050618648529, 0.454391747713089, -0.4287588894367218, 0.9992715120315552]","[0.3264079689979553, 0.45629769563674927, -0.4288705885410309, 0.9993921518325806]","[0.40797534584999084, 0.4622649848461151, -0.22915221750736237, 0.9992058873176575]","[0.3155563175678253, 0.47014081478118896, -0.20052416622638702, 0.9993516802787781]","[0.3870939612388611, 0.5019240975379944, -0.39396440982818604, 0.9997081756591797]","[0.34934014081954956, 0.5075157284736633, -0.3865310847759247, 0.9997125267982483]","[0.49954336881637573, 0.6047961115837097, -0.16392967104911804, 0.9975279569625854]","[0.2583259642124176, 0.6192397475242615, -0.16952787339687347, 0.9992526769638062]","[0.5274864435195923, 0.8095689415931702, -0.18227912485599518, 0.6510431170463562]","[0.22902429103851318, 0.8179439902305603, -0.4886029362678528, 0.9729148149490356]","[0.502777099609375, 0.9580994248390198, -0.25879377126693726, 0.09794779866933823]","[0.33879128098487854, 0.6754977703094482, -0.9160457849502563, 0.9914292693138123]","[0.5360187888145447, 1.0215497016906738, -0.29704177379608154, 0.12784262001514435]","[0.36080625653266907, 0.6266079545021057, -1.0010250806808472, 0.9835558533668518]","[0.5042797327041626, 1.0248435735702515, -0.30159252882003784, 0.1743752658367157]","[0.3550839126110077, 0.6085366606712341, -0.9568210244178772, 0.981874406337738]","[0.49384093284606934, 1.0043246746063232, -0.2669713795185089, 0.20396973192691803]","[0.3524271547794342, 0.6197890639305115, -0.9088276624679565, 0.9751502275466919]","[0.47220662236213684, 0.921781063079834, -0.026235179975628853, 0.03257179260253906]","[0.29998141527175903, 0.9155603647232056, 0.028716377913951874, 0.03588355705142021]","[0.4740849733352661, 1.17411470413208, 0.07135887444019318, 0.00014834298053756356]","[0.318002313375473, 1.1810753345489502, 0.26267704367637634, 0.00014376798935700208]","[0.4755745232105255, 1.3932175636291504, 0.5362675189971924, 3.95554889109917e-05]","[0.323218435049057, 1.4101208448410034, 0.677873969078064, 6.604189366044011e-06]","[0.4814571738243103, 1.4244657754898071, 0.5657026171684265, 3.583639409043826e-05]","[0.31926214694976807, 1.4443893432617188, 0.7131803631782532, 5.367935045796912e-06]","[0.45579230785369873, 1.473192572593689, 0.2709546685218811, 3.297414514236152e-05]","[0.34582072496414185, 1.492429494857788, 0.3785274624824524, 2.3707258151262067e-05]"
"[0.3681793212890625, 0.4755988121032715, -0.43559545278549194, 0.9998316764831543]","[0.3810513913631439, 0.45113688707351685, -0.40314361453056335, 0.9992154240608215]","[0.3899449110031128, 0.45077693462371826, -0.40309467911720276, 0.99929279088974]","[0.3973741829395294, 0.4506925940513611, -0.4031713604927063, 0.9993125796318054]","[0.3487871289253235, 0.45344769954681396, -0.4015883207321167, 0.9992091059684753]","[0.3373505175113678, 0.45473867654800415, -0.40129873156547546, 0.9992644190788269]","[0.32790109515190125, 0.4565858542919159, -0.401446670293808, 0.9993855953216553]","[0.4080049991607666, 0.4631485044956207, -0.21598906815052032, 0.9991872906684875]","[0.3163440525531769, 0.4702947735786438, -0.18943703174591064, 0.9993224740028381]","[0.38736850023269653, 0.5021353363990784, -0.370828241109848, 0.9996935129165649]","[0.3494158983230591, 0.5073163509368896, -0.3640322685241699, 0.9996922612190247]","[0.4995070993900299, 0.6054900288581848, -0.16153645515441895, 0.9974929690361023]","[0.2581940293312073, 0.6192524433135986, -0.16613540053367615, 0.9991911053657532]","[0.5267656445503235, 0.8096036314964294, -0.19035127758979797, 0.64290452003479]","[0.23013398051261902, 0.8179486393928528, -0.4747951626777649, 0.9691643714904785]","[0.5022379755973816, 0.9584044814109802, -0.2741607129573822, 0.10279039293527603]","[0.3374806046485901, 0.6726743578910828, -0.8781981468200684, 0.99102783203125]","[0.5355064868927002, 1.0213840007781982, -0.31277957558631897, 0.13167662918567657]","[0.3589175045490265, 0.6217070817947388, -0.9572659134864807, 0.9828383922576904]","[0.5035374164581299, 1.0246809720993042, -0.31671151518821716, 0.17949871718883514]","[0.35364651679992676, 0.6040569543838501, -0.9099424481391907, 0.9812248349189758]","[0.49309879541397095, 1.0041800737380981, -0.2824024260044098, 0.21105976402759552]","[0.3516788184642792, 0.6152728796005249, -0.8694797158241272, 0.9744828343391418]","[0.47284916043281555, 0.9227496385574341, -0.02628619782626629, 0.0321904756128788]","[0.299502968788147, 0.914101243019104, 0.028762243688106537, 0.03531040623784065]","[0.474277526140213, 1.1773676872253418, 0.06299718469381332, 0.00015002307191025466]","[0.3179631531238556, 1.1851123571395874, 0.24895673990249634, 0.00014113608631305397]","[0.47630658745765686, 1.398068904876709, 0.4971933662891388, 4.0169135900214314e-05]","[0.32339346408843994, 1.4152523279190063, 0.6195574402809143, 6.573580776603194e-06]","[0.4819699227809906, 1.4299910068511963, 0.5231345295906067, 3.684139301185496e-05]","[0.3197582960128784, 1.4497429132461548, 0.6497110724449158, 5.307574610924348e-06]","[0.45773863792419434, 1.477609634399414, 0.24249906837940216, 3.423441376071423e-05]","[0.3459089398384094, 1.4978899955749512, 0.3306983709335327, 2.4410845071543008e-05]"
"[0.36835965514183044, 0.476383775472641, -0.425615519285202, 0.9998265504837036]","[0.3816131055355072, 0.4515153169631958, -0.39295274019241333, 0.9992209672927856]","[0.39035218954086304, 0.4512236714363098, -0.3929102420806885, 0.9992891550064087]","[0.39746612310409546, 0.45126330852508545, -0.39300253987312317, 0.9993159174919128]","[0.34957247972488403, 0.4538707137107849, -0.3913002014160156, 0.9992151856422424]","[0.3380916714668274, 0.455282062292099, -0.39100590348243713, 0.9992650747299194]","[0.32871150970458984, 0.45705756545066833, -0.3911500573158264, 0.9993888139724731]","[0.4080030918121338, 0.4640350043773651, -0.20779794454574585, 0.9991787672042847]","[0.31667882204055786, 0.4705781042575836, -0.18021777272224426, 0.9993085861206055]","[0.3874794542789459, 0.5026618838310242, -0.3612609803676605, 0.9996836185455322]","[0.3494274914264679, 0.5073015689849854, -0.3542950749397278, 0.9996762871742249]","[0.4994237422943115, 0.6056545376777649, -0.155563622713089, 0.9974701404571533]","[0.25800392031669617, 0.6192423701286316, -0.16188348829746246, 0.9991486668586731]","[0.5266481041908264, 0.8095338940620422, -0.18729065358638763, 0.637262225151062]","[0.2325422614812851, 0.81795334815979, -0.47680631279945374, 0.9665954113006592]","[0.5022943615913391, 0.9582639336585999, -0.27156612277030945, 0.10750183463096619]","[0.33708441257476807, 0.6704510450363159, -0.8936610817909241, 0.9909039735794067]","[0.5357920527458191, 1.021064281463623, -0.3089628219604492, 0.13514533638954163]","[0.35823655128479004, 0.6185832619667053, -0.9757261872291565, 0.98256516456604]","[0.5039383172988892, 1.0243319272994995, -0.31229597330093384, 0.1840606927871704]","[0.35292521119117737, 0.6015393137931824, -0.9292993545532227, 0.9810236096382141]","[0.4934729337692261, 1.0039089918136597, -0.2796666622161865, 0.21768663823604584]","[0.35125237703323364, 0.6125951409339905, -0.8860395550727844, 0.9743669629096985]","[0.473592072725296, 0.9237105250358582, -0.02627442218363285, 0.033291008323431015]","[0.29954347014427185, 0.913979709148407, 0.028749307617545128, 0.03634703904390335]","[0.475433886051178, 1.1797243356704712, 0.06692349165678024, 0.00015526023344136775]","[0.31830790638923645, 1.1886388063430786, 0.24965831637382507, 0.00014258477312978357]","[0.4789740741252899, 1.4014524221420288, 0.5062193274497986, 4.080516009707935e-05]","[0.32565534114837646, 1.4193971157073975, 0.6204776763916016, 6.642692369496217e-06]","[0.48450011014938354, 1.4339513778686523, 0.5328041315078735, 3.7629204598488286e-05]","[0.32292068004608154, 1.4541007280349731, 0.650977373123169, 5.300108568917494e-06]","[0.4620390832424164, 1.480764389038086, 0.25224560499191284, 3.512197872623801e-05]","[0.3484753668308258, 1.5027083158493042, 0.33185291290283203, 2.5218669179594144e-05]"
"[0.36872124671936035, 0.47669607400894165, -0.4238603115081787, 0.9998239278793335]","[0.38221442699432373, 0.4516715109348297, -0.3902008831501007, 0.9992308020591736]","[0.3908270597457886, 0.45139026641845703, -0.3901556134223938, 0.9992913007736206]","[0.3976249694824219, 0.45148491859436035, -0.39023852348327637, 0.9993222951889038]","[0.35034415125846863, 0.454048216342926, -0.3890935778617859, 0.9992268681526184]","[0.33878713846206665, 0.45554664731025696, -0.38881614804267883, 0.9992738962173462]","[0.3293698728084564, 0.4572887718677521, -0.3889596164226532, 0.9993973970413208]","[0.4080069661140442, 0.4644569158554077, -0.2031645029783249, 0.9991724491119385]","[0.3170258700847626, 0.4707411229610443, -0.1772644817829132, 0.9993051290512085]","[0.38775816559791565, 0.5028591752052307, -0.35851791501045227, 0.9996747374534607]","[0.34952861070632935, 0.5072371363639832, -0.3523487150669098, 0.9996625781059265]","[0.4993566870689392, 0.605975329875946, -0.15485714375972748, 0.9974188208580017]","[0.2579015791416168, 0.6192384958267212, -0.16280458867549896, 0.999112606048584]","[0.5263163447380066, 0.8094284534454346, -0.18038322031497955, 0.6273226141929626]","[0.23503842949867249, 0.8179577589035034, -0.48400935530662537, 0.9640179872512817]","[0.5026319622993469, 0.9577425718307495, -0.26452499628067017, 0.11010635644197464]","[0.3372752070426941, 0.668108344078064, -0.9043101072311401, 0.9907841682434082]","[0.5361251831054688, 1.021050214767456, -0.3021802008152008, 0.13697169721126556]","[0.35825932025909424, 0.615792989730835, -0.9863391518592834, 0.9823135137557983]","[0.5046252608299255, 1.0243552923202515, -0.3066466152667999, 0.1865520030260086]","[0.35291361808776855, 0.5989596843719482, -0.9396620392799377, 0.9808495044708252]","[0.494046688079834, 1.0039321184158325, -0.2729996144771576, 0.22178316116333008]","[0.35127145051956177, 0.6101162433624268, -0.8964517712593079, 0.9742609858512878]","[0.4744918644428253, 0.9245312213897705, -0.02576158195734024, 0.03403182327747345]","[0.3040357828140259, 0.9239689707756042, 0.02821161411702633, 0.03707199916243553]","[0.47659122943878174, 1.1813446283340454, 0.06795954704284668, 0.0001583397970534861]","[0.3187754154205322, 1.1910191774368286, 0.24543927609920502, 0.0001425708906026557]","[0.4810279905796051, 1.4036413431167603, 0.5043880939483643, 4.114850526093505e-05]","[0.32757818698883057, 1.422027826309204, 0.6141706109046936, 6.644334007432917e-06]","[0.4864846169948578, 1.4364138841629028, 0.5306876301765442, 3.81663630832918e-05]","[0.3253364562988281, 1.4567546844482422, 0.644530713558197, 5.253463768895017e-06]","[0.46484801173210144, 1.4828561544418335, 0.25050896406173706, 3.562710844562389e-05]","[0.3508566617965698, 1.5055406093597412, 0.3246334493160248, 2.5704153813421726e-05]"
"[0.36950328946113586, 0.47695454955101013, -0.4237515330314636, 0.9998191595077515]","[0.38295209407806396, 0.45184242725372314, -0.3901979625225067, 0.99922776222229]","[0.3913402557373047, 0.45157021284103394, -0.39015182852745056, 0.999284565448761]","[0.3978366255760193, 0.4517267048358917, -0.3902245759963989, 0.9993169903755188]","[0.35149016976356506, 0.45415791869163513, -0.39011350274086, 0.999226987361908]","[0.339733749628067, 0.4556815028190613, -0.3898657560348511, 0.9992746710777283]","[0.3302346467971802, 0.45738276839256287, -0.39002493023872375, 0.9993958473205566]","[0.40800100564956665, 0.4647688567638397, -0.20170295238494873, 0.9991504549980164]","[0.3173605799674988, 0.47076764702796936, -0.1813848614692688, 0.9992917776107788]","[0.38825175166130066, 0.5029656887054443, -0.3581187427043915, 0.9996606111526489]","[0.3498629629611969, 0.5070580840110779, -0.3533459007740021, 0.9996458292007446]","[0.49902188777923584, 0.606000542640686, -0.1540757566690445, 0.9973250031471252]","[0.25785160064697266, 0.619098424911499, -0.17011895775794983, 0.9990702271461487]","[0.5252068638801575, 0.8081862330436707, -0.17749807238578796, 0.6144514679908752]","[0.24081681668758392, 0.8176798224449158, -0.4839579164981842, 0.960395336151123]","[0.5031355619430542, 0.9569399952888489, -0.2632509768009186, 0.11066363006830215]","[0.339356005191803, 0.6653133034706116, -0.892188549041748, 0.9905022978782654]","[0.5366317629814148, 1.020035743713379, -0.29903027415275574, 0.1374005228281021]","[0.35878461599349976, 0.613231897354126, -0.971321702003479, 0.9819120168685913]","[0.5056124329566956, 1.0236518383026123, -0.3036743402481079, 0.18739163875579834]","[0.3533194959163666, 0.5966101884841919, -0.9263788461685181, 0.9805347919464111]","[0.4948013424873352, 1.0033625364303589, -0.27200984954833984, 0.22335481643676758]","[0.3519757390022278, 0.6078405380249023, -0.8841701745986938, 0.9739387631416321]","[0.47536736726760864, 0.9243358373641968, -0.024149218574166298, 0.03383550047874451]","[0.3040503263473511, 0.9172550439834595, 0.02655870094895363, 0.0369294099509716]","[0.4774476885795593, 1.1812978982925415, 0.062409408390522, 0.00016003735072445124]","[0.3193957209587097, 1.1903443336486816, 0.23984941840171814, 0.00014096463564783335]","[0.4826951026916504, 1.4029366970062256, 0.4853525757789612, 4.1970644815592095e-05]","[0.3294799029827118, 1.4208804368972778, 0.5976837277412415, 6.676107659586705e-06]","[0.4880302846431732, 1.4353963136672974, 0.5104734301567078, 3.937246947316453e-05]","[0.327302485704422, 1.4555052518844604, 0.6269124746322632, 5.235680873738602e-06]","[0.46752119064331055, 1.4823435544967651, 0.23446856439113617, 3.667991404654458e-05]","[0.35281798243522644, 1.50408136844635, 0.3103320300579071, 2.6063316909130663e-05]"
"[0.369935542345047, 0.4770495593547821, -0.4409443438053131, 0.9998147487640381]","[0.38336390256881714, 0.45194685459136963, -0.4060324728488922, 0.9992337822914124]","[0.3916395902633667, 0.4516846835613251, -0.4059661030769348, 0.9992839097976685]","[0.3979637324810028, 0.4518875479698181, -0.40601515769958496, 0.9993187189102173]","[0.35215437412261963, 0.4542272686958313, -0.4060864746570587, 0.999235212802887]","[0.3403382897377014, 0.4557724595069885, -0.4058489203453064, 0.999281108379364]","[0.3308267295360565, 0.45745033025741577, -0.40599092841148376, 0.9994006752967834]","[0.40799450874328613, 0.4649997353553772, -0.20903462171554565, 0.9991334080696106]","[0.31772518157958984, 0.47078779339790344, -0.1914215236902237, 0.9992812275886536]","[0.3885488510131836, 0.5030071139335632, -0.3722769021987915, 0.9996477961540222]","[0.3500604033470154, 0.5068533420562744, -0.36783626675605774, 0.9996290802955627]","[0.4989594519138336, 0.6060077548027039, -0.15134155750274658, 0.9972416758537292]","[0.2578415870666504, 0.6190879344940186, -0.1784738451242447, 0.9990293383598328]","[0.5249214172363281, 0.8074746131896973, -0.17703542113304138, 0.5968295931816101]","[0.2458360493183136, 0.8168532848358154, -0.48759880661964417, 0.954736590385437]","[0.5078457593917847, 0.956942617893219, -0.2737477421760559, 0.1106012687087059]","[0.34081384539604187, 0.6643602252006531, -0.8984571099281311, 0.9900820255279541]","[0.5376901030540466, 1.0187523365020752, -0.31113529205322266, 0.13724762201309204]","[0.3591366410255432, 0.6127926707267761, -0.979333758354187, 0.9812791347503662]","[0.5068169832229614, 1.0225580930709839, -0.31735143065452576, 0.1878407895565033]","[0.3534025251865387, 0.5962211489677429, -0.9377061724662781, 0.9800610542297363]","[0.49577587842941284, 1.00248122215271, -0.28361785411834717, 0.22440358996391296]","[0.35219988226890564, 0.6071813106536865, -0.8917580842971802, 0.9734300374984741]","[0.47626832127571106, 0.9242761731147766, -0.02339540794491768, 0.0330398827791214]","[0.30425870418548584, 0.9143263697624207, 0.02579670585691929, 0.036196183413267136]","[0.4779411554336548, 1.1810730695724487, 0.06749195605516434, 0.0001611851475900039]","[0.3200754225254059, 1.1898784637451172, 0.23693262040615082, 0.0001389862591167912]","[0.4832156002521515, 1.4024299383163452, 0.5041688084602356, 4.223452560836449e-05]","[0.33041495084762573, 1.420163869857788, 0.6060473918914795, 6.586522886209423e-06]","[0.4884548783302307, 1.4348515272140503, 0.5312424302101135, 4.011226337752305e-05]","[0.3282516300678253, 1.4547350406646729, 0.636877715587616, 5.162379238754511e-06]","[0.46816420555114746, 1.481876254081726, 0.2522794306278229, 3.718351945281029e-05]","[0.3535428047180176, 1.5031214952468872, 0.3152405619621277, 2.5914147045114078e-05]"
"[0.36994045972824097, 0.477177232503891, -0.4532543420791626, 0.9998165965080261]","[0.38343197107315063, 0.45208126306533813, -0.41761499643325806, 0.9992604851722717]","[0.3916880488395691, 0.4518316984176636, -0.41754695773124695, 0.9993042945861816]","[0.3979955315589905, 0.45204871892929077, -0.4175861179828644, 0.9993391036987305]","[0.352243036031723, 0.45437073707580566, -0.4170131981372833, 0.9992641806602478]","[0.34048426151275635, 0.4559312164783478, -0.41676193475723267, 0.9993079304695129]","[0.3310169279575348, 0.45757460594177246, -0.41689497232437134, 0.9994224905967712]","[0.4079819619655609, 0.4651510417461395, -0.21472887694835663, 0.9991468787193298]","[0.31807416677474976, 0.4708285629749298, -0.19481906294822693, 0.9992973208427429]","[0.38855934143066406, 0.5030325055122375, -0.38238808512687683, 0.9996504783630371]","[0.35006478428840637, 0.5066902041435242, -0.377034068107605, 0.9996293187141418]","[0.49894392490386963, 0.6059953570365906, -0.14990262687206268, 0.9972343444824219]","[0.2578977644443512, 0.6190760731697083, -0.18174748122692108, 0.9990236759185791]","[0.5247623324394226, 0.805620014667511, -0.1766558289527893, 0.583956241607666]","[0.24906450510025024, 0.8155292272567749, -0.49306216835975647, 0.9510931372642517]","[0.510779857635498, 0.9561543464660645, -0.2780084013938904, 0.11230376362800598]","[0.3425635099411011, 0.6635926365852356, -0.91322922706604, 0.9899728894233704]","[0.5394586324691772, 1.0184314250946045, -0.31607604026794434, 0.13836245238780975]","[0.36005866527557373, 0.6129748821258545, -0.9966495633125305, 0.9810462594032288]","[0.5086432695388794, 1.0223482847213745, -0.3234197497367859, 0.18991054594516754]","[0.3537423610687256, 0.5963973999023438, -0.957331657409668, 0.9799680113792419]","[0.4973674714565277, 1.0022993087768555, -0.2881755530834198, 0.22732987999916077]","[0.3527863919734955, 0.6071486473083496, -0.9072735905647278, 0.9733871221542358]","[0.4772404432296753, 0.924247682094574, -0.023168299347162247, 0.03297486901283264]","[0.3049737513065338, 0.9132295250892639, 0.02554897591471672, 0.03630039095878601]","[0.47860172390937805, 1.1808738708496094, 0.07557490468025208, 0.00016627329750917852]","[0.3208889663219452, 1.1896387338638306, 0.24262157082557678, 0.00014020413800608367]","[0.4842248260974884, 1.4020662307739258, 0.520654022693634, 4.435899245436303e-05]","[0.3318622410297394, 1.4197219610214233, 0.6340234279632568, 6.7123069129593205e-06]","[0.489406943321228, 1.4344748258590698, 0.5484520792961121, 4.285987961338833e-05]","[0.3299434781074524, 1.4542375802993774, 0.6668354272842407, 5.2822879297309555e-06]","[0.4693053364753723, 1.4815447330474854, 0.2635250389575958, 3.8768739614170045e-05]","[0.3547877371311188, 1.5024741888046265, 0.3386615812778473, 2.6595647796057165e-05]"
"[0.3698897063732147, 0.4771716296672821, -0.4409940242767334, 0.9998185634613037]","[0.3834541141986847, 0.45208847522735596, -0.4067043960094452, 0.9992786049842834]","[0.3917226493358612, 0.4518437683582306, -0.40663087368011475, 0.9993206858634949]","[0.398026704788208, 0.4520699977874756, -0.40668296813964844, 0.9993542432785034]","[0.3522266447544098, 0.45437631011009216, -0.40584796667099, 0.999282717704773]","[0.340493768453598, 0.4559555649757385, -0.40558934211730957, 0.9993263483047485]","[0.33105045557022095, 0.45759832859039307, -0.40573766827583313, 0.9994349479675293]","[0.4079858660697937, 0.4652041494846344, -0.21145057678222656, 0.9991599321365356]","[0.31825268268585205, 0.4708615839481354, -0.19034084677696228, 0.9993070363998413]","[0.38856297731399536, 0.5030142068862915, -0.3735860586166382, 0.9996535181999207]","[0.35004276037216187, 0.5062330365180969, -0.3679172098636627, 0.9996291399002075]","[0.49896860122680664, 0.6060521006584167, -0.14980816841125488, 0.9972367882728577]","[0.2579316198825836, 0.6190829277038574, -0.18139342963695526, 0.9990110993385315]","[0.5247091054916382, 0.8054519891738892, -0.17468026280403137, 0.5763077735900879]","[0.25025132298469543, 0.8150039315223694, -0.49284544587135315, 0.9483420848846436]","[0.5118727087974548, 0.9562154412269592, -0.27477043867111206, 0.11453036963939667]","[0.34351539611816406, 0.663709282875061, -0.906660795211792, 0.9899291396141052]","[0.5395878553390503, 1.0184565782546997, -0.3116317093372345, 0.140893816947937]","[0.36073896288871765, 0.6133270859718323, -0.9875563383102417, 0.981025755405426]","[0.5087690353393555, 1.0223768949508667, -0.317594438791275, 0.19351589679718018]","[0.35403573513031006, 0.5966832637786865, -0.9456794857978821, 0.9800244569778442]","[0.4975113570690155, 1.0023130178451538, -0.2843679189682007, 0.23183859884738922]","[0.3532600700855255, 0.6073597073554993, -0.89964759349823, 0.9735186100006104]","[0.4778130352497101, 0.9242530465126038, -0.02078871987760067, 0.03368840366601944]","[0.30507609248161316, 0.9124439358711243, 0.023184964433312416, 0.037054166197776794]","[0.4788300096988678, 1.1807193756103516, 0.06993363797664642, 0.00016849470557644963]","[0.32089442014694214, 1.189401626586914, 0.24067050218582153, 0.00013947008119430393]","[0.4842434823513031, 1.4018187522888184, 0.4991222620010376, 4.506862023845315e-05]","[0.3317788243293762, 1.4193692207336426, 0.6155280470848083, 6.630683856201358e-06]","[0.4894702732563019, 1.434253454208374, 0.5247836112976074, 4.42840282630641e-05]","[0.3297797739505768, 1.4538660049438477, 0.6461548209190369, 5.205598881730111e-06]","[0.4690309166908264, 1.4812270402908325, 0.2444608360528946, 3.918181755580008e-05]","[0.3547589182853699, 1.5020196437835693, 0.32469648122787476, 2.6349360268795863e-05]"
"[0.36988744139671326, 0.47714754939079285, -0.4369094669818878, 0.9998216032981873]","[0.38355177640914917, 0.4520912170410156, -0.4025382399559021, 0.9992998838424683]","[0.39184069633483887, 0.451848566532135, -0.40245816111564636, 0.9993394017219543]","[0.398130863904953, 0.4520752727985382, -0.40250974893569946, 0.9993726015090942]","[0.3522728383541107, 0.45437484979629517, -0.40176552534103394, 0.9993037581443787]","[0.34054306149482727, 0.4559612274169922, -0.4015098810195923, 0.9993463158607483]","[0.33110055327415466, 0.4576040506362915, -0.4016586244106293, 0.9994499683380127]","[0.4080539345741272, 0.4652247428894043, -0.20957037806510925, 0.9991768598556519]","[0.31835412979125977, 0.47089025378227234, -0.18837624788284302, 0.9993204474449158]","[0.3885872960090637, 0.5029835104942322, -0.3703979253768921, 0.9996586441993713]","[0.3500390946865082, 0.5058997869491577, -0.3648911416530609, 0.9996315240859985]","[0.4990864396095276, 0.6060913801193237, -0.14936946332454681, 0.9972524642944336]","[0.2579357624053955, 0.6191112399101257, -0.18144643306732178, 0.9990018606185913]","[0.5248367786407471, 0.8054309487342834, -0.17289690673351288, 0.5708273649215698]","[0.250496506690979, 0.8149424195289612, -0.49203962087631226, 0.9464266300201416]","[0.5128363966941833, 0.9562934041023254, -0.27277278900146484, 0.11696381866931915]","[0.34405240416526794, 0.6639362573623657, -0.9038808345794678, 0.9899305105209351]","[0.5401282906532288, 1.018478512763977, -0.30886468291282654, 0.14338074624538422]","[0.3610472083091736, 0.6136087775230408, -0.9846358895301819, 0.9810301661491394]","[0.5092067122459412, 1.0223946571350098, -0.31439557671546936, 0.1969592571258545]","[0.35416844487190247, 0.5969184041023254, -0.9419749975204468, 0.9800971150398254]","[0.4979846179485321, 1.002324104309082, -0.28211525082588196, 0.2363031655550003]","[0.3535427749156952, 0.6075926423072815, -0.8965878486633301, 0.973670244216919]","[0.478055864572525, 0.9243514537811279, -0.01925046369433403, 0.03460793197154999]","[0.3050946295261383, 0.9119583964347839, 0.0216659065335989, 0.03794911503791809]","[0.4789023995399475, 1.180607557296753, 0.06942291557788849, 0.00016887110541574657]","[0.3208114206790924, 1.1893028020858765, 0.23905731737613678, 0.00013811806275043637]","[0.48419180512428284, 1.4019602537155151, 0.4967951476573944, 4.4717773562297225e-05]","[0.3316822648048401, 1.4192304611206055, 0.6096535921096802, 6.465744718298083e-06]","[0.48944926261901855, 1.4346364736557007, 0.5224230289459229, 4.448980689630844e-05]","[0.3296264708042145, 1.4536930322647095, 0.6398807764053345, 5.060503099230118e-06]","[0.468770295381546, 1.4810194969177246, 0.24351169168949127, 3.883647877955809e-05]","[0.35468611121177673, 1.5018857717514038, 0.3195531368255615, 2.5806899429881014e-05]"
