"[0.6766606569290161, 0.4427551329135895, -0.40171554684638977, 0.9999924898147583]","[0.6940046548843384, 0.4157513976097107, -0.3796602189540863, 0.9999853372573853]","[0.7032264471054077, 0.4165809750556946, -0.37930795550346375, 0.9999911785125732]","[0.712657630443573, 0.4177049994468689, -0.37921786308288574, 0.999985933303833]","[0.6594816446304321, 0.41699549555778503, -0.36989185214042664, 0.9999843835830688]","[0.6477570533752441, 0.41843950748443604, -0.3697858154773712, 0.9999873638153076]","[0.6368443369865417, 0.4199059307575226, -0.36993715167045593, 0.9999769926071167]","[0.7291926741600037, 0.43278321623802185, -0.2080252319574356, 0.999993085861206]","[0.623090922832489, 0.43426379561424255, -0.16512876749038696, 0.9999892711639404]","[0.6969344019889832, 0.4702165126800537, -0.33547139167785645, 0.9999911785125732]","[0.6536804437637329, 0.4719199538230896, -0.32415178418159485, 0.9999926090240479]","[0.8124008178710938, 0.5746910572052002, -0.1238069236278534, 0.9999704360961914]","[0.5483161807060242, 0.5725961923599243, -0.03587964549660683, 0.9999645948410034]","[0.8745527267456055, 0.7928996086120605, -0.2902747094631195, 0.9905725121498108]","[0.5102604031562805, 0.7942819595336914, -0.24548886716365814, 0.6834777593612671]","[0.7643508315086365, 0.6099751591682434, -0.5372849106788635, 0.9973771572113037]","[0.4661095142364502, 0.712121307849884, -0.7155196666717529, 0.9062338471412659]","[0.7408632040023804, 0.5622638463973999, -0.5870797038078308, 0.9918066263198853]","[0.439960777759552, 0.6811314821243286, -0.7855772376060486, 0.8881732225418091]","[0.7373349666595459, 0.5424065589904785, -0.5496466755867004, 0.9915800094604492]","[0.4546588659286499, 0.6583060622215271, -0.7727851867675781, 0.8821596503257751]","[0.7363665103912354, 0.5570401549339294, -0.525262713432312, 0.9889724850654602]","[0.4693062901496887, 0.6734241843223572, -0.7256407737731934, 0.881074845790863]","[0.7642542719841003, 0.8586502075195312, 0.003623316530138254, 0.5125531554222107]","[0.5768061280250549, 0.8586883544921875, -0.0009408486657775939, 0.5786827802658081]","[0.7729079723358154, 1.121795892715454, 0.1259288638830185, 0.004446249455213547]","[0.5656483173370361, 1.1339781284332275, 0.14787153899669647, 0.001476514502428472]","[0.7516411542892456, 1.3535569906234741, 0.5043901801109314, 0.00018439188716001809]","[0.5753911733627319, 1.3738083839416504, 0.4609774649143219, 8.85253248270601e-05]","[0.748705267906189, 1.3861771821975708, 0.5303381085395813, 0.00041693286038935184]","[0.5765085220336914, 1.4106642007827759, 0.47886911034584045, 7.780845771776512e-05]","[0.7381523251533508, 1.441767930984497, 0.2656080722808838, 0.0006954663549549878]","[0.5875307321548462, 1.4601552486419678, 0.15733011066913605, 0.00020415543986018747]"
"[0.6766449809074402, 0.44272318482398987, -0.4677881896495819, 0.999990701675415]","[0.6940882802009583, 0.4158441126346588, -0.44603508710861206, 0.999981164932251]","[0.703470766544342, 0.41665568947792053, -0.44570839405059814, 0.9999887347221375]","[0.7126811742782593, 0.41782161593437195, -0.44553741812705994, 0.9999822974205017]","[0.6595121026039124, 0.41699808835983276, -0.44137105345726013, 0.9999798536300659]","[0.647855281829834, 0.41843658685684204, -0.44124001264572144, 0.9999832510948181]","[0.636945366859436, 0.41993480920791626, -0.4414420425891876, 0.9999685883522034]","[0.7294487953186035, 0.43278011679649353, -0.27670425176620483, 0.999990701675415]","[0.6234019994735718, 0.4341682493686676, -0.2536229193210602, 0.9999872446060181]","[0.6969371438026428, 0.4704049229621887, -0.40166494250297546, 0.99998939037323]","[0.6535816192626953, 0.4719630777835846, -0.3961101174354553, 0.9999914169311523]","[0.810206413269043, 0.5746871829032898, -0.1623612940311432, 0.9999699592590332]","[0.5483378767967224, 0.5718168616294861, -0.1185997799038887, 0.9999614357948303]","[0.8655081391334534, 0.7928898334503174, -0.29298099875450134, 0.9903787970542908]","[0.513481855392456, 0.7878922820091248, -0.1685081571340561, 0.6744468212127686]","[0.7643488049507141, 0.6078255772590637, -0.5206460356712341, 0.9971476197242737]","[0.5676690936088562, 0.8294551968574524, -0.3364904224872589, 0.834845781326294]","[0.7408523559570312, 0.5622261166572571, -0.575499415397644, 0.9909140467643738]","[0.5804961323738098, 0.8790780901908875, -0.3666671812534332, 0.8163644671440125]","[0.7386699318885803, 0.5424109697341919, -0.5337707996368408, 0.990485668182373]","[0.5967118740081787, 0.8522021174430847, -0.3677655756473541, 0.8106801509857178]","[0.7384291887283325, 0.5564329624176025, -0.5081974864006042, 0.9878796339035034]","[0.5945454239845276, 0.8324670195579529, -0.34251031279563904, 0.8133177161216736]","[0.7641830444335938, 0.8583173155784607, 0.0038143496494740248, 0.5464178919792175]","[0.5769081711769104, 0.8546672463417053, -0.0011430146405473351, 0.6067172288894653]","[0.7717175483703613, 1.1183884143829346, 0.14365608990192413, 0.0042543793097138405]","[0.560999870300293, 1.133021354675293, 0.1892513781785965, 0.0014351618010550737]","[0.7414584159851074, 1.3530101776123047, 0.5801670551300049, 0.00018597234156914055]","[0.5623502731323242, 1.373680591583252, 0.570300281047821, 9.263527317671105e-05]","[0.7352948784828186, 1.3855127096176147, 0.6142746806144714, 0.000423209072323516]","[0.5664477944374084, 1.410780906677246, 0.5959981679916382, 8.67387352627702e-05]","[0.7237160205841064, 1.4442192316055298, 0.3460274040699005, 0.0007376595749519765]","[0.5660133957862854, 1.4601197242736816, 0.26984089612960815, 0.00022725328744854778]"
"[0.6764445900917053, 0.4425298571586609, -0.5058140158653259, 0.9999894499778748]","[0.6940724849700928, 0.4157729148864746, -0.48392975330352783, 0.999977707862854]","[0.7035406231880188, 0.41649073362350464, -0.483553022146225, 0.9999867677688599]","[0.7126563787460327, 0.41761088371276855, -0.48331525921821594, 0.9999792575836182]","[0.6593952775001526, 0.41698309779167175, -0.4781157970428467, 0.9999760985374451]","[0.6477167010307312, 0.4184364378452301, -0.4779423773288727, 0.9999799132347107]","[0.6368904113769531, 0.41999825835227966, -0.4781193137168884, 0.9999611973762512]","[0.7294852137565613, 0.43172186613082886, -0.3132248520851135, 0.9999884366989136]","[0.6234046220779419, 0.43403875827789307, -0.28379613161087036, 0.9999852776527405]","[0.6969411969184875, 0.47039344906806946, -0.43943509459495544, 0.9999876022338867]","[0.6533699631690979, 0.4719843566417694, -0.4320339858531952, 0.9999901652336121]","[0.81053227186203, 0.5746257901191711, -0.19173812866210938, 0.9999688267707825]","[0.5484378933906555, 0.5714682936668396, -0.14436288177967072, 0.9999573826789856]","[0.8623836636543274, 0.7932844161987305, -0.31854885816574097, 0.9898184537887573]","[0.515381932258606, 0.7874948382377625, -0.1598263382911682, 0.6584464311599731]","[0.7644805908203125, 0.606114387512207, -0.5317144393920898, 0.9969692230224609]","[0.5782743096351624, 0.861086905002594, -0.3370131254196167, 0.7702023983001709]","[0.7408958077430725, 0.5620654821395874, -0.5905653834342957, 0.9902672171592712]","[0.5897343158721924, 0.9153487086296082, -0.3695636987686157, 0.7522975206375122]","[0.739966094493866, 0.542352020740509, -0.545501708984375, 0.9897105693817139]","[0.6075253486633301, 0.8895787000656128, -0.3752811849117279, 0.7474955916404724]","[0.7405118942260742, 0.5557247996330261, -0.5189307928085327, 0.9871362447738647]","[0.606248676776886, 0.867605984210968, -0.34559205174446106, 0.7533828020095825]","[0.7646391987800598, 0.8582188487052917, 0.003062983276322484, 0.5698642730712891]","[0.5772674679756165, 0.8534601926803589, -0.0003332174674142152, 0.6256983280181885]","[0.7717226147651672, 1.1186602115631104, 0.14411461353302002, 0.003980851732194424]","[0.5603594183921814, 1.1336071491241455, 0.2038414031267166, 0.0013535827165469527]","[0.7407549619674683, 1.3542075157165527, 0.5940532088279724, 0.00017969743930734694]","[0.5606188774108887, 1.3744090795516968, 0.6052249670028687, 8.945390436565503e-05]","[0.7342004179954529, 1.3871757984161377, 0.6285091042518616, 0.0004096957272849977]","[0.5657275915145874, 1.4131495952606201, 0.6323399543762207, 8.60637373989448e-05]","[0.722853422164917, 1.4499094486236572, 0.35309743881225586, 0.0007405257201753557]","[0.5622283816337585, 1.461121678352356, 0.3001963496208191, 0.0002346710389247164]"
"[0.6763954162597656, 0.4423353672027588, -0.4866030514240265, 0.9999883770942688]","[0.6940624117851257, 0.4157133400440216, -0.4641457498073578, 0.99997478723526]","[0.7035812139511108, 0.4163702130317688, -0.4637753367424011, 0.9999849796295166]","[0.7125950455665588, 0.41749733686447144, -0.46355631947517395, 0.9999765753746033]","[0.6593095064163208, 0.4169856011867523, -0.4581456780433655, 0.9999730587005615]","[0.6475451588630676, 0.41846179962158203, -0.45795953273773193, 0.9999772310256958]","[0.636748194694519, 0.4200979471206665, -0.4581339657306671, 0.9999554753303528]","[0.7294452786445618, 0.4312538802623749, -0.29428622126579285, 0.999986469745636]","[0.6233766674995422, 0.4337122440338135, -0.26413893699645996, 0.9999838471412659]","[0.6969584226608276, 0.4703757166862488, -0.42080363631248474, 0.9999859929084778]","[0.6531623005867004, 0.4720204770565033, -0.4132067561149597, 0.9999891519546509]","[0.8105557560920715, 0.5746017694473267, -0.17881886661052704, 0.9999672770500183]","[0.5484710931777954, 0.5712642669677734, -0.13500939309597015, 0.9999538064002991]","[0.8621585965156555, 0.7935810089111328, -0.3142721951007843, 0.9894054532051086]","[0.5166552662849426, 0.7873538136482239, -0.15601462125778198, 0.6476393342018127]","[0.7641481757164001, 0.6044062376022339, -0.5166458487510681, 0.9967646598815918]","[0.5854166150093079, 0.8666096329689026, -0.328525185585022, 0.7165352702140808]","[0.7404951453208923, 0.5613247156143188, -0.5722657442092896, 0.9895558953285217]","[0.597557544708252, 0.9199854731559753, -0.3601817488670349, 0.6989008784294128]","[0.7399417161941528, 0.5417934060096741, -0.5241466760635376, 0.9888855814933777]","[0.6155574917793274, 0.8945602774620056, -0.36259713768959045, 0.6949095129966736]","[0.74045330286026, 0.5544858574867249, -0.5025151968002319, 0.9863506555557251]","[0.613752543926239, 0.8730828762054443, -0.33550235629081726, 0.7037206292152405]","[0.7647548317909241, 0.8581612706184387, 0.0030216157902032137, 0.5925393104553223]","[0.577226459980011, 0.85245281457901, -0.0002770094433799386, 0.6442602872848511]","[0.7711490392684937, 1.1202269792556763, 0.14287717640399933, 0.003761234460398555]","[0.5591058731079102, 1.134966492652893, 0.20071984827518463, 0.0012846929021179676]","[0.7382755875587463, 1.3567864894866943, 0.5853261351585388, 0.00017502553237136453]","[0.55790776014328, 1.3768113851547241, 0.5875428318977356, 8.752028224989772e-05]","[0.7313723564147949, 1.3899258375167847, 0.6191654205322266, 0.00040124787483364344]","[0.5635632276535034, 1.4172443151474, 0.6132373213768005, 8.649411029182374e-05]","[0.7197306752204895, 1.4556992053985596, 0.3495202660560608, 0.0007466676761396229]","[0.5570225119590759, 1.4639638662338257, 0.28612497448921204, 0.00024305732222273946]"
"[0.6758449673652649, 0.44230926036834717, -0.4999236762523651, 0.9999874830245972]","[0.6935929656028748, 0.4157140254974365, -0.47735273838043213, 0.9999719858169556]","[0.7035179138183594, 0.4163619577884674, -0.47695231437683105, 0.9999833106994629]","[0.7122951745986938, 0.417486310005188, -0.47668445110321045, 0.9999740123748779]","[0.6587318181991577, 0.41708192229270935, -0.4714169502258301, 0.9999703168869019]","[0.6467511653900146, 0.4186052083969116, -0.47122713923454285, 0.9999747276306152]","[0.6363214254379272, 0.42032426595687866, -0.4714100658893585, 0.9999498724937439]","[0.729171633720398, 0.43109697103500366, -0.3061639666557312, 0.9999845027923584]","[0.6230371594429016, 0.4335840046405792, -0.27535510063171387, 0.9999824166297913]","[0.6969147324562073, 0.47048425674438477, -0.43365609645843506, 0.9999847412109375]","[0.6526855230331421, 0.4721917510032654, -0.4258781373500824, 0.999988317489624]","[0.8108035326004028, 0.5743907690048218, -0.18549290299415588, 0.9999662637710571]","[0.5484005808830261, 0.5712416172027588, -0.14703714847564697, 0.9999522566795349]","[0.8626564741134644, 0.7935653924942017, -0.31944769620895386, 0.9888240098953247]","[0.5170682072639465, 0.7870804071426392, -0.17284603416919708, 0.6385636925697327]","[0.763809323310852, 0.6044300198554993, -0.5189048051834106, 0.9965447783470154]","[0.5893955826759338, 0.8691526651382446, -0.37527304887771606, 0.6650220155715942]","[0.7402635216712952, 0.5613012909889221, -0.5736058354377747, 0.9888272285461426]","[0.6027687788009644, 0.9250084161758423, -0.4091613292694092, 0.6476103067398071]","[0.739926278591156, 0.5417564511299133, -0.5258709788322449, 0.9880356192588806]","[0.6210203766822815, 0.8987250924110413, -0.41303539276123047, 0.6445016264915466]","[0.7404071688652039, 0.5544589161872864, -0.5047637820243835, 0.9855063557624817]","[0.6190474033355713, 0.8760687112808228, -0.3831997811794281, 0.6558871269226074]","[0.7652000188827515, 0.8582952618598938, 0.0028336024843156338, 0.608083188533783]","[0.5771854519844055, 0.8522327542304993, -4.687964974436909e-05, 0.6577267050743103]","[0.7707979679107666, 1.1236356496810913, 0.12990702688694, 0.003519578604027629]","[0.5585246086120605, 1.1374144554138184, 0.20340749621391296, 0.0012097726576030254]","[0.7382636070251465, 1.3604011535644531, 0.5706927180290222, 0.0001675965468166396]","[0.5578049421310425, 1.37863290309906, 0.6051964163780212, 8.333582809427753e-05]","[0.7314364314079285, 1.3944084644317627, 0.6025528907775879, 0.000384448649128899]","[0.5636312365531921, 1.4199172258377075, 0.6318583488464355, 8.353429439011961e-05]","[0.7206093072891235, 1.4594495296478271, 0.3379024267196655, 0.0007329323561862111]","[0.5556228160858154, 1.4656718969345093, 0.30029451847076416, 0.00024384532298427075]"
"[0.6753237843513489, 0.4428022503852844, -0.48478955030441284, 0.9999869465827942]","[0.6930837631225586, 0.41631656885147095, -0.46329402923583984, 0.9999708533287048]","[0.7033944129943848, 0.41682279109954834, -0.4629124402999878, 0.999982476234436]","[0.7119423747062683, 0.4178437292575836, -0.4626803994178772, 0.9999731779098511]","[0.6582290530204773, 0.4182974696159363, -0.4565676748752594, 0.9999690651893616]","[0.64622563123703, 0.41989466547966003, -0.456371933221817, 0.9999732375144958]","[0.6359478235244751, 0.42150020599365234, -0.4565436542034149, 0.999947190284729]","[0.7288207411766052, 0.43111276626586914, -0.2942602038383484, 0.9999837875366211]","[0.6228808760643005, 0.43358537554740906, -0.259881854057312, 0.9999815821647644]","[0.6967507600784302, 0.4713681936264038, -0.41888952255249023, 0.999984085559845]","[0.6523885726928711, 0.473196804523468, -0.41020122170448303, 0.9999877214431763]","[0.8109384775161743, 0.5742011666297913, -0.18003883957862854, 0.9999662041664124]","[0.5484117865562439, 0.5711920857429504, -0.12864255905151367, 0.9999510645866394]","[0.8619672060012817, 0.7932192087173462, -0.31711363792419434, 0.9885147213935852]","[0.5172134637832642, 0.784821093082428, -0.1419561356306076, 0.628882110118866]","[0.7634555101394653, 0.6044849157333374, -0.49844813346862793, 0.9963735342025757]","[0.5918613076210022, 0.8536480665206909, -0.306863933801651, 0.6170458793640137]","[0.7397158741950989, 0.5613001585006714, -0.5485185384750366, 0.9882094860076904]","[0.6063370108604431, 0.9056344628334045, -0.3332645893096924, 0.6002178192138672]","[0.7397587299346924, 0.5417482256889343, -0.5004028081893921, 0.9873009920120239]","[0.6225419044494629, 0.8774448037147522, -0.33426782488822937, 0.5975974798202515]","[0.7403303980827332, 0.554405689239502, -0.4828243851661682, 0.9848018884658813]","[0.6201425194740295, 0.8564040064811707, -0.31286704540252686, 0.611321210861206]","[0.765760600566864, 0.8582197427749634, 0.0012119346065446734, 0.6247177124023438]","[0.5771470069885254, 0.8513656854629517, 0.0016465410590171814, 0.6718419790267944]","[0.769012987613678, 1.1263262033462524, 0.1215294823050499, 0.0032626029569655657]","[0.558623731136322, 1.1378111839294434, 0.20464587211608887, 0.0011317438911646605]","[0.7385073304176331, 1.3627756834030151, 0.5668993592262268, 0.00015752017498016357]","[0.5585494041442871, 1.3797056674957275, 0.5940061211585999, 7.886443199822679e-05]","[0.732162594795227, 1.3963291645050049, 0.602084755897522, 0.0003613084554672241]","[0.5640149116516113, 1.4209576845169067, 0.6201651096343994, 8.036983490455896e-05]","[0.7207849025726318, 1.4616570472717285, 0.32051053643226624, 0.0007026524399407208]","[0.5577099919319153, 1.4666110277175903, 0.2901540696620941, 0.00024122749164234847]"
"[0.6751733422279358, 0.4439319372177124, -0.4772675931453705, 0.999986469745636]","[0.6929933428764343, 0.41765275597572327, -0.4563235938549042, 0.9999697804450989]","[0.7033902406692505, 0.41803407669067383, -0.4559444487094879, 0.999981701374054]","[0.7118849754333496, 0.41883385181427, -0.45572617650032043, 0.9999723434448242]","[0.6580037474632263, 0.419725239276886, -0.4496047794818878, 0.9999679327011108]","[0.6459927558898926, 0.42121919989585876, -0.449404239654541, 0.9999719262123108]","[0.6357296109199524, 0.42258602380752563, -0.4495704472064972, 0.9999449253082275]","[0.7286601066589355, 0.4313563108444214, -0.28820139169692993, 0.9999830722808838]","[0.6227847337722778, 0.433596670627594, -0.2542296350002289, 0.9999809265136719]","[0.6967411041259766, 0.4733428359031677, -0.4113595485687256, 0.9999834895133972]","[0.6522775292396545, 0.4746474027633667, -0.4026155471801758, 0.9999871850013733]","[0.8109524846076965, 0.5740118026733398, -0.1756584495306015, 0.9999661445617676]","[0.5483846664428711, 0.5710633397102356, -0.12339052557945251, 0.9999504089355469]","[0.8605881333351135, 0.7917454242706299, -0.31588155031204224, 0.9881596565246582]","[0.5173322558403015, 0.7827927470207214, -0.1408257782459259, 0.6222542524337769]","[0.7631673812866211, 0.604453980922699, -0.49133479595184326, 0.9962137937545776]","[0.5956578254699707, 0.8443140387535095, -0.2942156493663788, 0.5755050778388977]","[0.7395674586296082, 0.561059832572937, -0.5401302576065063, 0.9876171946525574]","[0.6117424368858337, 0.8947320580482483, -0.31859439611434937, 0.5584880113601685]","[0.7396379709243774, 0.5416911840438843, -0.49160394072532654, 0.9866019487380981]","[0.6272997260093689, 0.8662745356559753, -0.3164110481739044, 0.5562082529067993]","[0.7402347922325134, 0.5543069243431091, -0.4753718078136444, 0.9841269850730896]","[0.6242960095405579, 0.8460426330566406, -0.29838934540748596, 0.5720529556274414]","[0.7657895684242249, 0.8577767610549927, 0.00038977342774160206, 0.638310432434082]","[0.5766832828521729, 0.850389301776886, 0.002496157307177782, 0.6832007169723511]","[0.7646223902702332, 1.128233790397644, 0.11658357828855515, 0.003030942752957344]","[0.5582777261734009, 1.1378167867660522, 0.2054658830165863, 0.0010619786335155368]","[0.7368571758270264, 1.364477515220642, 0.5530025362968445, 0.00014884548727422953]","[0.558054506778717, 1.3799742460250854, 0.5913736820220947, 7.490767166018486e-05]","[0.7312861084938049, 1.3976725339889526, 0.5878534317016602, 0.0003411487559787929]","[0.5630927681922913, 1.4211320877075195, 0.617662250995636, 7.779427687637508e-05]","[0.7184346318244934, 1.4630885124206543, 0.302302747964859, 0.0006772111519239843]","[0.5573779344558716, 1.4667571783065796, 0.2882236838340759, 0.00023980409605428576]"
"[0.6749248504638672, 0.4449998736381531, -0.46151816844940186, 0.9999862313270569]","[0.6928601264953613, 0.418888121843338, -0.44279637932777405, 0.9999691843986511]","[0.7033792734146118, 0.41927751898765564, -0.4424058198928833, 0.9999812245368958]","[0.7118269205093384, 0.41990822553634644, -0.44213631749153137, 0.9999719858169556]","[0.6576873660087585, 0.4206511676311493, -0.435664564371109, 0.9999673962593079]","[0.6456207633018494, 0.4220106601715088, -0.43536636233329773, 0.9999710917472839]","[0.6354499459266663, 0.4231644570827484, -0.43550291657447815, 0.9999436140060425]","[0.7286199331283569, 0.43178078532218933, -0.2832694351673126, 0.9999826550483704]","[0.6226721405982971, 0.4335874915122986, -0.24479566514492035, 0.9999805688858032]","[0.6966901421546936, 0.47532564401626587, -0.3981309235095978, 0.9999831914901733]","[0.6520045399665833, 0.476028174161911, -0.388323038816452, 0.9999868869781494]","[0.8107398748397827, 0.5739179253578186, -0.16932380199432373, 0.9999660849571228]","[0.5483844876289368, 0.5709908604621887, -0.11569180339574814, 0.9999499320983887]","[0.8600483536720276, 0.7915074825286865, -0.2863391041755676, 0.9877376556396484]","[0.5173108577728271, 0.7813937067985535, -0.10534758865833282, 0.6153156757354736]","[0.7625356316566467, 0.6046651005744934, -0.44619670510292053, 0.9961833953857422]","[0.5937631130218506, 0.844140887260437, -0.2500321865081787, 0.5383435487747192]","[0.7394420504570007, 0.5611144304275513, -0.4922650158405304, 0.9875074028968811]","[0.6092045903205872, 0.8971990346908569, -0.27252912521362305, 0.5220847129821777]","[0.7394411563873291, 0.541750431060791, -0.44481196999549866, 0.9864316582679749]","[0.6249054074287415, 0.8687741160392761, -0.27382490038871765, 0.5204041004180908]","[0.7399770021438599, 0.5544172525405884, -0.4302024245262146, 0.9840689897537231]","[0.6222646832466125, 0.8474300503730774, -0.25579559803009033, 0.538547158241272]","[0.7656524181365967, 0.8577125072479248, -0.00025234781787730753, 0.6483439207077026]","[0.5757063031196594, 0.850203275680542, 0.0031951775308698416, 0.6908205151557922]","[0.7579320669174194, 1.131428837776184, 0.10109870880842209, 0.002797776600345969]","[0.5563280582427979, 1.1381802558898926, 0.2064588963985443, 0.000991316162981093]","[0.7317347526550293, 1.366773247718811, 0.5194746255874634, 0.00013920388300903141]","[0.5552791953086853, 1.3799992799758911, 0.5929503440856934, 7.009627006482333e-05]","[0.7271384596824646, 1.399846076965332, 0.5511029362678528, 0.0003184377565048635]","[0.5607383847236633, 1.4210100173950195, 0.6194332242012024, 7.405988435493782e-05]","[0.7125547528266907, 1.4643235206604004, 0.2670283615589142, 0.0006456734845414758]","[0.5323790907859802, 1.525059700012207, 0.2899733781814575, 0.00023470577434636652]"
"[0.6740255951881409, 0.44711920619010925, -0.4580945372581482, 0.9999857544898987]","[0.6920532584190369, 0.4212007224559784, -0.44130098819732666, 0.9999682307243347]","[0.7029983401298523, 0.42166802287101746, -0.44091159105300903, 0.9999804496765137]","[0.7113576531410217, 0.4220845699310303, -0.440635621547699, 0.9999712705612183]","[0.6568828821182251, 0.4220719635486603, -0.4336652159690857, 0.9999663829803467]","[0.6447678208351135, 0.4231824278831482, -0.4333403706550598, 0.9999697804450989]","[0.6350553035736084, 0.42405810952186584, -0.43347007036209106, 0.9999416470527649]","[0.7283536195755005, 0.43270474672317505, -0.2803042531013489, 0.9999819993972778]","[0.6226369738578796, 0.43362346291542053, -0.24401551485061646, 0.9999797344207764]","[0.6962449550628662, 0.4781448245048523, -0.3951009511947632, 0.9999827742576599]","[0.6515299677848816, 0.47744566202163696, -0.3844398856163025, 0.9999864101409912]","[0.8097894787788391, 0.5737429261207581, -0.1690681129693985, 0.9999660849571228]","[0.5484790205955505, 0.570884108543396, -0.11525908857584, 0.9999496936798096]","[0.8590715527534485, 0.7915093302726746, -0.2794446349143982, 0.9874223470687866]","[0.517221212387085, 0.7803322672843933, -0.12395872175693512, 0.6107805371284485]","[0.7609182000160217, 0.6049145460128784, -0.4445617198944092, 0.9961276054382324]","[0.593840479850769, 0.8390909433364868, -0.30971723794937134, 0.5090115666389465]","[0.738794207572937, 0.5614811182022095, -0.49163731932640076, 0.9873377084732056]","[0.6087414622306824, 0.8885206580162048, -0.3399730622768402, 0.4924454689025879]","[0.7387322783470154, 0.5420178771018982, -0.4463583528995514, 0.9862176179885864]","[0.6245715618133545, 0.8600080609321594, -0.3392142653465271, 0.49117061495780945]","[0.7391793727874756, 0.5547716021537781, -0.42941683530807495, 0.9839273691177368]","[0.6223717331886292, 0.8402813673019409, -0.31582698225975037, 0.5112928152084351]","[0.7649653553962708, 0.8576340675354004, -0.00093914067838341, 0.6575127840042114]","[0.5749619603157043, 0.8498979210853577, 0.0038874202873557806, 0.6980623006820679]","[0.7531015872955322, 1.1322332620620728, 0.10158182680606842, 0.0025985604152083397]","[0.5544896721839905, 1.1381070613861084, 0.20420247316360474, 0.0009303450933657587]","[0.7275274991989136, 1.3681273460388184, 0.5144453644752502, 0.0001311327941948548]","[0.5524660348892212, 1.3800339698791504, 0.5838810801506042, 6.595162267331034e-05]","[0.7235944271087646, 1.4010268449783325, 0.5452215075492859, 0.00029904249822720885]","[0.5569793581962585, 1.420894980430603, 0.6095995306968689, 7.094231114024296e-05]","[0.706871747970581, 1.4649152755737305, 0.2637515962123871, 0.0006148063694126904]","[0.5392811298370361, 1.5005989074707031, 0.2808479070663452, 0.00022939413611311466]"
"[0.6726120114326477, 0.44968000054359436, -0.4581097662448883, 0.9999850392341614]","[0.6911494731903076, 0.42335450649261475, -0.4415733814239502, 0.9999669194221497]","[0.7024536728858948, 0.4239427149295807, -0.4411945939064026, 0.9999793767929077]","[0.7108304500579834, 0.42430588603019714, -0.4409475028514862, 0.9999701380729675]","[0.6557263731956482, 0.42340347170829773, -0.4335770010948181, 0.9999650716781616]","[0.6435649991035461, 0.4242636263370514, -0.43327733874320984, 0.9999681115150452]","[0.6344896554946899, 0.42485716938972473, -0.43341264128685, 0.9999392032623291]","[0.728069543838501, 0.434025377035141, -0.2809445261955261, 0.9999811053276062]","[0.6225215792655945, 0.4336431920528412, -0.2418491393327713, 0.9999787211418152]","[0.6956813931465149, 0.48150667548179626, -0.39477235078811646, 0.9999821782112122]","[0.6506316661834717, 0.4791307747364044, -0.38410380482673645, 0.9999858140945435]","[0.8087400794029236, 0.5736504197120667, -0.1689789593219757, 0.9999656677246094]","[0.5484979152679443, 0.5708007216453552, -0.1124836653470993, 0.9999495148658752]","[0.8578498363494873, 0.7915837168693542, -0.28181353211402893, 0.987097442150116]","[0.5170118808746338, 0.7792378664016724, -0.13522864878177643, 0.6085690259933472]","[0.7591058015823364, 0.6053580045700073, -0.4518648087978363, 0.9960675239562988]","[0.5929442644119263, 0.8346461057662964, -0.33303403854370117, 0.48672086000442505]","[0.7379509806632996, 0.561769425868988, -0.4984826147556305, 0.9871497750282288]","[0.6076954007148743, 0.8799394369125366, -0.364948034286499, 0.4687820076942444]","[0.7377257943153381, 0.5423665046691895, -0.4537612795829773, 0.9859716892242432]","[0.6233687400817871, 0.8515544533729553, -0.36106938123703003, 0.4675169587135315]","[0.7380363941192627, 0.555461049079895, -0.4367307722568512, 0.9837402105331421]","[0.6214933395385742, 0.8336248397827148, -0.3381458520889282, 0.48952516913414]","[0.7640376687049866, 0.8576152324676514, -0.001503743464127183, 0.6681144833564758]","[0.573851466178894, 0.849717378616333, 0.004430197644978762, 0.7073858380317688]","[0.7499883770942688, 1.1332064867019653, 0.1035236120223999, 0.0024251064751297235]","[0.5529139041900635, 1.138089656829834, 0.20966316759586334, 0.0008800579817034304]","[0.7248018383979797, 1.3692820072174072, 0.5166144967079163, 0.00012401133426465094]","[0.5506922006607056, 1.3801791667938232, 0.5957220196723938, 6.262746319407597e-05]","[0.7210758328437805, 1.4019719362258911, 0.5473595261573792, 0.0002815703337546438]","[0.5548070073127747, 1.4208804368972778, 0.6226170659065247, 6.853510421933606e-05]","[0.7040364742279053, 1.4656530618667603, 0.2665528655052185, 0.0005882306722924113]","[0.542514979839325, 1.4886202812194824, 0.29329490661621094, 0.00022650259779766202]"
