"[0.6575992703437805, 0.43318846821784973, -0.5460562109947205, 0.9999576807022095]","[0.678737223148346, 0.4054933190345764, -0.5278363227844238, 0.9999097585678101]","[0.6894341707229614, 0.40608853101730347, -0.5273309350013733, 0.9999387264251709]","[0.6997591853141785, 0.408086359500885, -0.5271354913711548, 0.9998959302902222]","[0.6446141600608826, 0.40678924322128296, -0.5176489949226379, 0.9999107122421265]","[0.6343616843223572, 0.40784287452697754, -0.5174568295478821, 0.9999207258224487]","[0.6241113543510437, 0.4088602066040039, -0.5175873637199402, 0.9998490810394287]","[0.7233000993728638, 0.4249144494533539, -0.36107492446899414, 0.9999264478683472]","[0.6176137328147888, 0.42213425040245056, -0.3176043927669525, 0.999947190284729]","[0.680625855922699, 0.461344450712204, -0.481551855802536, 0.9999606609344482]","[0.6391875743865967, 0.46429887413978577, -0.4695003628730774, 0.9999765157699585]","[0.800325870513916, 0.5739333629608154, -0.24615129828453064, 0.999893069267273]","[0.5451600551605225, 0.5734724998474121, -0.16767673194408417, 0.9999357461929321]","[0.8568264245986938, 0.8005251288414001, -0.3903921842575073, 0.9900141954421997]","[0.5109606981277466, 0.79297935962677, -0.259033739566803, 0.6387006640434265]","[0.7622534036636353, 0.6213072538375854, -0.6433016061782837, 0.9965527057647705]","[0.538076639175415, 0.8720142245292664, -0.6090218424797058, 0.4126296937465668]","[0.7449785470962524, 0.5740021467208862, -0.7085739970207214, 0.9884284138679504]","[0.5408924221992493, 0.9216886758804321, -0.6685686707496643, 0.4183959662914276]","[0.744325578212738, 0.5544067621231079, -0.6668550968170166, 0.9870603084564209]","[0.560425877571106, 0.8914509415626526, -0.6742586493492126, 0.42423978447914124]","[0.7420921921730042, 0.5668666958808899, -0.632264256477356, 0.9851264953613281]","[0.5644329786300659, 0.8719562888145447, -0.6222212910652161, 0.4553237557411194]","[0.7538321018218994, 0.8637378215789795, -0.007664330303668976, 0.6525459289550781]","[0.5719218254089355, 0.8601956367492676, 0.010445844382047653, 0.6962882876396179]","[0.7628610134124756, 1.138256311416626, 0.11379747092723846, 0.0009325488936156034]","[0.5542570352554321, 1.1571694612503052, 0.20622873306274414, 0.00046513191773556173]","[0.7516238689422607, 1.3827425241470337, 0.5643364787101746, 5.8070614613825455e-05]","[0.5732408761978149, 1.4053618907928467, 0.6269955635070801, 2.8153630410088226e-05]","[0.7500661611557007, 1.4189693927764893, 0.596543550491333, 0.00011912998161278665]","[0.5773168206214905, 1.4452650547027588, 0.6551557183265686, 4.014385194750503e-05]","[0.7384317517280579, 1.479079008102417, 0.30712252855300903, 0.000341991224559024]","[0.5898382067680359, 1.4979733228683472, 0.3052894175052643, 0.00012492347741499543]"
"[0.6574516892433167, 0.4335438311100006, -0.5363026261329651, 0.9999589920043945]","[0.6787512898445129, 0.4061678647994995, -0.5188152194023132, 0.9999115467071533]","[0.6897208094596863, 0.4069516360759735, -0.5183685421943665, 0.9999402165412903]","[0.7001326680183411, 0.40875083208084106, -0.5181416273117065, 0.9998990297317505]","[0.6447813510894775, 0.406948447227478, -0.5056834816932678, 0.9999127984046936]","[0.6345397233963013, 0.4079217314720154, -0.5054880380630493, 0.9999223947525024]","[0.6254094243049622, 0.4089322090148926, -0.5056586861610413, 0.9998518824577332]","[0.7233279943466187, 0.42533430457115173, -0.3589576780796051, 0.9999287724494934]","[0.6193749308586121, 0.42238131165504456, -0.29723313450813293, 0.9999481439590454]","[0.6806077361106873, 0.4627609848976135, -0.4743126332759857, 0.9999608993530273]","[0.6391921043395996, 0.4649586081504822, -0.4575617015361786, 0.9999762177467346]","[0.8023149967193604, 0.5739372968673706, -0.24277012050151825, 0.9998947978019714]","[0.5453683733940125, 0.5734894275665283, -0.1546768993139267, 0.9999352693557739]","[0.8567284941673279, 0.8030485510826111, -0.38821887969970703, 0.9886834621429443]","[0.5115442872047424, 0.7924174070358276, -0.1630583554506302, 0.6199483275413513]","[0.7617399096488953, 0.6212741136550903, -0.6247075200080872, 0.9963337779045105]","[0.562166690826416, 0.8549169301986694, -0.36442190408706665, 0.40129414200782776]","[0.7420288324356079, 0.5761383771896362, -0.6834854483604431, 0.9878845810890198]","[0.5746205449104309, 0.9044454097747803, -0.4036353826522827, 0.40416285395622253]","[0.7433909773826599, 0.5549607872962952, -0.6376466751098633, 0.9864616990089417]","[0.5952761769294739, 0.8736575245857239, -0.39664414525032043, 0.4095032811164856]","[0.7415681481361389, 0.5673987865447998, -0.6106468439102173, 0.9844757914543152]","[0.5944960117340088, 0.854169487953186, -0.3684275150299072, 0.44126707315444946]","[0.755391001701355, 0.8640297055244446, -0.00751107232645154, 0.663249671459198]","[0.571770191192627, 0.8592011332511902, 0.01031818799674511, 0.7088204622268677]","[0.7627459168434143, 1.1383322477340698, 0.1358073204755783, 0.0009156340966001153]","[0.5525802373886108, 1.1525579690933228, 0.24334627389907837, 0.000454719498520717]","[0.734491229057312, 1.3795312643051147, 0.6155336499214172, 5.642415635520592e-05]","[0.5530559420585632, 1.3960371017456055, 0.7113456130027771, 2.8000215024803765e-05]","[0.728379487991333, 1.4143966436386108, 0.6521247029304504, 0.00011665972124319524]","[0.5588027238845825, 1.4388978481292725, 0.7444971799850464, 3.951376857003197e-05]","[0.7151378989219666, 1.4781537055969238, 0.3577347993850708, 0.000334538402967155]","[0.5465380549430847, 1.483863353729248, 0.40018150210380554, 0.00012844463344663382]"
"[0.6571264266967773, 0.43400242924690247, -0.5379919409751892, 0.9999600648880005]","[0.6787474751472473, 0.406735897064209, -0.5219132900238037, 0.9999130368232727]","[0.6898843050003052, 0.4076422452926636, -0.5214942097663879, 0.9999414682388306]","[0.7004362940788269, 0.40932533144950867, -0.5212374925613403, 0.9999016523361206]","[0.6448017954826355, 0.4071335792541504, -0.5064340233802795, 0.9999145269393921]","[0.6346057057380676, 0.4080318808555603, -0.5062401294708252, 0.9999236464500427]","[0.6261247992515564, 0.4090225100517273, -0.5064343810081482, 0.9998540282249451]","[0.7234223484992981, 0.42573457956314087, -0.36729007959365845, 0.9999308586120605]","[0.6205730438232422, 0.4225514531135559, -0.29994991421699524, 0.9999488592147827]","[0.6804700493812561, 0.4641488194465637, -0.47739019989967346, 0.9999610781669617]","[0.6391526460647583, 0.46569451689720154, -0.45804697275161743, 0.9999759197235107]","[0.8043350577354431, 0.5739517211914062, -0.24745221436023712, 0.9998957514762878]","[0.545522153377533, 0.5734832882881165, -0.15567581355571747, 0.9999349117279053]","[0.8567310571670532, 0.8051751255989075, -0.39285117387771606, 0.9874739050865173]","[0.5121576189994812, 0.7921137809753418, -0.1593279242515564, 0.6025335788726807]","[0.761578381061554, 0.6212853789329529, -0.6267423033714294, 0.996196448802948]","[0.567925214767456, 0.8477492928504944, -0.36120933294296265, 0.39128679037094116]","[0.7407945990562439, 0.5777401924133301, -0.6855379343032837, 0.9875586628913879]","[0.5815370678901672, 0.8971113562583923, -0.3994569480419159, 0.3917447030544281]","[0.7431038618087769, 0.5555636286735535, -0.6401179432868958, 0.9860948324203491]","[0.6019368171691895, 0.8657830953598022, -0.392886221408844, 0.39672306180000305]","[0.7414923906326294, 0.56805020570755, -0.6128458976745605, 0.9840921759605408]","[0.6008521914482117, 0.8464438319206238, -0.36534184217453003, 0.429128497838974]","[0.7564558386802673, 0.8644804358482361, -0.00749862939119339, 0.6716719269752502]","[0.5714894533157349, 0.8587062954902649, 0.010312537662684917, 0.7194391489028931]","[0.762218713760376, 1.138691782951355, 0.1388126015663147, 0.0008990208152681589]","[0.550709068775177, 1.1505755186080933, 0.2579427659511566, 0.00044627414899878204]","[0.7276134490966797, 1.3781120777130127, 0.6203917264938354, 5.489993782248348e-05]","[0.5457910299301147, 1.3918282985687256, 0.7361001372337341, 2.7739559300243855e-05]","[0.7207178473472595, 1.4125910997390747, 0.6570019721984863, 0.00011458098742878065]","[0.5521193742752075, 1.4355847835540771, 0.7702102065086365, 3.8896756450412795e-05]","[0.7075566053390503, 1.4776228666305542, 0.3601204454898834, 0.0003285231941845268]","[0.5357434153556824, 1.4784924983978271, 0.42573532462120056, 0.00013254524674266577]"
"[0.6570874452590942, 0.4355624318122864, -0.601723849773407, 0.9999622702598572]","[0.6788733005523682, 0.40820902585983276, -0.5850338935852051, 0.9999169111251831]","[0.69035804271698, 0.4092086851596832, -0.5845316052436829, 0.9999443292617798]","[0.7009928822517395, 0.41097867488861084, -0.5841953754425049, 0.999906599521637]","[0.6448772549629211, 0.40819090604782104, -0.5712624192237854, 0.9999185800552368]","[0.6346867084503174, 0.40893083810806274, -0.5710831880569458, 0.999927282333374]","[0.6266995668411255, 0.4099174737930298, -0.5712328553199768, 0.9998601078987122]","[0.7237104773521423, 0.42699018120765686, -0.42373254895210266, 0.9999344348907471]","[0.6215600371360779, 0.4230233132839203, -0.357382208108902, 0.9999513626098633]","[0.6804735660552979, 0.467433363199234, -0.5385879874229431, 0.9999625086784363]","[0.639165461063385, 0.4675440788269043, -0.5205003023147583, 0.9999765753746033]","[0.8050376772880554, 0.5739598274230957, -0.2877620756626129, 0.9998999238014221]","[0.5455372333526611, 0.573602020740509, -0.2100868821144104, 0.9999366402626038]","[0.8568029403686523, 0.8067190647125244, -0.45106974244117737, 0.9868438243865967]","[0.5122523307800293, 0.7920847535133362, -0.1957773119211197, 0.5925313830375671]","[0.7626858949661255, 0.6225102543830872, -0.710837185382843, 0.9961235523223877]","[0.5745028853416443, 0.8534719944000244, -0.443077951669693, 0.3773605525493622]","[0.7408527731895447, 0.5799165964126587, -0.7741862535476685, 0.9873473048210144]","[0.5892510414123535, 0.9110743403434753, -0.4859919846057892, 0.3758605718612671]","[0.7433393597602844, 0.5572699904441833, -0.7263246774673462, 0.9858633279800415]","[0.6121944189071655, 0.879884660243988, -0.48279422521591187, 0.38094449043273926]","[0.7421661019325256, 0.5701122879981995, -0.6964938640594482, 0.9838742017745972]","[0.6102204918861389, 0.8571730256080627, -0.4491437077522278, 0.4141007959842682]","[0.7568342089653015, 0.8644818663597107, -0.007082738447934389, 0.6844360828399658]","[0.5708557963371277, 0.8579210042953491, 0.009963310323655605, 0.7329312562942505]","[0.7614411115646362, 1.1393077373504639, 0.137759268283844, 0.0008935991791076958]","[0.5480384826660156, 1.149803876876831, 0.2646470367908478, 0.00044070350122638047]","[0.7254772782325745, 1.3779948949813843, 0.6200374364852905, 5.516274177352898e-05]","[0.5424438118934631, 1.3894788026809692, 0.7496088147163391, 2.754950401140377e-05]","[0.718196451663971, 1.412703037261963, 0.655733585357666, 0.0001172633928945288]","[0.5493570566177368, 1.4336886405944824, 0.7833722233772278, 3.864165410050191e-05]","[0.7063813805580139, 1.4776250123977661, 0.3537616431713104, 0.0003298483497928828]","[0.5330023765563965, 1.4768757820129395, 0.4333813786506653, 0.00013807605137117207]"
"[0.6571476459503174, 0.4374307096004486, -0.5888267755508423, 0.9999634623527527]","[0.679466187953949, 0.4103306233882904, -0.5724724531173706, 0.99991774559021]","[0.6912853121757507, 0.41130873560905457, -0.5719825625419617, 0.9999455213546753]","[0.7018394470214844, 0.41305163502693176, -0.5716736316680908, 0.9999081492424011]","[0.6451843976974487, 0.4102957248687744, -0.5595625638961792, 0.9999199509620667]","[0.6348815560340881, 0.41079089045524597, -0.5593851804733276, 0.9999289512634277]","[0.6273047924041748, 0.41163456439971924, -0.5595405697822571, 0.9998614192008972]","[0.7242671251296997, 0.4285757839679718, -0.4138108491897583, 0.9999359250068665]","[0.6223357319831848, 0.4235723614692688, -0.3511369228363037, 0.9999527335166931]","[0.6805000901222229, 0.4696466624736786, -0.5263630151748657, 0.999962568283081]","[0.6392078995704651, 0.46891239285469055, -0.5095304250717163, 0.9999765157699585]","[0.8055287003517151, 0.5740247964859009, -0.2820812165737152, 0.9999029040336609]","[0.5456847548484802, 0.5733764171600342, -0.20378084480762482, 0.9999378323554993]","[0.8569878339767456, 0.8073127269744873, -0.4435878396034241, 0.9864739179611206]","[0.5124383568763733, 0.7915719151496887, -0.18948975205421448, 0.5863816738128662]","[0.7628720998764038, 0.6228148341178894, -0.6990140080451965, 0.9960500001907349]","[0.5751937031745911, 0.863214910030365, -0.37032681703567505, 0.3645361661911011]","[0.7408549189567566, 0.5805483460426331, -0.76079261302948, 0.9870831966400146]","[0.5889424681663513, 0.9246498942375183, -0.40386852622032166, 0.360979825258255]","[0.7432955503463745, 0.5577937364578247, -0.711991012096405, 0.9855382442474365]","[0.6125984191894531, 0.8957059383392334, -0.4010709226131439, 0.36579322814941406]","[0.7421719431877136, 0.5705780386924744, -0.6840377449989319, 0.9835410118103027]","[0.6111786365509033, 0.8716611266136169, -0.3743436932563782, 0.39944741129875183]","[0.7570056319236755, 0.8643959164619446, -0.006441441364586353, 0.6999124884605408]","[0.5703936219215393, 0.856979489326477, 0.009346827864646912, 0.748084545135498]","[0.7614415287971497, 1.1392757892608643, 0.13676850497722626, 0.0009278017096221447]","[0.5473472476005554, 1.149322509765625, 0.2603260278701782, 0.00045667687663808465]","[0.7250692248344421, 1.3765631914138794, 0.6157662868499756, 5.83218497922644e-05]","[0.5420188307762146, 1.38841712474823, 0.7369679808616638, 2.9631590223289095e-05]","[0.7177524566650391, 1.4112757444381714, 0.6513239741325378, 0.0001272976369364187]","[0.54949551820755, 1.4328601360321045, 0.7699180245399475, 4.1496605263091624e-05]","[0.7055752277374268, 1.4775431156158447, 0.3548194169998169, 0.0003454912221059203]","[0.5097974538803101, 1.525720238685608, 0.42609843611717224, 0.000151386673678644]"
"[0.6585953235626221, 0.4387364387512207, -0.595304548740387, 0.9999647736549377]","[0.681850254535675, 0.4115752875804901, -0.5783122181892395, 0.9999193549156189]","[0.6941308379173279, 0.4123920500278473, -0.57784503698349, 0.9999471306800842]","[0.7040939331054688, 0.4140397012233734, -0.5775265097618103, 0.9999106526374817]","[0.6465682983398438, 0.41231638193130493, -0.5665552616119385, 0.9999219179153442]","[0.6356250643730164, 0.4126374423503876, -0.5663765072822571, 0.9999309182167053]","[0.6282076835632324, 0.4132932126522064, -0.5665379762649536, 0.9998636841773987]","[0.7263187170028687, 0.42915624380111694, -0.41592562198638916, 0.9999380707740784]","[0.6230147480964661, 0.4240078032016754, -0.35757139325141907, 0.9999544620513916]","[0.681938648223877, 0.4711094796657562, -0.5314733386039734, 0.9999629259109497]","[0.6401004195213318, 0.47048163414001465, -0.5160566568374634, 0.9999765753746033]","[0.808323323726654, 0.5742802619934082, -0.28158891201019287, 0.9999063014984131]","[0.546216607093811, 0.5734043121337891, -0.20591650903224945, 0.9999392032623291]","[0.8577437996864319, 0.8074828386306763, -0.44560927152633667, 0.9864946603775024]","[0.5123981237411499, 0.7884833216667175, -0.17442695796489716, 0.5864623785018921]","[0.7629786133766174, 0.6228069067001343, -0.713381290435791, 0.9960156679153442]","[0.5761594772338867, 0.8632923364639282, -0.3161025643348694, 0.3527628779411316]","[0.7408791780471802, 0.5805182456970215, -0.7761385440826416, 0.9868252873420715]","[0.589852511882782, 0.9246823787689209, -0.34309840202331543, 0.3465459942817688]","[0.7432947158813477, 0.5578870177268982, -0.7261828780174255, 0.9851841926574707]","[0.6119377613067627, 0.8958976864814758, -0.34368693828582764, 0.3507336676120758]","[0.7422379851341248, 0.5706138610839844, -0.6983635425567627, 0.9832597374916077]","[0.6105597615242004, 0.8723167777061462, -0.32049068808555603, 0.3856135308742523]","[0.7584702372550964, 0.8643350601196289, -0.004996396601200104, 0.7182658910751343]","[0.5698952674865723, 0.8563498854637146, 0.007969226688146591, 0.7650423049926758]","[0.7624867558479309, 1.1398162841796875, 0.13546350598335266, 0.0009658290655352175]","[0.5467793345451355, 1.1494449377059937, 0.262458473443985, 0.0004829430254176259]","[0.7257875800132751, 1.3766043186187744, 0.6136767864227295, 6.041403321432881e-05]","[0.5419659614562988, 1.389183521270752, 0.7426723837852478, 3.240161095163785e-05]","[0.7183987498283386, 1.4113346338272095, 0.6492747068405151, 0.00013842379848938435]","[0.5500551462173462, 1.4331035614013672, 0.7755461931228638, 4.646484012482688e-05]","[0.7061909437179565, 1.4786655902862549, 0.35326120257377625, 0.0003558930766303092]","[0.522689700126648, 1.5006428956985474, 0.43053603172302246, 0.00016573959146626294]"
"[0.659903883934021, 0.440297394990921, -0.5893114805221558, 0.9999658465385437]","[0.6836934089660645, 0.41299572587013245, -0.572153627872467, 0.999920666217804]","[0.6961599588394165, 0.4137376546859741, -0.571732223033905, 0.9999483823776245]","[0.7057037949562073, 0.4153130054473877, -0.5713332295417786, 0.999912679195404]","[0.6477674245834351, 0.41422754526138306, -0.5603209733963013, 0.9999236464500427]","[0.6363096833229065, 0.41442108154296875, -0.5600996613502502, 0.999932587146759]","[0.6289843320846558, 0.41495004296302795, -0.5602762699127197, 0.9998659491539001]","[0.7275222539901733, 0.4301023781299591, -0.41125109791755676, 0.9999397397041321]","[0.6234429478645325, 0.42463767528533936, -0.34838494658470154, 0.9999558925628662]","[0.6828966736793518, 0.47241806983947754, -0.5256776213645935, 0.9999630451202393]","[0.6407750248908997, 0.471969336271286, -0.5093793272972107, 0.9999765157699585]","[0.8096427321434021, 0.5744084715843201, -0.27298516035079956, 0.9999089241027832]","[0.5466005206108093, 0.573400616645813, -0.19572079181671143, 0.9999404549598694]","[0.8583865165710449, 0.807494044303894, -0.4419862627983093, 0.9863972663879395]","[0.5123993158340454, 0.7872847318649292, -0.14611634612083435, 0.5845906734466553]","[0.7630688548088074, 0.6227983236312866, -0.7011678814888, 0.9959825873374939]","[0.5741536617279053, 0.8630222678184509, -0.29412180185317993, 0.343921959400177]","[0.7408528327941895, 0.5805131793022156, -0.7641283273696899, 0.9866462349891663]","[0.5865591168403625, 0.9242477416992188, -0.32302314043045044, 0.3357469439506531]","[0.743282675743103, 0.5579218864440918, -0.7179825901985168, 0.9849445223808289]","[0.6081768274307251, 0.8956646919250488, -0.3253863453865051, 0.33958014845848083]","[0.742270290851593, 0.5706002712249756, -0.6874468326568604, 0.9830694198608398]","[0.6074144244194031, 0.8721539974212646, -0.2998791038990021, 0.3755664825439453]","[0.7592235207557678, 0.8644723296165466, -0.004434387199580669, 0.7330253720283508]","[0.5696898698806763, 0.8562440872192383, 0.007441813126206398, 0.7791225910186768]","[0.7622731924057007, 1.1408641338348389, 0.13256549835205078, 0.0009941400494426489]","[0.5463767647743225, 1.1494841575622559, 0.2616003453731537, 0.0005022386903874576]","[0.7245515584945679, 1.3766385316848755, 0.6113165020942688, 6.186345854075626e-05]","[0.5415077805519104, 1.3891834020614624, 0.73967444896698, 3.436404949752614e-05]","[0.7169662117958069, 1.4114086627960205, 0.6470444798469543, 0.00014472342445515096]","[0.550034761428833, 1.4333277940750122, 0.7722402215003967, 4.951459777657874e-05]","[0.7050244212150574, 1.4788378477096558, 0.3486986756324768, 0.000366127205779776]","[0.5257465839385986, 1.486907958984375, 0.4276183247566223, 0.00017658928118180484]"
"[0.6609753370285034, 0.4420161545276642, -0.5855344533920288, 0.9999667406082153]","[0.6847236752510071, 0.414274126291275, -0.5689665675163269, 0.9999216794967651]","[0.697151780128479, 0.41481009125709534, -0.5685163736343384, 0.9999493360519409]","[0.7065598368644714, 0.4161757826805115, -0.5681666731834412, 0.9999143481254578]","[0.6486712098121643, 0.4160749018192291, -0.5569690465927124, 0.9999250173568726]","[0.637018620967865, 0.41627228260040283, -0.5567575097084045, 0.9999337792396545]","[0.6297492980957031, 0.4167517125606537, -0.5569273829460144, 0.9998677372932434]","[0.7280282378196716, 0.43047642707824707, -0.40738385915756226, 0.9999411702156067]","[0.624072790145874, 0.42539358139038086, -0.34630635380744934, 0.9999569654464722]","[0.6837732791900635, 0.47335880994796753, -0.5216535925865173, 0.9999632239341736]","[0.6416574120521545, 0.4729991853237152, -0.5055931210517883, 0.9999765753746033]","[0.8105112910270691, 0.5744165182113647, -0.2726104259490967, 0.9999115467071533]","[0.5470449328422546, 0.572995662689209, -0.1937258243560791, 0.999941885471344]","[0.8590330481529236, 0.8074814081192017, -0.43849655985832214, 0.9861350059509277]","[0.5124619603157043, 0.7865510582923889, -0.16027964651584625, 0.5834987759590149]","[0.7630864381790161, 0.6227964758872986, -0.691416323184967, 0.9959338307380676]","[0.5727150440216064, 0.8611201643943787, -0.3313421905040741, 0.3374236822128296]","[0.7408108115196228, 0.5805870294570923, -0.7522063255310059, 0.9864317774772644]","[0.584472119808197, 0.920977771282196, -0.3641761243343353, 0.32689329981803894]","[0.7432654500007629, 0.5580609440803528, -0.7061882615089417, 0.9846917390823364]","[0.6058758497238159, 0.8921835422515869, -0.3666076958179474, 0.33065906167030334]","[0.7422914505004883, 0.570663571357727, -0.6772505044937134, 0.9828270077705383]","[0.6053834557533264, 0.869103193283081, -0.3377489745616913, 0.3673696219921112]","[0.759591281414032, 0.8644754886627197, -0.004308486357331276, 0.7409655451774597]","[0.5696764588356018, 0.8561858534812927, 0.007323728874325752, 0.7880327701568604]","[0.7621368169784546, 1.1411120891571045, 0.13224893808364868, 0.00101076893042773]","[0.5462191700935364, 1.1491276025772095, 0.26162010431289673, 0.0005096102831885219]","[0.7242397665977478, 1.376665472984314, 0.6089138984680176, 6.295616185525432e-05]","[0.5412381291389465, 1.3884186744689941, 0.7401280999183655, 3.529075183905661e-05]","[0.7167040705680847, 1.4114991426467896, 0.6443407535552979, 0.00014870894665364176]","[0.5497018098831177, 1.4328105449676514, 0.7729979157447815, 5.0966260459972546e-05]","[0.7047098875045776, 1.4788212776184082, 0.346934050321579, 0.00037444577901624143]","[0.527081310749054, 1.4798309803009033, 0.42642149329185486, 0.00018443311273586005]"
"[0.6614548563957214, 0.4445126950740814, -0.5846760272979736, 0.9999678134918213]","[0.6851444840431213, 0.4164249300956726, -0.5662609934806824, 0.9999232292175293]","[0.6976381540298462, 0.41683095693588257, -0.5658020973205566, 0.999950647354126]","[0.7071164846420288, 0.4180223345756531, -0.5654805302619934, 0.9999164342880249]","[0.6488940119743347, 0.4182796776294708, -0.5547540187835693, 0.999926745891571]","[0.6372603178024292, 0.4184579849243164, -0.5545741319656372, 0.9999352693557739]","[0.6300784945487976, 0.4187966585159302, -0.5547490119934082, 0.9998698830604553]","[0.7282785177230835, 0.43115437030792236, -0.40428996086120605, 0.9999431371688843]","[0.6244162321090698, 0.42646095156669617, -0.3437539041042328, 0.9999580383300781]","[0.684428870677948, 0.4753212332725525, -0.5210728645324707, 0.9999638199806213]","[0.6420323848724365, 0.47465023398399353, -0.503190279006958, 0.9999767541885376]","[0.8111030459403992, 0.5743804574012756, -0.2698715329170227, 0.999915599822998]","[0.5474328398704529, 0.5726337432861328, -0.18321771919727325, 0.9999440312385559]","[0.8589540719985962, 0.807235836982727, -0.41142091155052185, 0.9860149621963501]","[0.5124579071998596, 0.7856693863868713, -0.16246335208415985, 0.5833151936531067]","[0.7638510465621948, 0.6235389709472656, -0.657837986946106, 0.9958863854408264]","[0.5684508681297302, 0.8559281229972839, -0.3655751347541809, 0.3356876075267792]","[0.7409672141075134, 0.5816673040390015, -0.7193222641944885, 0.9862895011901855]","[0.577120304107666, 0.9124065637588501, -0.4035974442958832, 0.323833167552948]","[0.743794858455658, 0.5591055154800415, -0.6784971952438354, 0.9845424890518188]","[0.5987892150878906, 0.8830826282501221, -0.4058530628681183, 0.3274957537651062]","[0.7432671785354614, 0.5716676115989685, -0.6459780335426331, 0.9826794266700745]","[0.5997784733772278, 0.8613209128379822, -0.3731774389743805, 0.3651622235774994]","[0.7596924901008606, 0.8642963171005249, -0.004329345189034939, 0.747558057308197]","[0.5696735978126526, 0.8557466268539429, 0.0073530119843780994, 0.796319842338562]","[0.7619301676750183, 1.1400949954986572, 0.13200917840003967, 0.001029488630592823]","[0.5459549427032471, 1.1462464332580566, 0.2590242922306061, 0.0005174071411602199]","[0.723331093788147, 1.374716877937317, 0.6050176024436951, 6.396992830559611e-05]","[0.5404176712036133, 1.3857457637786865, 0.7317294478416443, 3.649564314400777e-05]","[0.7153158187866211, 1.4093695878982544, 0.6392704844474792, 0.00015187793178483844]","[0.5488746166229248, 1.4305087327957153, 0.7642361521720886, 5.2739826060133055e-05]","[0.7037123441696167, 1.476868987083435, 0.33819282054901123, 0.00038082568789832294]","[0.5261636972427368, 1.473572015762329, 0.4184154272079468, 0.00019084317318629473]"
"[0.6620320081710815, 0.4471324384212494, -0.5679782032966614, 0.9999679923057556]","[0.6855321526527405, 0.4192579388618469, -0.5533419251441956, 0.9999222755432129]","[0.6981122493743896, 0.419733464717865, -0.552888035774231, 0.9999503493309021]","[0.7076061367988586, 0.4207915663719177, -0.5525653958320618, 0.9999159574508667]","[0.6492250561714172, 0.4205779433250427, -0.540880024433136, 0.9999264478683472]","[0.6376023888587952, 0.4207039475440979, -0.5406595468521118, 0.9999350309371948]","[0.6305212378501892, 0.4208727478981018, -0.5408268570899963, 0.9998688101768494]","[0.7286170125007629, 0.432926744222641, -0.3973258137702942, 0.9999431371688843]","[0.6247227191925049, 0.4277017414569855, -0.33283552527427673, 0.9999581575393677]","[0.6850244998931885, 0.47773632407188416, -0.5054072737693787, 0.9999629855155945]","[0.6425703167915344, 0.4771077632904053, -0.48738840222358704, 0.9999762177467346]","[0.8114959001541138, 0.5745390057563782, -0.26351332664489746, 0.9999174475669861]","[0.5479134321212769, 0.5726192593574524, -0.17247681319713593, 0.9999454021453857]","[0.8593891859054565, 0.8072221875190735, -0.4005894362926483, 0.9857714176177979]","[0.5124778747558594, 0.78524249792099, -0.13992999494075775, 0.5826020836830139]","[0.7644287943840027, 0.6236675381660461, -0.6360030770301819, 0.995741069316864]","[0.568293571472168, 0.8562564253807068, -0.3115444779396057, 0.3280952572822571]","[0.7411154508590698, 0.5819005966186523, -0.6941020488739014, 0.9858142137527466]","[0.5770096182823181, 0.9130244255065918, -0.3426361083984375, 0.315543532371521]","[0.7440425157546997, 0.5595237612724304, -0.6500706672668457, 0.983985185623169]","[0.5986628532409668, 0.8843374848365784, -0.3466448187828064, 0.31900396943092346]","[0.7437334656715393, 0.5719834566116333, -0.6227174997329712, 0.9821261167526245]","[0.5995994806289673, 0.8623009920120239, -0.3187845051288605, 0.3573140799999237]","[0.7600687742233276, 0.8642987012863159, -0.0043927147053182125, 0.75517737865448]","[0.5696419477462769, 0.8556123971939087, 0.007419938687235117, 0.8047740459442139]","[0.7613885998725891, 1.140232801437378, 0.1276462972164154, 0.0010458618635311723]","[0.5459577441215515, 1.146275281906128, 0.25734657049179077, 0.0005312368739396334]","[0.7224534749984741, 1.3747371435165405, 0.5921486020088196, 6.515179120469838e-05]","[0.5401904582977295, 1.3856834173202515, 0.7279797792434692, 3.837436088360846e-05]","[0.7144390344619751, 1.4093937873840332, 0.6258423328399658, 0.00015507663192693144]","[0.5486212968826294, 1.430384635925293, 0.7604368925094604, 5.5620599596295506e-05]","[0.7026830911636353, 1.47682785987854, 0.3288574516773224, 0.00039174253470264375]","[0.5261982679367065, 1.4731504917144775, 0.4132465720176697, 0.00020078805391676724]"
