"[0.3891073763370514, 0.37188372015953064, -0.4748328924179077, 0.9998667240142822]","[0.404941201210022, 0.3460201621055603, -0.44954168796539307, 0.999728262424469]","[0.41596928238868713, 0.345997154712677, -0.4492810070514679, 0.9997814297676086]","[0.4257340133190155, 0.3470969796180725, -0.4492233991622925, 0.999692440032959]","[0.37252336740493774, 0.34864985942840576, -0.4506159722805023, 0.9997996687889099]","[0.35942864418029785, 0.35079842805862427, -0.45064684748649597, 0.9998244643211365]","[0.34920835494995117, 0.35350465774536133, -0.4510146379470825, 0.9997932314872742]","[0.4461238980293274, 0.36502495408058167, -0.24409613013267517, 0.9997765421867371]","[0.33473947644233704, 0.3713683784008026, -0.24457654356956482, 0.9999333620071411]","[0.41046133637428284, 0.40496566891670227, -0.39170941710472107, 0.9998857975006104]","[0.3689979612827301, 0.40632641315460205, -0.3927060067653656, 0.9999676942825317]","[0.5247606635093689, 0.511311411857605, -0.10686910897493362, 0.9998574256896973]","[0.25364950299263, 0.5115140676498413, -0.1349869817495346, 0.9999381303787231]","[0.5953516960144043, 0.7000978589057922, -0.31719744205474854, 0.9964414238929749]","[0.16077710688114166, 0.7245025038719177, -0.3247751295566559, 0.9896877408027649]","[0.4657678008079529, 0.5057058930397034, -0.6068982481956482, 0.9979650974273682]","[0.34244871139526367, 0.7539122104644775, -0.6150959730148315, 0.8929517865180969]","[0.43504664301872253, 0.46333661675453186, -0.6778921484947205, 0.9850093126296997]","[0.39720863103866577, 0.764517068862915, -0.6723209023475647, 0.6698505282402039]","[0.4385152757167816, 0.4455363154411316, -0.6141815781593323, 0.9809457063674927]","[0.4042164981365204, 0.7389562129974365, -0.6441448926925659, 0.6408539414405823]","[0.442510187625885, 0.45810428261756897, -0.586375892162323, 0.9809633493423462]","[0.39030662178993225, 0.7322149276733398, -0.6050890684127808, 0.6676338315010071]","[0.4957326352596283, 0.8219914436340332, 0.008909926749765873, 0.9317000508308411]","[0.30761948227882385, 0.8350377678871155, -0.006683508399873972, 0.9368581175804138]","[0.5378233194351196, 1.0638571977615356, 0.13956589996814728, 0.007956513203680515]","[0.33387482166290283, 1.0877139568328857, 0.1440824270248413, 0.004965811036527157]","[0.5262564420700073, 1.2944059371948242, 0.4843544661998749, 0.00035162491258233786]","[0.33841052651405334, 1.322042465209961, 0.4326843023300171, 0.0004004835500381887]","[0.5255682468414307, 1.329378604888916, 0.5080949068069458, 0.0014816659968346357]","[0.33436495065689087, 1.3646554946899414, 0.4530755281448364, 0.0007223790744319558]","[0.5089609622955322, 1.3938350677490234, 0.24790191650390625, 0.0009457001578994095]","[0.3659493327140808, 1.4047561883926392, 0.15671232342720032, 0.0010809374507516623]"
"[0.3900205194950104, 0.3717806041240692, -0.49644336104393005, 0.9998597502708435]","[0.4052753746509552, 0.34594714641571045, -0.4707370698451996, 0.9997173547744751]","[0.4159749448299408, 0.34598660469055176, -0.4704448878765106, 0.9997732639312744]","[0.42576658725738525, 0.3470976948738098, -0.47029995918273926, 0.9996812343597412]","[0.37329304218292236, 0.3476373553276062, -0.4697360694408417, 0.9997876286506653]","[0.3601242005825043, 0.34897488355636597, -0.4697355031967163, 0.9998135566711426]","[0.34994056820869446, 0.35061806440353394, -0.4701273441314697, 0.999779224395752]","[0.44577857851982117, 0.3647591471672058, -0.2628800570964813, 0.9997625946998596]","[0.33483901619911194, 0.368586927652359, -0.2551930844783783, 0.9999263286590576]","[0.4116254150867462, 0.4036087393760681, -0.4132872223854065, 0.9998784065246582]","[0.36914822459220886, 0.40408432483673096, -0.4117356538772583, 0.9999648928642273]","[0.524813711643219, 0.5069596767425537, -0.13151420652866364, 0.9998519420623779]","[0.2532496154308319, 0.5110614895820618, -0.13808713853359222, 0.9999355673789978]","[0.5950426459312439, 0.6986435055732727, -0.3481588363647461, 0.9963090419769287]","[0.16074858605861664, 0.7242274880409241, -0.33458924293518066, 0.9890796542167664]","[0.46640869975090027, 0.498184472322464, -0.6339063048362732, 0.9980145692825317]","[0.33718472719192505, 0.7538594007492065, -0.6419489979743958, 0.8908386826515198]","[0.43916597962379456, 0.45108067989349365, -0.7019131779670715, 0.9854799509048462]","[0.3904210925102234, 0.7643904089927673, -0.6982472538948059, 0.668647050857544]","[0.44238004088401794, 0.43094393610954285, -0.6409424543380737, 0.9815258979797363]","[0.3998151421546936, 0.7393138408660889, -0.6706174612045288, 0.6399742960929871]","[0.4446679651737213, 0.45045629143714905, -0.6145111322402954, 0.981479287147522]","[0.38406050205230713, 0.7322642207145691, -0.6331118941307068, 0.6666460037231445]","[0.49572962522506714, 0.8232390284538269, 0.007491578347980976, 0.9315811395645142]","[0.304990291595459, 0.8350220322608948, -0.005297775845974684, 0.936649739742279]","[0.5222177505493164, 1.0812959671020508, 0.15999074280261993, 0.00806066207587719]","[0.31830722093582153, 1.0962690114974976, 0.15084299445152283, 0.0048982445150613785]","[0.5090949535369873, 1.3173978328704834, 0.5365670323371887, 0.0003929004305973649]","[0.3202265799045563, 1.3359380960464478, 0.4570048153400421, 0.00040549805271439254]","[0.5096079707145691, 1.3520821332931519, 0.5629505515098572, 0.0015936269192025065]","[0.315817266702652, 1.376921534538269, 0.4785473644733429, 0.0007549033034592867]","[0.4874468147754669, 1.416204571723938, 0.2852732241153717, 0.0010239849798381329]","[0.3481067717075348, 1.4224023818969727, 0.16361276805400848, 0.0011178016429767013]"
"[0.39265817403793335, 0.3717743754386902, -0.4970298409461975, 0.9998592734336853]","[0.4060037434101105, 0.3457881510257721, -0.47113245725631714, 0.9997196197509766]","[0.4162217080593109, 0.34593665599823, -0.47082075476646423, 0.9997751712799072]","[0.4260210692882538, 0.34708893299102783, -0.4706619083881378, 0.9996846914291382]","[0.3749969005584717, 0.3467743694782257, -0.47155267000198364, 0.9997863173484802]","[0.3614913523197174, 0.34780630469322205, -0.47152724862098694, 0.9998119473457336]","[0.35100430250167847, 0.3490712344646454, -0.4718928337097168, 0.9997764825820923]","[0.44547173380851746, 0.36461809277534485, -0.2627944350242615, 0.9997616410255432]","[0.3348563611507416, 0.36782851815223694, -0.2616090476512909, 0.9999242424964905]","[0.41336050629615784, 0.40309998393058777, -0.41384315490722656, 0.9998778104782104]","[0.3703613877296448, 0.4031853973865509, -0.41416317224502563, 0.9999640583992004]","[0.5233282446861267, 0.5030437707901001, -0.12989668548107147, 0.999855637550354]","[0.25248056650161743, 0.5106871724128723, -0.13920442759990692, 0.9999357461929321]","[0.5948003530502319, 0.694884717464447, -0.33514121174812317, 0.9962285757064819]","[0.16069450974464417, 0.7238800525665283, -0.3285605311393738, 0.988755464553833]","[0.4743202328681946, 0.49489226937294006, -0.5947163105010986, 0.9980594515800476]","[0.3349430561065674, 0.7538302540779114, -0.6216323375701904, 0.8876350522041321]","[0.45248252153396606, 0.4467911720275879, -0.6572124361991882, 0.9858888983726501]","[0.3874940574169159, 0.7643993496894836, -0.6713977456092834, 0.6652008295059204]","[0.4545285105705261, 0.42717087268829346, -0.5989880561828613, 0.9820132255554199]","[0.39817503094673157, 0.7399539947509766, -0.6474624872207642, 0.636724054813385]","[0.4541952908039093, 0.4476489722728729, -0.5762523412704468, 0.9819296002388]","[0.3820049464702606, 0.7323557138442993, -0.6139371991157532, 0.6638413071632385]","[0.49492067098617554, 0.8234038949012756, 0.005240378435701132, 0.9295463562011719]","[0.302251398563385, 0.8350214958190918, -0.0030196888837963343, 0.9344049096107483]","[0.5085905194282532, 1.0893185138702393, 0.1577008068561554, 0.007824469357728958]","[0.310718834400177, 1.09915030002594, 0.1511247307062149, 0.004700781777501106]","[0.49792519211769104, 1.3270992040634155, 0.5258454084396362, 0.0004078831698279828]","[0.31177347898483276, 1.340673565864563, 0.4556170701980591, 0.0003943413612432778]","[0.49930405616760254, 1.3611810207366943, 0.5513170957565308, 0.001596873509697616]","[0.3068479895591736, 1.3807893991470337, 0.47700491547584534, 0.0007596274954266846]","[0.4758283197879791, 1.4250842332839966, 0.27826982736587524, 0.0010437325108796358]","[0.3398516774177551, 1.4280143976211548, 0.16137495636940002, 0.0011066999286413193]"
"[0.3974260687828064, 0.3720654249191284, -0.49619731307029724, 0.9998611211776733]","[0.40862223505973816, 0.34610745310783386, -0.47061577439308167, 0.9997262954711914]","[0.41844847798347473, 0.34657418727874756, -0.470242977142334, 0.999780535697937]","[0.42738428711891174, 0.34788191318511963, -0.4700346291065216, 0.9996932744979858]","[0.37876075506210327, 0.34664157032966614, -0.4701119065284729, 0.9997891187667847]","[0.36549893021583557, 0.3474283814430237, -0.47013142704963684, 0.9998133778572083]","[0.3536854088306427, 0.3484998643398285, -0.47051143646240234, 0.9997773766517639]","[0.4454783499240875, 0.3647061884403229, -0.2559909224510193, 0.9997662305831909]","[0.33516043424606323, 0.3674580454826355, -0.2601747214794159, 0.9999234676361084]","[0.4157717525959015, 0.40310394763946533, -0.4124239981174469, 0.999878466129303]","[0.37313351035118103, 0.403021901845932, -0.4127102792263031, 0.9999637007713318]","[0.5228630900382996, 0.502212643623352, -0.12966367602348328, 0.9998617768287659]","[0.25191399455070496, 0.5102369785308838, -0.1364562213420868, 0.9999357461929321]","[0.5945236086845398, 0.6886695623397827, -0.33339038491249084, 0.9961836338043213]","[0.1604902446269989, 0.7234063744544983, -0.32855069637298584, 0.9881763458251953]","[0.48092496395111084, 0.4887560307979584, -0.5949309468269348, 0.9981003403663635]","[0.33334723114967346, 0.7537992000579834, -0.6231105923652649, 0.8812344670295715]","[0.4611772298812866, 0.4377535581588745, -0.6583143472671509, 0.9862738251686096]","[0.3860345780849457, 0.76441490650177, -0.6718716621398926, 0.6571418046951294]","[0.4611721336841583, 0.42005935311317444, -0.5991448760032654, 0.9824942946434021]","[0.3970729112625122, 0.7404345870018005, -0.647567868232727, 0.6287620067596436]","[0.45996496081352234, 0.44087058305740356, -0.5762454271316528, 0.9823176860809326]","[0.3807466924190521, 0.7323739528656006, -0.614845335483551, 0.656024158000946]","[0.49353620409965515, 0.823833703994751, 0.003256444353610277, 0.9261826276779175]","[0.3013482987880707, 0.8352245688438416, -0.0009899078868329525, 0.9310200214385986]","[0.5078878402709961, 1.0911815166473389, 0.1423778086900711, 0.00762791745364666]","[0.30993369221687317, 1.1013338565826416, 0.15090803802013397, 0.004503362812101841]","[0.4955214560031891, 1.329219937324524, 0.4988555610179901, 0.0004273122758604586]","[0.3105612099170685, 1.3434594869613647, 0.45543593168258667, 0.00038830938865430653]","[0.49614590406417847, 1.362501859664917, 0.5220032930374146, 0.0016087146941572428]","[0.3056504428386688, 1.3834432363510132, 0.47611910104751587, 0.0007706039468757808]","[0.47435683012008667, 1.4277775287628174, 0.23706673085689545, 0.001079821027815342]","[0.33693185448646545, 1.430087685585022, 0.1507817953824997, 0.0011005197884514928]"
"[0.4005586802959442, 0.3722552955150604, -0.4997047185897827, 0.9998604655265808]","[0.41097697615623474, 0.3463103175163269, -0.47177577018737793, 0.9997291564941406]","[0.4205150008201599, 0.3469112813472748, -0.47141239047050476, 0.9997831583023071]","[0.42875775694847107, 0.34824246168136597, -0.4712418019771576, 0.9996978044509888]","[0.38167470693588257, 0.34651777148246765, -0.474987655878067, 0.999788761138916]","[0.368636816740036, 0.34708258509635925, -0.47494614124298096, 0.9998120069503784]","[0.3557872772216797, 0.34804168343544006, -0.47529035806655884, 0.9997742176055908]","[0.44567540287971497, 0.3647056221961975, -0.25515857338905334, 0.9997673034667969]","[0.3354516923427582, 0.36705100536346436, -0.2663949131965637, 0.999921441078186]","[0.41744059324264526, 0.40312403440475464, -0.4128718674182892, 0.9998764395713806]","[0.37495824694633484, 0.40294551849365234, -0.4172137677669525, 0.9999626278877258]","[0.5224835276603699, 0.5020109415054321, -0.12761220335960388, 0.9998654723167419]","[0.2513461709022522, 0.5100650787353516, -0.14116552472114563, 0.9999342560768127]","[0.593613862991333, 0.6842847466468811, -0.3396358788013458, 0.996046781539917]","[0.16026441752910614, 0.7229537963867188, -0.3451654016971588, 0.987349271774292]","[0.48591843247413635, 0.4821750521659851, -0.6331197023391724, 0.9981271028518677]","[0.331748902797699, 0.7537674307823181, -0.6465962529182434, 0.8744301199913025]","[0.46825847029685974, 0.42824405431747437, -0.7015519142150879, 0.9865801334381104]","[0.3847220838069916, 0.7644209265708923, -0.6975817680358887, 0.6488183736801147]","[0.46788060665130615, 0.4131583869457245, -0.6427378058433533, 0.9828770756721497]","[0.39593949913978577, 0.7407832145690918, -0.6714106202125549, 0.6205062866210938]","[0.4662145674228668, 0.4336412847042084, -0.6159557104110718, 0.982610285282135]","[0.3796466886997223, 0.7323976159095764, -0.6378089785575867, 0.6474701762199402]","[0.4925879240036011, 0.8238986134529114, 0.003021460259333253, 0.9235932230949402]","[0.3005519211292267, 0.8353102207183838, -0.0007499543717131019, 0.9282714128494263]","[0.5098612308502197, 1.0899313688278198, 0.14259196817874908, 0.007443688344210386]","[0.3099881112575531, 1.1022287607192993, 0.1554020643234253, 0.004305594135075808]","[0.49573034048080444, 1.3282674551010132, 0.5013599991798401, 0.0004456342721823603]","[0.3110092580318451, 1.3456045389175415, 0.46459582448005676, 0.0003827598411589861]","[0.4954286217689514, 1.3614330291748047, 0.5248724222183228, 0.001641324139200151]","[0.306234747171402, 1.386102318763733, 0.48567959666252136, 0.0007778580766171217]","[0.47568759322166443, 1.4276018142700195, 0.23943166434764862, 0.0011182591551914811]","[0.33644652366638184, 1.4317424297332764, 0.15647020936012268, 0.0010986172128468752]"
"[0.4033917784690857, 0.37232065200805664, -0.49673086404800415, 0.9998525381088257]","[0.4125402867794037, 0.3463233411312103, -0.46505114436149597, 0.9997204542160034]","[0.42161595821380615, 0.34691354632377625, -0.4646807909011841, 0.9997768402099609]","[0.4293927252292633, 0.3482194244861603, -0.46452057361602783, 0.9996917843818665]","[0.3843931257724762, 0.3464604318141937, -0.4713752567768097, 0.9997776746749878]","[0.3717351257801056, 0.3469242751598358, -0.47127771377563477, 0.999800443649292]","[0.35794126987457275, 0.3479000926017761, -0.4716167151927948, 0.9997590184211731]","[0.4456077218055725, 0.36430826783180237, -0.2408197671175003, 0.9997581839561462]","[0.33576712012290955, 0.3670181632041931, -0.2641160786151886, 0.9999134540557861]","[0.41921430826187134, 0.40310466289520264, -0.4077953100204468, 0.9998658299446106]","[0.3782084882259369, 0.402923047542572, -0.415925532579422, 0.9999580383300781]","[0.5222699642181396, 0.5016420483589172, -0.122514508664608, 0.9998646974563599]","[0.25056490302085876, 0.5102890133857727, -0.1404782086610794, 0.9999281167984009]","[0.5923348665237427, 0.6793774366378784, -0.34573811292648315, 0.995864748954773]","[0.16013622283935547, 0.7228280305862427, -0.3515157401561737, 0.986268162727356]","[0.4888119101524353, 0.47633978724479675, -0.6464694142341614, 0.998123824596405]","[0.3311156928539276, 0.7536348700523376, -0.659027099609375, 0.8659604787826538]","[0.4729521870613098, 0.4207799732685089, -0.7142935395240784, 0.9867107272148132]","[0.3842781186103821, 0.7644346952438354, -0.7106979489326477, 0.6393738389015198]","[0.4718257784843445, 0.40823832154273987, -0.6532508134841919, 0.9830365777015686]","[0.3955445885658264, 0.7410984039306641, -0.6821104884147644, 0.6111577153205872]","[0.4700799584388733, 0.4293176531791687, -0.6285298466682434, 0.9826919436454773]","[0.37928682565689087, 0.732399046421051, -0.6496160626411438, 0.6381558775901794]","[0.49238523840904236, 0.8238977789878845, 0.0022266600281000137, 0.921000063419342]","[0.3005131781101227, 0.8354828953742981, 8.241416071541607e-05, 0.9253273606300354]","[0.5105637311935425, 1.091249942779541, 0.14137211441993713, 0.0073209721595048904]","[0.31035253405570984, 1.1037447452545166, 0.16268818080425262, 0.004165314603596926]","[0.4959661662578583, 1.3300772905349731, 0.5000693798065186, 0.0004601672990247607]","[0.3111889660358429, 1.347730278968811, 0.47176581621170044, 0.0003797230892814696]","[0.49552983045578003, 1.3630011081695557, 0.5233365297317505, 0.0016482028877362609]","[0.3061484396457672, 1.388028860092163, 0.4929828941822052, 0.0007874793955124915]","[0.4762994945049286, 1.4291881322860718, 0.23687626421451569, 0.0011461961548775434]","[0.33709263801574707, 1.4342288970947266, 0.1657911241054535, 0.0010899272747337818]"
"[0.40545839071273804, 0.3723635673522949, -0.49582332372665405, 0.9998490214347839]","[0.41431859135627747, 0.34656915068626404, -0.4634990096092224, 0.9997177124023438]","[0.42299556732177734, 0.34717708826065063, -0.46312299370765686, 0.9997750520706177]","[0.43031856417655945, 0.3484002947807312, -0.46297377347946167, 0.9996906518936157]","[0.3870842158794403, 0.3464164733886719, -0.4707167148590088, 0.9997733235359192]","[0.3746907114982605, 0.3466894328594208, -0.47064703702926636, 0.9997953772544861]","[0.3603328466415405, 0.3475022315979004, -0.4709930419921875, 0.9997515082359314]","[0.44561082124710083, 0.3642822206020355, -0.23392708599567413, 0.9997541904449463]","[0.3363608121871948, 0.3668316900730133, -0.2637547552585602, 0.9999091625213623]","[0.4204849600791931, 0.40310773253440857, -0.40602976083755493, 0.9998592734336853]","[0.3805413544178009, 0.4028884470462799, -0.414649099111557, 0.999955415725708]","[0.5210490822792053, 0.5012997388839722, -0.11736637353897095, 0.9998658299446106]","[0.2495231181383133, 0.51046222448349, -0.14041286706924438, 0.9999247193336487]","[0.5917761325836182, 0.6746309995651245, -0.34837329387664795, 0.9957691431045532]","[0.16007176041603088, 0.7225951552391052, -0.3576943278312683, 0.9854300618171692]","[0.49098408222198486, 0.4702957570552826, -0.6592790484428406, 0.9981281757354736]","[0.330888569355011, 0.753606379032135, -0.6715400218963623, 0.8594635725021362]","[0.475524365901947, 0.4150830805301666, -0.7299323081970215, 0.9868956208229065]","[0.38429713249206543, 0.764474093914032, -0.725183367729187, 0.6333591341972351]","[0.4739592671394348, 0.40400266647338867, -0.6692479252815247, 0.9832723140716553]","[0.3955036401748657, 0.7417410612106323, -0.6965249180793762, 0.6053380370140076]","[0.4724230170249939, 0.42456886172294617, -0.641767144203186, 0.9828147888183594]","[0.3792860209941864, 0.7325202822685242, -0.6620531678199768, 0.6314228177070618]","[0.4921090006828308, 0.8237972259521484, 0.0014800338540226221, 0.9188553690910339]","[0.3004598915576935, 0.8354921340942383, 0.0008509952458553016, 0.9233378171920776]","[0.5114691257476807, 1.090267300605774, 0.13698381185531616, 0.0073084281757473946]","[0.31046366691589355, 1.1039652824401855, 0.1665416806936264, 0.004042887594550848]","[0.49449020624160767, 1.3290095329284668, 0.492545485496521, 0.000493104278575629]","[0.31026846170425415, 1.3488620519638062, 0.4773080050945282, 0.0003870032087434083]","[0.49315211176872253, 1.3616726398468018, 0.5156334638595581, 0.0017289434326812625]","[0.3050730228424072, 1.3892208337783813, 0.49844369292259216, 0.0008222479373216629]","[0.47530272603034973, 1.4286696910858154, 0.23055721819400787, 0.0012133532436564565]","[0.3349524736404419, 1.4354619979858398, 0.17267075181007385, 0.0011043123668059707]"
"[0.4068048596382141, 0.3727288246154785, -0.49464842677116394, 0.9998422861099243]","[0.41559773683547974, 0.34713318943977356, -0.4632105231285095, 0.9997097849845886]","[0.42398545145988464, 0.3476351201534271, -0.4628429114818573, 0.9997701048851013]","[0.4309958517551422, 0.34864377975463867, -0.46269404888153076, 0.99968421459198]","[0.38843226432800293, 0.34668099880218506, -0.4696965217590332, 0.9997644424438477]","[0.37593597173690796, 0.34688588976860046, -0.46963053941726685, 0.9997873306274414]","[0.3612835705280304, 0.3477732539176941, -0.4699772596359253, 0.999739408493042]","[0.4456391930580139, 0.36423346400260925, -0.23206652700901031, 0.9997480511665344]","[0.33684462308883667, 0.3669767379760742, -0.2626812160015106, 0.9999040961265564]","[0.4219549298286438, 0.4033241868019104, -0.4057101309299469, 0.9998501539230347]","[0.38232672214508057, 0.40302950143814087, -0.4133518636226654, 0.9999520182609558]","[0.5200955271720886, 0.5000308156013489, -0.11366011202335358, 0.9998670220375061]","[0.24886055290699005, 0.5106286406517029, -0.1414657086133957, 0.9999217391014099]","[0.5913151502609253, 0.6682044267654419, -0.3547489047050476, 0.9956490993499756]","[0.16001977026462555, 0.7225172519683838, -0.37266039848327637, 0.9846373200416565]","[0.4923776090145111, 0.46501874923706055, -0.6762770414352417, 0.9981188178062439]","[0.33076581358909607, 0.7535378932952881, -0.692623496055603, 0.8553837537765503]","[0.4765750467777252, 0.4099157452583313, -0.749253511428833, 0.9869987368583679]","[0.38413649797439575, 0.7644794583320618, -0.7484239935874939, 0.6310430765151978]","[0.4746847152709961, 0.3999349772930145, -0.6894292235374451, 0.9834155440330505]","[0.39527246356010437, 0.7418827414512634, -0.7196817398071289, 0.6032649874687195]","[0.47342929244041443, 0.4201909601688385, -0.6595159769058228, 0.9828466773033142]","[0.3790624141693115, 0.7325206398963928, -0.6832262277603149, 0.6278157830238342]","[0.49205029010772705, 0.82354336977005, 0.001467725494876504, 0.9165497422218323]","[0.3004927635192871, 0.8354291319847107, 0.0008655882556922734, 0.9214004278182983]","[0.5122438073158264, 1.0893595218658447, 0.13737033307552338, 0.007282134145498276]","[0.3105582296848297, 1.103676676750183, 0.1651402711868286, 0.003923966083675623]","[0.4947318434715271, 1.3277583122253418, 0.49326708912849426, 0.0005286642117425799]","[0.3106728196144104, 1.3491549491882324, 0.47378090023994446, 0.0003963492636103183]","[0.4931090474128723, 1.3604053258895874, 0.5165258646011353, 0.001846663886681199]","[0.3056817650794983, 1.38960599899292, 0.4954414665699005, 0.0008550244383513927]","[0.475864976644516, 1.427598237991333, 0.23105953633785248, 0.0012961967149749398]","[0.33495014905929565, 1.4355889558792114, 0.1677643060684204, 0.0011254248674958944]"
"[0.40911123156547546, 0.3731929361820221, -0.4757290780544281, 0.9998246431350708]","[0.4179718494415283, 0.34782880544662476, -0.44263771176338196, 0.9996843934059143]","[0.4257950782775879, 0.34820693731307983, -0.44229650497436523, 0.9997515678405762]","[0.4323468506336212, 0.3489575982093811, -0.44220542907714844, 0.9996618628501892]","[0.3911338150501251, 0.34729474782943726, -0.45116475224494934, 0.9997398257255554]","[0.37820932269096375, 0.34740304946899414, -0.45105981826782227, 0.9997655749320984]","[0.3634180426597595, 0.3483532667160034, -0.4514321982860565, 0.9997115731239319]","[0.44577544927597046, 0.3642088770866394, -0.21242773532867432, 0.9997255206108093]","[0.3376182019710541, 0.3672086000442505, -0.2477611005306244, 0.9998922944068909]","[0.42455655336380005, 0.4036763310432434, -0.3855876624584198, 0.9998291730880737]","[0.3856547474861145, 0.4033660590648651, -0.39615967869758606, 0.9999439120292664]","[0.5192687511444092, 0.4991888999938965, -0.09843225032091141, 0.9998656511306763]","[0.24871826171875, 0.510858416557312, -0.13616134226322174, 0.9999157786369324]","[0.5910815000534058, 0.659493088722229, -0.3523334264755249, 0.9955581426620483]","[0.1599798947572708, 0.7224737405776978, -0.368181049823761, 0.9839324355125427]","[0.4928859770298004, 0.4610573947429657, -0.6712523698806763, 0.998119592666626]","[0.3307543992996216, 0.7534527778625488, -0.683501124382019, 0.8525282144546509]","[0.47660160064697266, 0.4057040810585022, -0.7435238361358643, 0.9871149659156799]","[0.38389769196510315, 0.7644774913787842, -0.7385909557342529, 0.6299421787261963]","[0.47438687086105347, 0.3961436450481415, -0.6811878681182861, 0.9835681915283203]","[0.3950589597225189, 0.7419742941856384, -0.7091419100761414, 0.602563202381134]","[0.4732280373573303, 0.4157314896583557, -0.6533751487731934, 0.98291015625]","[0.3788532018661499, 0.7325226664543152, -0.6737017035484314, 0.6259393692016602]","[0.4920507073402405, 0.8228411078453064, 0.0007283705635927618, 0.912385106086731]","[0.3005363643169403, 0.8352228999137878, 0.0015980671159923077, 0.9179523587226868]","[0.5117357969284058, 1.0899533033370972, 0.1378946304321289, 0.007135120220482349]","[0.3110351264476776, 1.1035808324813843, 0.15374691784381866, 0.003772735595703125]","[0.4954609274864197, 1.328961730003357, 0.4959612190723419, 0.0005475725047290325]","[0.31136563420295715, 1.3498936891555786, 0.4402390718460083, 0.0003961548500228673]","[0.49413448572158813, 1.3610258102416992, 0.5198053121566772, 0.0018709670985117555]","[0.30640313029289246, 1.3901454210281372, 0.45942553877830505, 0.000861239735968411]","[0.4766564965248108, 1.4284515380859375, 0.23790867626667023, 0.001335217384621501]","[0.3359105885028839, 1.4359853267669678, 0.13250745832920074, 0.0011246297508478165]"
"[0.410626083612442, 0.3734530806541443, -0.45710915327072144, 0.9998087286949158]","[0.4195763170719147, 0.3481854498386383, -0.4235406517982483, 0.999661922454834]","[0.4270328879356384, 0.3484061360359192, -0.42322322726249695, 0.9997349977493286]","[0.43329912424087524, 0.34898021817207336, -0.4231526255607605, 0.9996433854103088]","[0.3928569555282593, 0.34769198298454285, -0.43230825662612915, 0.9997174143791199]","[0.37956053018569946, 0.3477468490600586, -0.4322057366371155, 0.999745786190033]","[0.3646978437900543, 0.3487671911716461, -0.4326012134552002, 0.9996878504753113]","[0.44580692052841187, 0.36369967460632324, -0.19509689509868622, 0.9997051954269409]","[0.33815935254096985, 0.36738744378089905, -0.2305888682603836, 0.9998811483383179]","[0.42587947845458984, 0.4037650525569916, -0.36735308170318604, 0.9998079538345337]","[0.38736534118652344, 0.40364283323287964, -0.3784092664718628, 0.9999357461929321]","[0.518627941608429, 0.4976295530796051, -0.08475112915039062, 0.9998639225959778]","[0.24857889115810394, 0.5109816789627075, -0.12521837651729584, 0.9999088644981384]","[0.5906083583831787, 0.6521979570388794, -0.3511909246444702, 0.9954801201820374]","[0.15997198224067688, 0.7224480509757996, -0.36592480540275574, 0.9832589626312256]","[0.4937288761138916, 0.45609959959983826, -0.6653757691383362, 0.9981223344802856]","[0.33074700832366943, 0.7532162666320801, -0.6764776706695557, 0.8511884212493896]","[0.47718697786331177, 0.40035995841026306, -0.73708575963974, 0.9872117042541504]","[0.3835444450378418, 0.7644512057304382, -0.7315011024475098, 0.631222128868103]","[0.4745889902114868, 0.3917073607444763, -0.674342155456543, 0.9836878180503845]","[0.3946603536605835, 0.7419721484184265, -0.7023826837539673, 0.604368269443512]","[0.4735341966152191, 0.41068264842033386, -0.6471944451332092, 0.9829838871955872]","[0.37853455543518066, 0.7323731780052185, -0.666754424571991, 0.626785933971405]","[0.49194222688674927, 0.8226301074028015, 7.238363468786702e-05, 0.9093016386032104]","[0.30064818263053894, 0.8351995348930359, 0.002246302552521229, 0.9153274893760681]","[0.5116086006164551, 1.0902438163757324, 0.13866955041885376, 0.0070128850638866425]","[0.31138288974761963, 1.1034737825393677, 0.14585140347480774, 0.003653709776699543]","[0.4960828423500061, 1.3296728134155273, 0.49630007147789, 0.0005600869189947844]","[0.31184259057044983, 1.3502483367919922, 0.4189331829547882, 0.0003974000283051282]","[0.49486663937568665, 1.3615844249725342, 0.5202563405036926, 0.0018834202783182263]","[0.30686336755752563, 1.3904311656951904, 0.4371196925640106, 0.0008660004241392016]","[0.4772767722606659, 1.4288688898086548, 0.2409578263759613, 0.0013701439602300525]","[0.33643752336502075, 1.4360535144805908, 0.11427856981754303, 0.001124679110944271]"
