"[0.6984118819236755, 0.4207437038421631, -0.30452877283096313, 0.9999377727508545]","[0.7127185463905334, 0.3918529748916626, -0.24287153780460358, 0.9999213218688965]","[0.7236970663070679, 0.3915640115737915, -0.24268066883087158, 0.9999241828918457]","[0.7315282225608826, 0.3917786478996277, -0.24331243336200714, 0.9999301433563232]","[0.6776137351989746, 0.3962223529815674, -0.24780042469501495, 0.9999456405639648]","[0.6648083329200745, 0.39886361360549927, -0.24777163565158844, 0.9999518394470215]","[0.652047872543335, 0.4021669626235962, -0.24802452325820923, 0.9999603033065796]","[0.7435563206672668, 0.40879911184310913, 0.05541178956627846, 0.9999440908432007]","[0.6366370320320129, 0.4199092984199524, 0.04465525597333908, 0.9999570846557617]","[0.7210253477096558, 0.45032191276550293, -0.19835609197616577, 0.9999315738677979]","[0.6768525838851929, 0.45516204833984375, -0.20247524976730347, 0.9999182224273682]","[0.8411051034927368, 0.5805447101593018, 0.15538859367370605, 0.9994472861289978]","[0.5564115643501282, 0.5757482051849365, 0.09346957504749298, 0.9997187256813049]","[0.9392800331115723, 0.7385252714157104, 0.13578377664089203, 0.2950294315814972]","[0.503081202507019, 0.7490339279174805, -0.18458682298660278, 0.3562888205051422]","[0.9216155409812927, 0.8645517230033875, -0.0877498909831047, 0.002127222251147032]","[0.5250530242919922, 0.777033805847168, -0.7856508493423462, 0.060433562844991684]","[0.9265141487121582, 0.9171587824821472, -0.12697124481201172, 0.0025323887821286917]","[0.5257933139801025, 0.7955955266952515, -0.9007322192192078, 0.05709884688258171]","[0.8945873379707336, 0.9129653573036194, -0.14947734773159027, 0.004318327642977238]","[0.5510914921760559, 0.7762606143951416, -0.8756323456764221, 0.06785759329795837]","[0.8950151801109314, 0.8897799849510193, -0.10692703723907471, 0.0034456925932317972]","[0.5497003793716431, 0.7665907144546509, -0.7932668328285217, 0.057239606976509094]","[0.7832287549972534, 0.8500273823738098, -0.04083368182182312, 0.024400757625699043]","[0.5946811437606812, 0.9044075012207031, 0.04370420426130295, 0.04224811866879463]","[0.7803010940551758, 1.2193207740783691, -0.0691140741109848, 0.003634615568444133]","[0.586660623550415, 1.2214839458465576, 0.19288450479507446, 0.0010073934681713581]","[0.7746186256408691, 1.508396029472351, 0.3195015788078308, 0.0003782181884162128]","[0.5881413817405701, 1.5181999206542969, 0.597027599811554, 0.00015820146654732525]","[0.7774446606636047, 1.553926944732666, 0.33857133984565735, 0.00023531682381872088]","[0.5883404016494751, 1.5641448497772217, 0.6198093891143799, 0.00011200242443010211]","[0.7536379098892212, 1.596813440322876, -0.07986166328191757, 0.00025826040655374527]","[0.6011635661125183, 1.6128017902374268, 0.16703103482723236, 0.00011345236998749897]"
"[0.6992749571800232, 0.4207657277584076, -0.3068026304244995, 0.9999049305915833]","[0.7128223776817322, 0.3927989900112152, -0.25580132007598877, 0.9998660087585449]","[0.7237786054611206, 0.39275652170181274, -0.255682110786438, 0.9998778700828552]","[0.7315301895141602, 0.3931357264518738, -0.2562110424041748, 0.9998829960823059]","[0.6776052713394165, 0.39678892493247986, -0.25879380106925964, 0.9999056458473206]","[0.6648447513580322, 0.39948731660842896, -0.25881463289260864, 0.9999191164970398]","[0.6520557403564453, 0.40292543172836304, -0.2591892182826996, 0.9999319314956665]","[0.7435343861579895, 0.4092271029949188, -0.023149413987994194, 0.999891459941864]","[0.6368032693862915, 0.4218621551990509, -0.022435596212744713, 0.9999314546585083]","[0.7215414643287659, 0.45169904828071594, -0.21939727663993835, 0.9998685121536255]","[0.6782194375991821, 0.4576054811477661, -0.22064831852912903, 0.9998711943626404]","[0.8385265469551086, 0.5814176797866821, 0.04858774319291115, 0.9992190003395081]","[0.5576836466789246, 0.576906144618988, 0.0138554647564888, 0.9997071623802185]","[0.88482666015625, 0.7672842741012573, 0.04295241832733154, 0.2856908142566681]","[0.508102297782898, 0.7497958540916443, -0.13031375408172607, 0.35190945863723755]","[0.7976901531219482, 0.8645297884941101, -0.05773265287280083, 0.0021377368830144405]","[0.5574563145637512, 0.7814862728118896, -0.4495720863342285, 0.05819779634475708]","[0.7866859436035156, 0.9119861125946045, -0.08498644083738327, 0.002496078610420227]","[0.5609463453292847, 0.8045464754104614, -0.5219992399215698, 0.055197812616825104]","[0.7664114832878113, 0.9036394953727722, -0.0900445356965065, 0.004178423434495926]","[0.5787423253059387, 0.781631588935852, -0.5117892026901245, 0.06524226814508438]","[0.7709275484085083, 0.8845514059066772, -0.0670817643404007, 0.0034307180903851986]","[0.5762885808944702, 0.7719619274139404, -0.45601511001586914, 0.05602206289768219]","[0.7828282117843628, 0.8944558501243591, -0.02295980602502823, 0.032091397792100906]","[0.5877625942230225, 0.8766445517539978, 0.025261029601097107, 0.05623219907283783]","[0.7740054726600647, 1.208115816116333, 0.1296648383140564, 0.0035111212637275457]","[0.5719112753868103, 1.2036375999450684, 0.2420298010110855, 0.0010525109246373177]","[0.7411054968833923, 1.4840127229690552, 0.5835277438163757, 0.0003611780994106084]","[0.5566871762275696, 1.4928245544433594, 0.6438157558441162, 0.00016352754028048366]","[0.7350248694419861, 1.5258253812789917, 0.6150515675544739, 0.00023591234639752656]","[0.5567215085029602, 1.539384126663208, 0.6710158586502075, 0.00011444745177868754]","[0.7240233421325684, 1.5806368589401245, 0.2802537977695465, 0.00026338003226555884]","[0.5632650256156921, 1.590130090713501, 0.27311208844184875, 0.00011854897456942126]"
"[0.6998753547668457, 0.4209110140800476, -0.21168024837970734, 0.9998981356620789]","[0.7129456400871277, 0.3939966559410095, -0.1694343388080597, 0.9998638033866882]","[0.7238678336143494, 0.3941611051559448, -0.1694585531949997, 0.9998749494552612]","[0.7315309643745422, 0.3947135806083679, -0.1697203367948532, 0.9998818039894104]","[0.6777046918869019, 0.3976115584373474, -0.16829605400562286, 0.9999022483825684]","[0.6651085019111633, 0.40028440952301025, -0.16818517446517944, 0.9999132752418518]","[0.6522026658058167, 0.4036973714828491, -0.16845926642417908, 0.9999272227287292]","[0.7435165047645569, 0.40996086597442627, 0.028869355097413063, 0.9998921155929565]","[0.6369432210922241, 0.4231944680213928, 0.057331573218107224, 0.9999287724494934]","[0.7216605544090271, 0.45275747776031494, -0.13612550497055054, 0.9998635649681091]","[0.6790280342102051, 0.45910942554473877, -0.13160966336727142, 0.9998626708984375]","[0.8382917046546936, 0.5812221765518188, 0.0813678428530693, 0.9992496967315674]","[0.5577214360237122, 0.5799828767776489, 0.13416117429733276, 0.9997100234031677]","[0.8966734409332275, 0.7631496787071228, -0.014316328801214695, 0.3331436812877655]","[0.5125637650489807, 0.7532610893249512, 0.07078664749860764, 0.3810493052005768]","[0.7821143269538879, 0.7759706377983093, -0.18101465702056885, 0.012012734077870846]","[0.5730200409889221, 0.7369388341903687, -0.09011069685220718, 0.0940214991569519]","[0.7649292945861816, 0.7721772193908691, -0.21273130178451538, 0.007830909453332424]","[0.5875075459480286, 0.7428972721099854, -0.1194576844573021, 0.08266561478376389]","[0.7469003796577454, 0.7391768097877502, -0.18624866008758545, 0.009917161427438259]","[0.5873261094093323, 0.7112554311752319, -0.08903462439775467, 0.08914903551340103]","[0.7510016560554504, 0.7430830001831055, -0.17649361491203308, 0.010431289672851562]","[0.5838925242424011, 0.7122782468795776, -0.08299896121025085, 0.08365321904420853]","[0.7837480306625366, 0.8979032635688782, -0.024296272546052933, 0.08873316645622253]","[0.5844781398773193, 0.8653157353401184, 0.026763146743178368, 0.11493389308452606]","[0.773672342300415, 1.1980876922607422, 0.09522941708564758, 0.00433414475992322]","[0.5682234764099121, 1.1934736967086792, 0.31240835785865784, 0.0021046840120106936]","[0.7418476343154907, 1.470398187637329, 0.532852053642273, 0.0003781046543736011]","[0.5571812391281128, 1.481533169746399, 0.748731791973114, 0.0002605617046356201]","[0.7343021035194397, 1.5090923309326172, 0.5625821948051453, 0.0002742204815149307]","[0.5592402815818787, 1.525437831878662, 0.7799835801124573, 0.0001641063136048615]","[0.7273546457290649, 1.5692126750946045, 0.22952428460121155, 0.0003380025445949286]","[0.561590850353241, 1.5801968574523926, 0.39436858892440796, 0.00018640900088939816]"
"[0.7001954913139343, 0.4213802218437195, -0.27315229177474976, 0.9999034404754639]","[0.713345468044281, 0.39476415514945984, -0.2484082281589508, 0.9998726844787598]","[0.7240212559700012, 0.3951888680458069, -0.24826809763908386, 0.9998833537101746]","[0.7316011190414429, 0.39579495787620544, -0.24830710887908936, 0.9998900294303894]","[0.6777593493461609, 0.3977963328361511, -0.24538002908229828, 0.9999077916145325]","[0.6651544570922852, 0.4002905786037445, -0.2450602650642395, 0.9999169707298279]","[0.6522282958030701, 0.4036618769168854, -0.2452927827835083, 0.9999290704727173]","[0.7435378432273865, 0.4103405475616455, -0.06141428276896477, 0.9999004602432251]","[0.6369463205337524, 0.4232765734195709, -0.04304192587733269, 0.9999322891235352]","[0.7216627597808838, 0.4545069932937622, -0.21345630288124084, 0.9998734593391418]","[0.6793490648269653, 0.460324764251709, -0.2082032710313797, 0.9998712539672852]","[0.8383039236068726, 0.5812384486198425, 0.0011300088372081518, 0.9993131756782532]","[0.5573022961616516, 0.5813129544258118, 0.0664406567811966, 0.9997240304946899]","[0.8992478251457214, 0.7848303914070129, -0.14597949385643005, 0.394560843706131]","[0.5173250436782837, 0.7581211924552917, -0.03877135366201401, 0.41586577892303467]","[0.789949893951416, 0.7337315082550049, -0.34885862469673157, 0.08601666241884232]","[0.5634106993675232, 0.7020704746246338, -0.3799464702606201, 0.14675047993659973]","[0.7611327767372131, 0.6969462037086487, -0.3840945363044739, 0.06553451716899872]","[0.5764164328575134, 0.7004249691963196, -0.4294525682926178, 0.12797565758228302]","[0.7573329210281372, 0.6653779149055481, -0.34366029500961304, 0.06934580206871033]","[0.5633361339569092, 0.6699985265731812, -0.4027412533760071, 0.13124118745326996]","[0.7565606832504272, 0.6742640137672424, -0.335787296295166, 0.07066206634044647]","[0.5686563849449158, 0.6738532185554504, -0.3796042799949646, 0.13096782565116882]","[0.7832604050636292, 0.9001653790473938, -0.01609956845641136, 0.14421959221363068]","[0.5807784199714661, 0.8626413345336914, 0.018759002909064293, 0.17244870960712433]","[0.7732158899307251, 1.1911289691925049, 0.06998836249113083, 0.0042130351066589355]","[0.5633794069290161, 1.1884803771972656, 0.27605918049812317, 0.002116338349878788]","[0.7414771914482117, 1.466765284538269, 0.4680424630641937, 0.0003502903273329139]","[0.5564141869544983, 1.4753140211105347, 0.746867835521698, 0.00024644186487421393]","[0.7345563769340515, 1.5047602653503418, 0.49325764179229736, 0.00025969240232370794]","[0.5592795014381409, 1.5185587406158447, 0.7613266110420227, 0.00015328312292695045]","[0.730438768863678, 1.5625625848770142, 0.15294769406318665, 0.00033246949897147715]","[0.5609526038169861, 1.569181203842163, 0.30659013986587524, 0.0001781226455932483]"
"[0.7002454996109009, 0.42338210344314575, -0.3610938787460327, 0.9999102354049683]","[0.7134305238723755, 0.3971256613731384, -0.33561351895332336, 0.9998823404312134]","[0.7240442633628845, 0.39781951904296875, -0.3353710472583771, 0.9998927116394043]","[0.7315940260887146, 0.39860913157463074, -0.33535683155059814, 0.9998986721038818]","[0.6777716279029846, 0.3991418480873108, -0.3303178548812866, 0.9999136924743652]","[0.6652025580406189, 0.40108561515808105, -0.330077201128006, 0.9999216794967651]","[0.6523028016090393, 0.40413612127304077, -0.3302538990974426, 0.9999313354492188]","[0.7433087229728699, 0.4135614335536957, -0.1440446674823761, 0.9999089241027832]","[0.6371272206306458, 0.42384132742881775, -0.11559536308050156, 0.9999359250068665]","[0.7213318943977356, 0.4574475586414337, -0.29252365231513977, 0.9998838305473328]","[0.6793233156204224, 0.4619927704334259, -0.28544875979423523, 0.9998807311058044]","[0.8325467705726624, 0.5812354683876038, -0.06271641701459885, 0.9993749856948853]","[0.557299017906189, 0.580923318862915, 0.006163740064948797, 0.9997405409812927]","[0.9019849896430969, 0.7894232869148254, -0.2315758764743805, 0.45005252957344055]","[0.5176602005958557, 0.7583909034729004, -0.10000155866146088, 0.4349460005760193]","[0.7858015298843384, 0.7024248838424683, -0.4710690677165985, 0.1709434539079666]","[0.5376138687133789, 0.7050135731697083, -0.45191091299057007, 0.19957144558429718]","[0.7551652193069458, 0.65473473072052, -0.5144758224487305, 0.1458812654018402]","[0.5464398860931396, 0.6859429478645325, -0.5060181021690369, 0.1758473664522171]","[0.7564926743507385, 0.6298114061355591, -0.47733989357948303, 0.14994706213474274]","[0.5118060111999512, 0.6659035682678223, -0.48681238293647766, 0.1776045560836792]","[0.7560657858848572, 0.6398906707763672, -0.46064797043800354, 0.1512077897787094]","[0.5461571216583252, 0.6640063524246216, -0.4566457271575928, 0.18242569267749786]","[0.7757112383842468, 0.8888171315193176, -0.009403368458151817, 0.1877385675907135]","[0.5788259506225586, 0.8592181205749512, 0.012161017395555973, 0.21642307937145233]","[0.7686126828193665, 1.1753102540969849, 0.1144675612449646, 0.003927903715521097]","[0.554351806640625, 1.174730896949768, 0.24049463868141174, 0.002002150285989046]","[0.7375190258026123, 1.454540491104126, 0.522616446018219, 0.0003206614055670798]","[0.5504695177078247, 1.4653702974319458, 0.6084179878234863, 0.00022575855837203562]","[0.7313799858093262, 1.4906569719314575, 0.5525978803634644, 0.00024337397189810872]","[0.552759051322937, 1.50719153881073, 0.6282678246498108, 0.00014036052743904293]","[0.7279065847396851, 1.5504871606826782, 0.235801562666893, 0.00032280778395943344]","[0.5593008995056152, 1.5575181245803833, 0.24680739641189575, 0.00016744501772336662]"
"[0.7000956535339355, 0.42533037066459656, -0.36860325932502747, 0.9999164938926697]","[0.7133803963661194, 0.3992586135864258, -0.3388849198818207, 0.9998908638954163]","[0.7239932417869568, 0.40018272399902344, -0.33865684270858765, 0.9999010562896729]","[0.7314144372940063, 0.4013841152191162, -0.3386024534702301, 0.9999063611030579]","[0.6777533888816833, 0.4005897343158722, -0.3327822983264923, 0.9999185800552368]","[0.665206253528595, 0.40206441283226013, -0.33260706067085266, 0.9999254941940308]","[0.6523140072822571, 0.40476176142692566, -0.33284610509872437, 0.9999325275421143]","[0.7427282333374023, 0.41682934761047363, -0.1439770758152008, 0.9999163150787354]","[0.6371683478355408, 0.42410072684288025, -0.11175011098384857, 0.999938428401947]","[0.7205696702003479, 0.46035370230674744, -0.2973695397377014, 0.9998924136161804]","[0.6787760257720947, 0.4629248082637787, -0.28965985774993896, 0.9998884201049805]","[0.8238983154296875, 0.5810865759849548, -0.06931601464748383, 0.9994304180145264]","[0.5573142766952515, 0.5791690945625305, -0.003971618600189686, 0.9997513294219971]","[0.8922916650772095, 0.7914787530899048, -0.24724484980106354, 0.5024169683456421]","[0.5182442665100098, 0.7584171295166016, -0.19380608201026917, 0.4449104964733124]","[0.7644637823104858, 0.653685450553894, -0.4656706750392914, 0.25187039375305176]","[0.5312047600746155, 0.7032449245452881, -0.532080888748169, 0.24829265475273132]","[0.7384951114654541, 0.6068777441978455, -0.5087904334068298, 0.22631807625293732]","[0.5460207462310791, 0.6855321526527405, -0.5436726808547974, 0.21963046491146088]","[0.7415080070495605, 0.5872020125389099, -0.46679043769836426, 0.2302134782075882]","[0.5072160959243774, 0.6587234139442444, -0.5310352444648743, 0.22048282623291016]","[0.7424556016921997, 0.6005443334579468, -0.45230400562286377, 0.2310774326324463]","[0.5472803115844727, 0.6654412746429443, -0.5381766557693481, 0.22950907051563263]","[0.7697038054466248, 0.8779614567756653, -0.003628690494224429, 0.22768037021160126]","[0.578650712966919, 0.8572720885276794, 0.0065155029296875, 0.2578734755516052]","[0.7630224823951721, 1.1682558059692383, 0.10957188904285431, 0.0038614142686128616]","[0.5492512583732605, 1.1660771369934082, 0.19698698818683624, 0.0019470214610919356]","[0.7287691235542297, 1.448762059211731, 0.49754074215888977, 0.0002996119437739253]","[0.5432019233703613, 1.4589200019836426, 0.506972074508667, 0.0002091520873364061]","[0.7225867509841919, 1.4846709966659546, 0.5253545045852661, 0.00023857875203248113]","[0.5442531704902649, 1.5013798475265503, 0.524624228477478, 0.0001307786296820268]","[0.7161634564399719, 1.5462455749511719, 0.21580585837364197, 0.0003254164766985923]","[0.5504190921783447, 1.5515153408050537, 0.15413659811019897, 0.00016013579443097115]"
"[0.6999512910842896, 0.4287285804748535, -0.41377219557762146, 0.9999222159385681]","[0.7133002281188965, 0.4027646780014038, -0.3852851092815399, 0.9998982548713684]","[0.7239121198654175, 0.4038517475128174, -0.38504377007484436, 0.9999085068702698]","[0.7311556935310364, 0.4053344130516052, -0.3849622905254364, 0.9999130368232727]","[0.6777598857879639, 0.4034568965435028, -0.3813590109348297, 0.9999224543571472]","[0.6653000712394714, 0.4047194719314575, -0.3811938464641571, 0.9999284148216248]","[0.6523874998092651, 0.40695926547050476, -0.3813938796520233, 0.999932050704956]","[0.7419285774230957, 0.4203522503376007, -0.188973531126976, 0.9999228715896606]","[0.6371811628341675, 0.4249500036239624, -0.16919158399105072, 0.9999400973320007]","[0.7199659943580627, 0.4637516736984253, -0.33994993567466736, 0.9999001622200012]","[0.678168773651123, 0.46455636620521545, -0.3356708288192749, 0.9998958110809326]","[0.8152186274528503, 0.5793961882591248, -0.0985579863190651, 0.9994817972183228]","[0.5573893785476685, 0.5776580572128296, -0.0523725263774395, 0.999761164188385]","[0.8788977265357971, 0.7889994978904724, -0.27876922488212585, 0.5500659346580505]","[0.5202600359916687, 0.7582668662071228, -0.2606862783432007, 0.4479789435863495]","[0.7614911794662476, 0.6211969256401062, -0.5131964087486267, 0.32574862241744995]","[0.5579015016555786, 0.7069117426872253, -0.6105067729949951, 0.28431400656700134]","[0.7426915764808655, 0.5761628150939941, -0.5641327500343323, 0.3011288046836853]","[0.5652633905410767, 0.703312337398529, -0.6574868559837341, 0.2509094774723053]","[0.7438062429428101, 0.557716429233551, -0.5227788090705872, 0.30466780066490173]","[0.5576094388961792, 0.6783043146133423, -0.6404935717582703, 0.2504584491252899]","[0.7431843280792236, 0.5732024908065796, -0.5010990500450134, 0.3052712678909302]","[0.569760799407959, 0.6806229948997498, -0.6164535284042358, 0.2636180520057678]","[0.7685245871543884, 0.8691931962966919, 0.004423549398779869, 0.28362298011779785]","[0.579067587852478, 0.8529648184776306, -0.0017234730767086148, 0.3114519417285919]","[0.7636778950691223, 1.1545236110687256, 0.15348108112812042, 0.003917444031685591]","[0.5504539012908936, 1.1583795547485352, 0.20195665955543518, 0.0019428980303928256]","[0.7283577919006348, 1.4346264600753784, 0.5665475130081177, 0.00029060369706712663]","[0.5427510142326355, 1.450404405593872, 0.5433235764503479, 0.00019908031390514225]","[0.7210736274719238, 1.4693514108657837, 0.5989938378334045, 0.0002602496824692935]","[0.5430966019630432, 1.4931598901748657, 0.564460039138794, 0.00012768505257554352]","[0.7148226499557495, 1.5354986190795898, 0.3087930381298065, 0.00036698681651614606]","[0.5510616302490234, 1.5414834022521973, 0.16029345989227295, 0.0001636300585232675]"
"[0.6997438669204712, 0.4322715103626251, -0.42606160044670105, 0.9999285340309143]","[0.7130675315856934, 0.4048522412776947, -0.39788818359375, 0.9999065399169922]","[0.7237924933433533, 0.40561673045158386, -0.39761826395988464, 0.9999163746833801]","[0.7309219241142273, 0.40679410099983215, -0.3975127041339874, 0.9999202489852905]","[0.6776479482650757, 0.4058862626552582, -0.3937573730945587, 0.9999277591705322]","[0.665289044380188, 0.4073910117149353, -0.3935568928718567, 0.9999329447746277]","[0.6523860692977905, 0.40949469804763794, -0.393713116645813, 0.9999344944953918]","[0.7415748834609985, 0.4207894802093506, -0.19789303839206696, 0.9999297261238098]","[0.6371661424636841, 0.42574119567871094, -0.17621229588985443, 0.9999436736106873]","[0.7197893857955933, 0.46624577045440674, -0.350080668926239, 0.9999087452888489]","[0.6778512597084045, 0.4665212333202362, -0.34530365467071533, 0.999904215335846]","[0.8130544424057007, 0.5751827955245972, -0.10057704895734787, 0.9995309710502625]","[0.5573719143867493, 0.5765441656112671, -0.05814715847373009, 0.9997748136520386]","[0.8773718476295471, 0.7882363796234131, -0.2835005223751068, 0.5930794477462769]","[0.5211288928985596, 0.7646674513816833, -0.2947465479373932, 0.45658189058303833]","[0.7638184428215027, 0.6148176789283752, -0.5192057490348816, 0.3924749791622162]","[0.5760124325752258, 0.6883116960525513, -0.6698881387710571, 0.32912477850914]","[0.743817150592804, 0.5711808204650879, -0.5694141387939453, 0.36909300088882446]","[0.5866952538490295, 0.6825348138809204, -0.7292885184288025, 0.2902350127696991]","[0.7437162399291992, 0.5521058440208435, -0.5260264277458191, 0.37233373522758484]","[0.5861109495162964, 0.6552181243896484, -0.7016676664352417, 0.28819364309310913]","[0.7431473731994629, 0.5667382478713989, -0.5059025287628174, 0.3726746439933777]","[0.5897578597068787, 0.6601606011390686, -0.672213077545166, 0.30386313796043396]","[0.7690902948379517, 0.8657500743865967, 0.0050717866979539394, 0.3242484927177429]","[0.579589307308197, 0.8542220592498779, -0.002222791314125061, 0.34980249404907227]","[0.7645936608314514, 1.154634952545166, 0.12642516195774078, 0.0037890428211539984]","[0.5518852472305298, 1.1590170860290527, 0.18756899237632751, 0.0018563689664006233]","[0.7312989830970764, 1.4336010217666626, 0.5343230366706848, 0.00027411975315771997]","[0.5445128083229065, 1.4493480920791626, 0.515182375907898, 0.000184173826710321]","[0.7251603603363037, 1.4686806201934814, 0.5642121434211731, 0.00025884510250762105]","[0.545557975769043, 1.4922937154769897, 0.5348760485649109, 0.0001193910138681531]","[0.7175536155700684, 1.533400535583496, 0.262094646692276, 0.0003709845768753439]","[0.5528804659843445, 1.5397788286209106, 0.1578882336616516, 0.00015859636187087744]"
"[0.6991715431213379, 0.43630319833755493, -0.44419801235198975, 0.9999348521232605]","[0.712563157081604, 0.40767455101013184, -0.4165927767753601, 0.999914824962616]","[0.7234800457954407, 0.40812867879867554, -0.4163069725036621, 0.9999240040779114]","[0.7304723262786865, 0.4089435935020447, -0.41616156697273254, 0.9999274015426636]","[0.6773806214332581, 0.4086211025714874, -0.41194602847099304, 0.9999335408210754]","[0.66517573595047, 0.41022470593452454, -0.41169852018356323, 0.9999380707740784]","[0.6523213386535645, 0.4120723307132721, -0.41180142760276794, 0.9999381899833679]","[0.7410228252410889, 0.42210790514945984, -0.21650804579257965, 0.9999362826347351]","[0.6371200680732727, 0.4265170991420746, -0.19204281270503998, 0.9999477863311768]","[0.7192252278327942, 0.46961814165115356, -0.3679344952106476, 0.9999170303344727]","[0.6767938733100891, 0.46907246112823486, -0.36245793104171753, 0.999912440776825]","[0.8132143616676331, 0.5720552206039429, -0.11808597296476364, 0.9995760321617126]","[0.5573634505271912, 0.5763749480247498, -0.06487849354743958, 0.9997878074645996]","[0.8791118860244751, 0.7873328924179077, -0.3085061311721802, 0.6318693161010742]","[0.5218055248260498, 0.7665945887565613, -0.290744423866272, 0.4600611627101898]","[0.7684088349342346, 0.6077096462249756, -0.5442337393760681, 0.4527016878128052]","[0.57518070936203, 0.693675696849823, -0.6659974455833435, 0.36022841930389404]","[0.7469289898872375, 0.5629995465278625, -0.5952815413475037, 0.43072378635406494]","[0.5846907496452332, 0.6914443969726562, -0.7258274555206299, 0.31705358624458313]","[0.7458257675170898, 0.5439737439155579, -0.5495439171791077, 0.43368783593177795]","[0.5872306227684021, 0.6650082468986511, -0.6984686851501465, 0.3137742280960083]","[0.7454206347465515, 0.558469295501709, -0.5300138592720032, 0.4338417649269104]","[0.5904619097709656, 0.6679458618164062, -0.6691463589668274, 0.33317044377326965]","[0.7717296481132507, 0.863743245601654, 0.004267709795385599, 0.363484650850296]","[0.5818690061569214, 0.855103611946106, -0.001295870984904468, 0.38652342557907104]","[0.7672575116157532, 1.1544986963272095, 0.1341288983821869, 0.0035729988012462854]","[0.5529274940490723, 1.1593230962753296, 0.19280190765857697, 0.0017396330367773771]","[0.7318047881126404, 1.4311681985855103, 0.5554381608963013, 0.0002540191344451159]","[0.5448307394981384, 1.4472256898880005, 0.5388199687004089, 0.00016894641157705337]","[0.7266659140586853, 1.4658597707748413, 0.5868703126907349, 0.00024816684890538454]","[0.5458106994628906, 1.4903351068496704, 0.5600250959396362, 0.00011051689216401428]","[0.7188632488250732, 1.5313881635665894, 0.28553420305252075, 0.0003632733132690191]","[0.5538387298583984, 1.5368560552597046, 0.16246262192726135, 0.0001520501682534814]"
"[0.6983504891395569, 0.4394833445549011, -0.45891717076301575, 0.9999406337738037]","[0.711980938911438, 0.40988293290138245, -0.43305179476737976, 0.9999223351478577]","[0.7230724096298218, 0.4099084436893463, -0.43276655673980713, 0.9999309182167053]","[0.7300370335578918, 0.41030579805374146, -0.43260371685028076, 0.9999338984489441]","[0.6768335103988647, 0.4112327992916107, -0.4289238154888153, 0.9999389052391052]","[0.6646832227706909, 0.4129369556903839, -0.42868876457214355, 0.9999428391456604]","[0.652056872844696, 0.41460299491882324, -0.4288066625595093, 0.999941885471344]","[0.7407167553901672, 0.42250949144363403, -0.2360275536775589, 0.9999422430992126]","[0.6370990872383118, 0.42698997259140015, -0.21281680464744568, 0.9999518394470215]","[0.7189258933067322, 0.4712121784687042, -0.3827991783618927, 0.9999246597290039]","[0.6758130192756653, 0.47052523493766785, -0.37772902846336365, 0.9999202489852905]","[0.81446772813797, 0.5685988664627075, -0.13081827759742737, 0.9996169209480286]","[0.5573940277099609, 0.5759956240653992, -0.07828964293003082, 0.9998010993003845]","[0.8795417547225952, 0.7862555980682373, -0.31577378511428833, 0.6669933795928955]","[0.5221959948539734, 0.7672115564346313, -0.25469374656677246, 0.46801915764808655]","[0.7693837285041809, 0.6002408862113953, -0.5482984781265259, 0.5069162845611572]","[0.5832986831665039, 0.7082687616348267, -0.5442233085632324, 0.37578845024108887]","[0.7463146448135376, 0.5537404417991638, -0.598598062992096, 0.48612910509109497]","[0.5950190424919128, 0.7191562652587891, -0.5871582627296448, 0.3276228904724121]","[0.7459486722946167, 0.534136950969696, -0.550097644329071, 0.48880743980407715]","[0.6011927127838135, 0.6905677318572998, -0.56199711561203, 0.3232317566871643]","[0.7457238435745239, 0.5490812063217163, -0.5328361392021179, 0.48877277970314026]","[0.6018953919410706, 0.689153254032135, -0.5448615550994873, 0.34664762020111084]","[0.7773425579071045, 0.8623555898666382, 0.0030750040896236897, 0.4022948741912842]","[0.5861276388168335, 0.8555033206939697, -5.330326166586019e-05, 0.4218041002750397]","[0.7758498191833496, 1.1529269218444824, 0.13451743125915527, 0.0033796867355704308]","[0.5583539605140686, 1.1600755453109741, 0.19596423208713531, 0.0016306567704305053]","[0.7412943243980408, 1.4293017387390137, 0.5517330169677734, 0.00023748198873363435]","[0.5503765344619751, 1.4470760822296143, 0.5439820885658264, 0.00015634697047062218]","[0.7364157438278198, 1.4636592864990234, 0.5830486416816711, 0.00024361551913898438]","[0.5507692098617554, 1.4900444746017456, 0.5657278895378113, 0.0001042165094986558]","[0.7230166792869568, 1.5318779945373535, 0.2811267375946045, 0.0003635306202340871]","[0.5624917149543762, 1.5380399227142334, 0.1707555055618286, 0.00015036796685308218]"
