"[0.5144218802452087, 0.37346893548965454, -0.6391308307647705, 0.9997126460075378]","[0.528833270072937, 0.348807156085968, -0.6047662496566772, 0.9993367791175842]","[0.5381578207015991, 0.3489397168159485, -0.6048386693000793, 0.999550998210907]","[0.546466588973999, 0.34927600622177124, -0.6052500009536743, 0.9993799924850464]","[0.49848324060440063, 0.349567174911499, -0.6059703826904297, 0.9992772936820984]","[0.48830723762512207, 0.34998399019241333, -0.6060076951980591, 0.9994706511497498]","[0.4796494245529175, 0.3503681421279907, -0.6062014102935791, 0.999283492565155]","[0.5603501200675964, 0.3619453012943268, -0.37168189883232117, 0.9993101358413696]","[0.46492454409599304, 0.363576203584671, -0.368198961019516, 0.9990555644035339]","[0.5325717329978943, 0.4009186625480652, -0.5508765578269958, 0.9998016953468323]","[0.4950822591781616, 0.39970773458480835, -0.5498156547546387, 0.9997928738594055]","[0.625291109085083, 0.5156885981559753, -0.2538060247898102, 0.9996471405029297]","[0.39199602603912354, 0.5126438140869141, -0.22104176878929138, 0.9997748732566833]","[0.6303222179412842, 0.7033680081367493, -0.17443405091762543, 0.8801166415214539]","[0.3806028366088867, 0.7004531621932983, -0.12985609471797943, 0.8752303123474121]","[0.6142696738243103, 0.8553890585899353, -0.3057277798652649, 0.04534119740128517]","[0.37737637758255005, 0.8448131084442139, -0.30805644392967224, 0.08072654902935028]","[0.6274518370628357, 0.9037205576896667, -0.35702547430992126, 0.022089075297117233]","[0.35119330883026123, 0.8700044751167297, -0.35703805088996887, 0.03875269368290901]","[0.6121355295181274, 0.9066848158836365, -0.3996542692184448, 0.0327192060649395]","[0.37644192576408386, 0.8834895491600037, -0.4237686097621918, 0.05287500098347664]","[0.6018809676170349, 0.8846878409385681, -0.3276638984680176, 0.03341615945100784]","[0.38213932514190674, 0.8644641637802124, -0.3388039469718933, 0.05925450474023819]","[0.5817413330078125, 0.8124700784683228, -0.042405303567647934, 0.423470139503479]","[0.43060553073883057, 0.8161177039146423, 0.04390966519713402, 0.43902069330215454]","[0.5825732946395874, 1.0510176420211792, 0.06366601586341858, 0.04387761279940605]","[0.4382769763469696, 1.0561236143112183, 0.20290885865688324, 0.024434823542833328]","[0.5724155902862549, 1.2639422416687012, 0.46818071603775024, 0.007051591761410236]","[0.4343685507774353, 1.2804603576660156, 0.5442147850990295, 0.0047753038816154]","[0.572827935218811, 1.3015289306640625, 0.4950721859931946, 0.00939143169671297]","[0.430541455745697, 1.323437213897705, 0.5667358636856079, 0.01651982218027115]","[0.5536998510360718, 1.3440269231796265, 0.21582593023777008, 0.003126997034996748]","[0.4461297392845154, 1.3508460521697998, 0.25279179215431213, 0.002560919616371393]"
"[0.5142701268196106, 0.3702007830142975, -0.6586424708366394, 0.9996986985206604]","[0.528934121131897, 0.34789082407951355, -0.6207500100135803, 0.9992930889129639]","[0.5381984114646912, 0.34814125299453735, -0.6208070516586304, 0.9995180368423462]","[0.546768069267273, 0.3486608564853668, -0.6210482120513916, 0.9993427395820618]","[0.49837610125541687, 0.34799903631210327, -0.6216495037078857, 0.9992404580116272]","[0.4882184863090515, 0.3483189046382904, -0.6217045783996582, 0.9994359612464905]","[0.4795204997062683, 0.34883978962898254, -0.6219609379768372, 0.9992409348487854]","[0.5603422522544861, 0.361817330121994, -0.37810641527175903, 0.9992440342903137]","[0.46518781781196594, 0.36281436681747437, -0.37451109290122986, 0.9989611506462097]","[0.5325062274932861, 0.3989354968070984, -0.567793607711792, 0.9997819066047668]","[0.4946371614933014, 0.3984706401824951, -0.5667533278465271, 0.9997696876525879]","[0.6247767210006714, 0.5155892968177795, -0.2554358243942261, 0.999631404876709]","[0.392162948846817, 0.5120800733566284, -0.220774844288826, 0.9997611045837402]","[0.6301672458648682, 0.7023983597755432, -0.18729355931282043, 0.8812482357025146]","[0.3810417354106903, 0.6964687705039978, -0.1288815289735794, 0.8770130276679993]","[0.6159006357192993, 0.8548295497894287, -0.3670673966407776, 0.05289866775274277]","[0.3773764371871948, 0.8394530415534973, -0.313598096370697, 0.09376408904790878]","[0.6274635791778564, 0.9026994109153748, -0.4271951913833618, 0.025845300406217575]","[0.35882866382598877, 0.8698310256004333, -0.36808285117149353, 0.04602256417274475]","[0.6091381311416626, 0.9065587520599365, -0.4774971902370453, 0.03754911944270134]","[0.37895137071609497, 0.8778775930404663, -0.4356268644332886, 0.06167455390095711]","[0.60185307264328, 0.8836291432380676, -0.3929486572742462, 0.03873385116457939]","[0.38380613923072815, 0.8614120483398438, -0.3448120951652527, 0.06895821541547775]","[0.5843816995620728, 0.813967764377594, -0.039194848388433456, 0.45082610845565796]","[0.43098965287208557, 0.8160676956176758, 0.04078233987092972, 0.469870001077652]","[0.5888411998748779, 1.0574527978897095, 0.07012742012739182, 0.0418846569955349]","[0.44609272480010986, 1.060627818107605, 0.19911330938339233, 0.02351716347038746]","[0.5825847387313843, 1.2680565118789673, 0.48572084307670593, 0.006656397599726915]","[0.4426048994064331, 1.285164713859558, 0.548660159111023, 0.004595735110342503]","[0.582931637763977, 1.3049089908599854, 0.5126711130142212, 0.008960452862083912]","[0.4391119182109833, 1.3281059265136719, 0.5715286135673523, 0.015551329590380192]","[0.5652239918708801, 1.346811056137085, 0.2216692864894867, 0.003081479575484991]","[0.45180290937423706, 1.3536241054534912, 0.2537795305252075, 0.002561864908784628]"
"[0.5140826106071472, 0.3685791492462158, -0.6597727537155151, 0.9996789693832397]","[0.5289481282234192, 0.34732961654663086, -0.6206879019737244, 0.9992349147796631]","[0.5381841659545898, 0.3476389944553375, -0.6207543611526489, 0.999473512172699]","[0.5468109250068665, 0.3482435345649719, -0.6209791898727417, 0.9992911219596863]","[0.4982709288597107, 0.347065269947052, -0.6217866539955139, 0.9991917610168457]","[0.4881492555141449, 0.34728842973709106, -0.621845543384552, 0.9993930459022522]","[0.47941648960113525, 0.3478601276874542, -0.6221181750297546, 0.9991892576217651]","[0.5601426959037781, 0.3616730570793152, -0.37788549065589905, 0.9991595149040222]","[0.46532028913497925, 0.36221691966056824, -0.37422141432762146, 0.9988456964492798]","[0.5322871208190918, 0.3977968096733093, -0.568336546421051, 0.9997557401657104]","[0.49423524737358093, 0.39769965410232544, -0.5677937269210815, 0.9997403621673584]","[0.6240322589874268, 0.5154356360435486, -0.25309067964553833, 0.9996125102043152]","[0.39217519760131836, 0.5118803381919861, -0.21692197024822235, 0.9997474551200867]","[0.6301711797714233, 0.7001449465751648, -0.18811438977718353, 0.8833000063896179]","[0.38121163845062256, 0.6935425996780396, -0.12896877527236938, 0.8787029981613159]","[0.6177098155021667, 0.8535276651382446, -0.3840969502925873, 0.06412619352340698]","[0.3774002492427826, 0.836028516292572, -0.329843670129776, 0.10892504453659058]","[0.6276805400848389, 0.9016929268836975, -0.4473157525062561, 0.031656764447689056]","[0.3616751730442047, 0.8691877126693726, -0.38925984501838684, 0.0552256777882576]","[0.608969509601593, 0.9134520292282104, -0.49907004833221436, 0.04490289092063904]","[0.38033542037010193, 0.873777449131012, -0.457730770111084, 0.07275503128767014]","[0.6022700667381287, 0.8826336860656738, -0.4111024737358093, 0.04652445390820503]","[0.3848365247249603, 0.8586727976799011, -0.3618803322315216, 0.08075154572725296]","[0.5868581533432007, 0.8139684796333313, -0.037515126168727875, 0.479245126247406]","[0.4319517910480499, 0.8156551122665405, 0.039161454886198044, 0.5005326867103577]","[0.5926231145858765, 1.0575312376022339, 0.06394980847835541, 0.04076095670461655]","[0.448779433965683, 1.0608803033828735, 0.180857315659523, 0.023100750520825386]","[0.586294949054718, 1.2679893970489502, 0.467446506023407, 0.006371648516505957]","[0.4469498097896576, 1.2854511737823486, 0.519783079624176, 0.004493160638958216]","[0.5862228274345398, 1.3048374652862549, 0.4925228953361511, 0.00869052018970251]","[0.4441622495651245, 1.3282564878463745, 0.5397652983665466, 0.014755832962691784]","[0.5704447627067566, 1.3466986417770386, 0.19660595059394836, 0.003153715282678604]","[0.45494571328163147, 1.3535791635513306, 0.22023887932300568, 0.0026367725804448128]"
"[0.5134215950965881, 0.3677191436290741, -0.6593495607376099, 0.9996843338012695]","[0.5288853049278259, 0.3469371199607849, -0.6203537583351135, 0.9992417693138123]","[0.5380216836929321, 0.3472854793071747, -0.6204049587249756, 0.9994781017303467]","[0.5467895269393921, 0.34793344140052795, -0.62062007188797, 0.9992979168891907]","[0.49772247672080994, 0.3464556634426117, -0.6213037967681885, 0.9992021918296814]","[0.48776841163635254, 0.3466111719608307, -0.6213460564613342, 0.9993999004364014]","[0.47894713282585144, 0.34722331166267395, -0.6215994954109192, 0.9991978406906128]","[0.5598810315132141, 0.3615736961364746, -0.37783709168434143, 0.9991589188575745]","[0.4653465747833252, 0.361696720123291, -0.3734695613384247, 0.9988483786582947]","[0.5318156480789185, 0.3968997597694397, -0.5681635141372681, 0.9997560381889343]","[0.49344003200531006, 0.3970274031162262, -0.5672402381896973, 0.999739944934845]","[0.6233887672424316, 0.5154082775115967, -0.25309574604034424, 0.9996189475059509]","[0.39217647910118103, 0.5116822719573975, -0.213433638215065, 0.9997478127479553]","[0.6301649808883667, 0.6990710496902466, -0.18892911076545715, 0.8845556378364563]","[0.38102179765701294, 0.6927719712257385, -0.12037976831197739, 0.8820194005966187]","[0.6175432205200195, 0.8533549308776855, -0.372353732585907, 0.06787422299385071]","[0.3779457211494446, 0.8343309760093689, -0.3271055221557617, 0.11725133657455444]","[0.6275659799575806, 0.9015915989875793, -0.4331511855125427, 0.03331955894827843]","[0.3648093044757843, 0.8689473271369934, -0.38656046986579895, 0.05957341939210892]","[0.6019097566604614, 0.9206695556640625, -0.48215219378471375, 0.047245319932699203]","[0.3831130266189575, 0.8718910217285156, -0.4561137557029724, 0.07827642560005188]","[0.5993106961250305, 0.8824499249458313, -0.39794954657554626, 0.049065541476011276]","[0.38706010580062866, 0.8570119738578796, -0.3581254482269287, 0.08676748722791672]","[0.5871673822402954, 0.8140836358070374, -0.03761214017868042, 0.4868181645870209]","[0.4318615198135376, 0.8153501152992249, 0.039242710918188095, 0.512276291847229]","[0.5932032465934753, 1.0626384019851685, 0.06383886933326721, 0.038234807550907135]","[0.4527782201766968, 1.063463568687439, 0.1820453405380249, 0.021784702315926552]","[0.5899859070777893, 1.2730886936187744, 0.47021475434303284, 0.005978379864245653]","[0.4490106701850891, 1.2889277935028076, 0.5233390927314758, 0.00423600384965539]","[0.5912786722183228, 1.3094128370285034, 0.4952622354030609, 0.008254789747297764]","[0.4451693892478943, 1.3316785097122192, 0.5441556572914124, 0.013868528418242931]","[0.5717459917068481, 1.3515263795852661, 0.19868090748786926, 0.0030209426768124104]","[0.4583766758441925, 1.3568934202194214, 0.22026245296001434, 0.002540516434237361]"
"[0.5124967098236084, 0.36740830540657043, -0.6592174768447876, 0.9996690154075623]","[0.5286450982093811, 0.34668317437171936, -0.6197966933250427, 0.999196469783783]","[0.5376154184341431, 0.34705427289009094, -0.6198519468307495, 0.9994490146636963]","[0.5465431809425354, 0.34772253036499023, -0.6200724244117737, 0.999258279800415]","[0.49707937240600586, 0.3461235463619232, -0.6207537651062012, 0.999164879322052]","[0.48734351992607117, 0.3462474048137665, -0.6208034157752991, 0.9993723034858704]","[0.47841745615005493, 0.346884161233902, -0.6210587620735168, 0.9991612434387207]","[0.5593906044960022, 0.3614359498023987, -0.37617236375808716, 0.9991036653518677]","[0.46536189317703247, 0.36127012968063354, -0.37290772795677185, 0.9987897872924805]","[0.5310156345367432, 0.3963843286037445, -0.5676761865615845, 0.999737560749054]","[0.4926146864891052, 0.39663010835647583, -0.5669691562652588, 0.999721884727478]","[0.6230077743530273, 0.515252947807312, -0.24898913502693176, 0.9996092915534973]","[0.3922819197177887, 0.511596143245697, -0.20536448061466217, 0.9997434020042419]","[0.6302556991577148, 0.6981016993522644, -0.18818697333335876, 0.8858092427253723]","[0.3810025751590729, 0.6905807256698608, -0.10861928761005402, 0.8846399188041687]","[0.6171387434005737, 0.8532387018203735, -0.38302484154701233, 0.07511747628450394]","[0.379526823759079, 0.8307536840438843, -0.31744223833084106, 0.13273070752620697]","[0.6273930072784424, 0.9014280438423157, -0.4471047520637512, 0.0370040200650692]","[0.370055615901947, 0.8660333752632141, -0.3828081786632538, 0.06822572648525238]","[0.6020795106887817, 0.9161249995231628, -0.499981164932251, 0.051996517926454544]","[0.3874093294143677, 0.8670490384101868, -0.44676098227500916, 0.08875176310539246]","[0.5972244143486023, 0.882184624671936, -0.41031932830810547, 0.05408357083797455]","[0.3931773602962494, 0.8532317280769348, -0.3471132814884186, 0.09747372567653656]","[0.5890210270881653, 0.8143633604049683, -0.03550058975815773, 0.5080806016921997]","[0.4345708191394806, 0.8150171041488647, 0.0371515266597271, 0.5380395650863647]","[0.5992528200149536, 1.062076449394226, 0.05415721982717514, 0.03659514710307121]","[0.45840325951576233, 1.0635701417922974, 0.14543955028057098, 0.021053224802017212]","[0.5977922677993774, 1.2728835344314575, 0.4515620470046997, 0.005642066244035959]","[0.45821747183799744, 1.290285348892212, 0.46300235390663147, 0.004097215831279755]","[0.5987415313720703, 1.309254765510559, 0.476139634847641, 0.007884183898568153]","[0.45588281750679016, 1.3334108591079712, 0.48032352328300476, 0.013036837801337242]","[0.5809009075164795, 1.351260781288147, 0.17655333876609802, 0.003005257109180093]","[0.466706782579422, 1.3572136163711548, 0.15437395870685577, 0.0025505146477371454]"
"[0.5119357109069824, 0.3668653964996338, -0.6625462770462036, 0.9996632933616638]","[0.5284330248832703, 0.3462643325328827, -0.6228252649307251, 0.9991780519485474]","[0.5372278690338135, 0.346642404794693, -0.6228674650192261, 0.9994365572929382]","[0.5462561249732971, 0.3472791612148285, -0.6230843663215637, 0.9992426633834839]","[0.49662473797798157, 0.3456908166408539, -0.6238727569580078, 0.9991499185562134]","[0.4870258867740631, 0.34578636288642883, -0.6239363551139832, 0.9993606209754944]","[0.4780155122280121, 0.34643104672431946, -0.6241900324821472, 0.9991459846496582]","[0.5587862730026245, 0.36110785603523254, -0.37682533264160156, 0.999075710773468]","[0.4653739929199219, 0.3607414662837982, -0.3744998574256897, 0.9987660050392151]","[0.530483067035675, 0.39577892422676086, -0.5707224607467651, 0.9997318387031555]","[0.49221327900886536, 0.3961256146430969, -0.5703076720237732, 0.9997158050537109]","[0.6225659847259521, 0.5151702761650085, -0.24948899447917938, 0.9996061325073242]","[0.3923487067222595, 0.5115728378295898, -0.2065431922674179, 0.9997427463531494]","[0.6299476623535156, 0.6971984505653381, -0.1878080815076828, 0.8858054876327515]","[0.38039731979370117, 0.6880353093147278, -0.10521598905324936, 0.887412965297699]","[0.617102861404419, 0.8529960513114929, -0.37281233072280884, 0.0776686817407608]","[0.3802569806575775, 0.8289371728897095, -0.30362066626548767, 0.14217638969421387]","[0.627393364906311, 0.9010667204856873, -0.43419313430786133, 0.03827206790447235]","[0.3731316030025482, 0.8646960854530334, -0.3645230829715729, 0.07281500846147537]","[0.6024522185325623, 0.9125995635986328, -0.48590216040611267, 0.05368765443563461]","[0.389789879322052, 0.8645083904266357, -0.42759349942207336, 0.09431922435760498]","[0.5973752737045288, 0.8816262483596802, -0.3993300497531891, 0.05592039227485657]","[0.39586445689201355, 0.8506296873092651, -0.3328210413455963, 0.10331491380929947]","[0.5895686745643616, 0.8147154450416565, -0.03551953285932541, 0.5170342922210693]","[0.43607693910598755, 0.8148923516273499, 0.037151578813791275, 0.5526717305183411]","[0.6006664037704468, 1.0622440576553345, 0.06491367518901825, 0.03444945812225342]","[0.4600471556186676, 1.0643982887268066, 0.1575973927974701, 0.019991882145404816]","[0.5997133255004883, 1.2739601135253906, 0.48661789298057556, 0.00529067125171423]","[0.45972827076911926, 1.2924437522888184, 0.4865964651107788, 0.003915481735020876]","[0.6009500622749329, 1.3102790117263794, 0.5137754082679749, 0.007447890937328339]","[0.4571136236190796, 1.3355600833892822, 0.505979061126709, 0.012247046455740929]","[0.582205057144165, 1.3526324033737183, 0.2105303257703781, 0.002893347991630435]","[0.4691390097141266, 1.3596575260162354, 0.1845375895500183, 0.002491181716322899]"
"[0.5114687085151672, 0.36616086959838867, -0.6586564779281616, 0.999661922454834]","[0.5282301306724548, 0.34567898511886597, -0.6185008883476257, 0.999177098274231]","[0.5368937849998474, 0.34607449173927307, -0.618524432182312, 0.999437153339386]","[0.5459633469581604, 0.3466838002204895, -0.6187356114387512, 0.9992440342903137]","[0.4961833357810974, 0.3451363146305084, -0.6188850402832031, 0.9991467595100403]","[0.486667275428772, 0.345209538936615, -0.6189313530921936, 0.9993578195571899]","[0.47755348682403564, 0.34586527943611145, -0.6191631555557251, 0.9991390109062195]","[0.5582495331764221, 0.3607501685619354, -0.37140601873397827, 0.9990783929824829]","[0.4653755724430084, 0.3601139485836029, -0.36668896675109863, 0.9987581372261047]","[0.5301297903060913, 0.3951475918292999, -0.5670245885848999, 0.9997327923774719]","[0.49187594652175903, 0.3955152630805969, -0.5657720565795898, 0.9997134804725647]","[0.6221620440483093, 0.5147234201431274, -0.24861851334571838, 0.9996147751808167]","[0.3924733102321625, 0.5111880302429199, -0.19704720377922058, 0.9997446537017822]","[0.6299484372138977, 0.694261372089386, -0.1834622323513031, 0.8866851329803467]","[0.37927719950675964, 0.6810858845710754, -0.08288825303316116, 0.8893104791641235]","[0.617097795009613, 0.8501606583595276, -0.3682982921600342, 0.07982277125120163]","[0.38089001178741455, 0.8236445188522339, -0.27202197909355164, 0.14593328535556793]","[0.6275157928466797, 0.8991488814353943, -0.4278091788291931, 0.03946604207158089]","[0.3742803633213043, 0.8599448204040527, -0.3257576525211334, 0.07462549209594727]","[0.6026291847229004, 0.9073758125305176, -0.4769093692302704, 0.05539949610829353]","[0.39082780480384827, 0.8578066825866699, -0.3899378180503845, 0.096561960875988]","[0.5983449816703796, 0.8786815404891968, -0.3935639262199402, 0.05743339657783508]","[0.39720383286476135, 0.8441451787948608, -0.3013061583042145, 0.10550180077552795]","[0.5896719098091125, 0.8147165179252625, -0.03732338920235634, 0.5170088410377502]","[0.4364378750324249, 0.8138166666030884, 0.03889823332428932, 0.5566816926002502]","[0.5997488498687744, 1.0620211362838745, 0.05737333744764328, 0.0324675515294075]","[0.4589005410671234, 1.0643420219421387, 0.1622292846441269, 0.019011761993169785]","[0.5979499220848083, 1.2737658023834229, 0.47617724537849426, 0.0050307889468967915]","[0.4578503668308258, 1.292145013809204, 0.49421361088752747, 0.003757227910682559]","[0.5991519689559937, 1.3100701570510864, 0.5024886131286621, 0.007117459084838629]","[0.45505672693252563, 1.335182785987854, 0.5138735175132751, 0.011639474891126156]","[0.5805018544197083, 1.3524019718170166, 0.19439925253391266, 0.0028092777356505394]","[0.4679058790206909, 1.359431505203247, 0.18501721322536469, 0.0024329551961272955]"
"[0.5112686157226562, 0.36527004837989807, -0.6429376006126404, 0.9996601939201355]","[0.5281358361244202, 0.34502771496772766, -0.6027024388313293, 0.9991739392280579]","[0.5367262363433838, 0.3454676568508148, -0.6027126312255859, 0.9994372725486755]","[0.5458308458328247, 0.3460984528064728, -0.6029136776924133, 0.9992439150810242]","[0.4959137737751007, 0.34441009163856506, -0.6034560203552246, 0.9991458654403687]","[0.4863959848880768, 0.34447041153907776, -0.6034894585609436, 0.9993573427200317]","[0.47722408175468445, 0.3451211452484131, -0.60372394323349, 0.9991347789764404]","[0.5579566955566406, 0.36042582988739014, -0.35979771614074707, 0.999083399772644]","[0.4653491973876953, 0.35941311717033386, -0.3577863276004791, 0.9987549781799316]","[0.5299606919288635, 0.39429014921188354, -0.5532605051994324, 0.9997310042381287]","[0.49167078733444214, 0.39454782009124756, -0.5528372526168823, 0.9997086524963379]","[0.6218920946121216, 0.514041006565094, -0.23905187845230103, 0.9996212124824524]","[0.39248356223106384, 0.5109307169914246, -0.1943369358778, 0.9997474551200867]","[0.6302780508995056, 0.691868782043457, -0.1670914739370346, 0.8884773850440979]","[0.3776073753833771, 0.6785498857498169, -0.08795520663261414, 0.8910607099533081]","[0.6171700954437256, 0.8476633429527283, -0.34919917583465576, 0.0849793404340744]","[0.38170039653778076, 0.8211852312088013, -0.2753916382789612, 0.153213769197464]","[0.6273805499076843, 0.8971265554428101, -0.40684181451797485, 0.04236689209938049]","[0.37478724122047424, 0.8577672243118286, -0.32996439933776855, 0.07898841053247452]","[0.6027894616127014, 0.9028514623641968, -0.460796594619751, 0.05922515317797661]","[0.3915044665336609, 0.8558436632156372, -0.3930027186870575, 0.10188014060258865]","[0.5983747243881226, 0.8763245940208435, -0.3760816752910614, 0.06122332438826561]","[0.3983531594276428, 0.8418376445770264, -0.3046528398990631, 0.11065372079610825]","[0.5898225903511047, 0.8149553537368774, -0.03559185937047005, 0.529695451259613]","[0.4367002844810486, 0.8134147524833679, 0.03718871995806694, 0.570900022983551]","[0.5985126495361328, 1.061762809753418, 0.045235805213451385, 0.03126233071088791]","[0.4571347236633301, 1.0642297267913818, 0.14175544679164886, 0.018487635999917984]","[0.5950761437416077, 1.2738463878631592, 0.43754324316978455, 0.004801615606993437]","[0.457265168428421, 1.2924871444702148, 0.440565824508667, 0.0036229174584150314]","[0.5957620143890381, 1.310226321220398, 0.4618849456310272, 0.0068566384725272655]","[0.454458087682724, 1.3352856636047363, 0.4558168351650238, 0.011004457250237465]","[0.5784895420074463, 1.352248191833496, 0.16133934259414673, 0.00281130732037127]","[0.4657908082008362, 1.3598401546478271, 0.1291714310646057, 0.002402971964329481]"
"[0.5107812285423279, 0.36491888761520386, -0.6429492235183716, 0.9996196031570435]","[0.5279146432876587, 0.34469467401504517, -0.6016635298728943, 0.9990798830986023]","[0.536372184753418, 0.3452293574810028, -0.6017535924911499, 0.9993889927864075]","[0.5454331636428833, 0.34592515230178833, -0.6019390821456909, 0.9991671442985535]","[0.4956227242946625, 0.34388166666030884, -0.6024832129478455, 0.9990522861480713]","[0.48611918091773987, 0.34388649463653564, -0.6025556325912476, 0.9993023872375488]","[0.47684043645858765, 0.34448689222335815, -0.6028279066085815, 0.9990551471710205]","[0.5576559901237488, 0.3604048490524292, -0.35567739605903625, 0.9990125298500061]","[0.4652973711490631, 0.3588294982910156, -0.3565102517604828, 0.9986633658409119]","[0.5291604399681091, 0.3939821422100067, -0.5523363351821899, 0.9996844530105591]","[0.49097740650177, 0.3940829932689667, -0.552534818649292, 0.9996653199195862]","[0.620823323726654, 0.512819766998291, -0.22495056688785553, 0.9995752573013306]","[0.392404705286026, 0.5104537010192871, -0.18433187901973724, 0.9997243285179138]","[0.6309047937393188, 0.6898607611656189, -0.1573663204908371, 0.890454113483429]","[0.37755244970321655, 0.6733359694480896, -0.09238164126873016, 0.8899987936019897]","[0.6169576048851013, 0.8448203206062317, -0.3494001626968384, 0.10889209806919098]","[0.38811051845550537, 0.809622049331665, -0.297610342502594, 0.17189200222492218]","[0.6270138025283813, 0.8953331708908081, -0.40958473086357117, 0.05782170593738556]","[0.38147613406181335, 0.8480192422866821, -0.3645480275154114, 0.09355130046606064]","[0.602823793888092, 0.8998175859451294, -0.46779897809028625, 0.07727143168449402]","[0.3987118899822235, 0.8447710871696472, -0.43093568086624146, 0.11878915876150131]","[0.5982937216758728, 0.8744857311248779, -0.37737226486206055, 0.07845214009284973]","[0.4077188968658447, 0.8307310342788696, -0.33022549748420715, 0.12657281756401062]","[0.5897937417030334, 0.8149976134300232, -0.030703943222761154, 0.5619587302207947]","[0.43813636898994446, 0.8133023977279663, 0.03220696374773979, 0.6033688187599182]","[0.6016159653663635, 1.0484286546707153, -0.007356900721788406, 0.04379468038678169]","[0.45304617285728455, 1.0532581806182861, -0.06113961338996887, 0.028367433696985245]","[0.5941175222396851, 1.2627352476119995, 0.32092300057411194, 0.006491500418633223]","[0.45688754320144653, 1.2889152765274048, 0.17834122478961945, 0.0054822806268930435]","[0.5951598286628723, 1.2979148626327515, 0.33880966901779175, 0.009697633795440197]","[0.45700111985206604, 1.3308429718017578, 0.18587641417980194, 0.01283697783946991]","[0.5785002112388611, 1.3397765159606934, 0.040914200246334076, 0.005625125952064991]","[0.4648878276348114, 1.3549950122833252, -0.14474324882030487, 0.004355449229478836]"
"[0.5099893808364868, 0.36493703722953796, -0.6332113146781921, 0.9993753433227539]","[0.5273832678794861, 0.34464144706726074, -0.5916221737861633, 0.998423159122467]","[0.535751223564148, 0.3451950252056122, -0.591851532459259, 0.9989776611328125]","[0.5445374250411987, 0.3459091782569885, -0.5920887589454651, 0.9986163377761841]","[0.4948040843009949, 0.3438540995121002, -0.5948902368545532, 0.998435378074646]","[0.48534518480300903, 0.3438730239868164, -0.5951120853424072, 0.99887615442276]","[0.4758613705635071, 0.3444969952106476, -0.5954629182815552, 0.9985003471374512]","[0.5569233298301697, 0.36040836572647095, -0.3524707853794098, 0.9982237219810486]","[0.46496978402137756, 0.35882019996643066, -0.35736557841300964, 0.9977726936340332]","[0.5280348658561707, 0.3939985930919647, -0.5441324710845947, 0.999386727809906]","[0.4898437261581421, 0.39415907859802246, -0.5478243827819824, 0.9994270205497742]","[0.6201623678207397, 0.512567937374115, -0.20906348526477814, 0.9992255568504333]","[0.39218321442604065, 0.510459303855896, -0.20090608298778534, 0.9994657039642334]","[0.6313126683235168, 0.6895051598548889, -0.12245030701160431, 0.8785831332206726]","[0.378097802400589, 0.6746103763580322, -0.14516736567020416, 0.8803408145904541]","[0.6096810698509216, 0.8450785875320435, -0.30711713433265686, 0.11954814195632935]","[0.42312949895858765, 0.7965825200080872, -0.33827775716781616, 0.17505764961242676]","[0.6196713447570801, 0.8949853777885437, -0.37149760127067566, 0.06561766564846039]","[0.4326191544532776, 0.837070107460022, -0.4032632112503052, 0.09664983302354813]","[0.598646879196167, 0.8990355730056763, -0.4230230152606964, 0.08548612892627716]","[0.45665132999420166, 0.8395915627479553, -0.45490869879722595, 0.12155084311962128]","[0.5918731093406677, 0.8736307621002197, -0.332302987575531, 0.08754316717386246]","[0.4571813642978668, 0.8220796585083008, -0.3622068464756012, 0.1288488209247589]","[0.5901212096214294, 0.8149979114532471, -0.015998898074030876, 0.5948551893234253]","[0.43948429822921753, 0.8135582208633423, 0.01714329607784748, 0.6303842067718506]","[0.621097981929779, 1.026889443397522, 0.0007841377519071102, 0.06138429418206215]","[0.4526855945587158, 1.0507756471633911, 0.11352136731147766, 0.03493661433458328]","[0.5944750905036926, 1.2377722263336182, 0.3708125352859497, 0.0087815523147583]","[0.4568854570388794, 1.2723573446273804, 0.5024341344833374, 0.007150828372687101]","[0.5939699411392212, 1.2723129987716675, 0.3871632218360901, 0.013575919903814793]","[0.45766231417655945, 1.3112980127334595, 0.5291593074798584, 0.014452094212174416]","[0.5828301906585693, 1.3200887441635132, 0.13342198729515076, 0.0082623939961195]","[0.4686519503593445, 1.3419818878173828, 0.25402966141700745, 0.005986422300338745]"
